"","city","sample_type_name","min","max","mean","median"
"61","Maputo","Public Latrine",-0.154901959985743,4.44715803134222,0.704687622235146,-0.154901959985743
"62","Maputo","Soil",-1,5.60205999132796,2.20602061372352,2.43427114392124
"63","Maputo","Bathing Water",-0.301029995663981,3.8750612633917,1.3226501781309,1.56676945418511
"64","Siem Reap","Raw Produce",1.39794000867204,6,4.09396289305943,4.13033376849501
"65","Siem Reap","Municipal Drinking Water",-0.301029995663981,-0.301029995663981,-0.301029995663981,-0.301029995663981
"66","Siem Reap","Floodwater",2.69897000433602,7.27415784926368,4.93513907259571,5.01807481487293
"67","Siem Reap","Soil",1,5.33041377334919,3.0150381222484,3.00851666964939
"68","Siem Reap","Bathing Water",-0.301029995663981,3.2148438480477,1.7795445429923,1.94394924404844
"69","Siem Reap","Other Drinking Water",-0.301029995663981,3.30102999566398,0.679475558566436,0
"70","Vellore","Raw Produce",2.39794000867204,6,4.12071213916585,3.902240094553
"71","Vellore","Municipal Drinking Water",-0.301029995663981,2.30102999566398,-0.0286361074977621,-0.301029995663981
"72","Vellore","Public Latrine",-0.154901959985743,3.44715803134222,2.14745332118506,2.69019608002851
"73","Vellore","Soil",0,3.38021124171161,1.34648714866528,1.50514997831991
"74","Vellore","Bathing Water",-0.301029995663981,0.845098040014257,-0.062840700212794,-0.301029995663981
