"city","sample_type","pop","sum","a3","a2","a1","a0"
"Vellore","DW, other","Adults",0,,,,
"Accra","Ocean","Adults",1307,0.105585309869931,0.0711553175210406,0.225707727620505,0.597551644988523
"Atlanta","Ocean","Adults",0,,,,
"Dhaka","Ocean","Adults",0,,,,
"Kampala","Ocean","Adults",0,,,,
"Kumasi","Ocean","Adults",0,,,,
"Lusaka","Ocean","Adults",0,,,,
"Maputo","Ocean","Adults",0,,,,
"Siem Reap","Ocean","Adults",0,,,,
"Vellore","Ocean","Adults",0,,,,
"Accra","Surface Water","Adults",1379,0.075416968817984,0.0551124002900653,0.102973168963017,0.766497461928934
"Atlanta","Surface Water","Adults",22,0,0.0454545454545455,0.227272727272727,0.727272727272727
"Dhaka","Surface Water","Adults",1849,0.213628988642509,0.126554894537588,0.189832341806382,0.469983775013521
"Kampala","Surface Water","Adults",753,0.051792828685259,0.0278884462151394,0.0836653386454183,0.836653386454183
"Kumasi","Surface Water","Adults",683,0.128843338213763,0.0161054172767204,0.149341142020498,0.705710102489019
"Lusaka","Surface Water","Adults",0,,,,
"Maputo","Surface Water","Adults",104,0.192307692307692,0.0769230769230769,0.153846153846154,0.576923076923077
"Siem Reap","Surface Water","Adults",392,0.0306122448979592,0.048469387755102,0.510204081632653,0.410714285714286
"Vellore","Surface Water","Adults",0,,,,
"Accra","Floodwater","Adults",1735,0.126224783861671,0.12507204610951,0.297406340057637,0.451296829971182
"Atlanta","Floodwater","Adults",23,0.0434782608695652,0.0869565217391304,0.565217391304348,0.304347826086957
"Dhaka","Floodwater","Adults",1769,0.409270774448841,0.184850197851894,0.246466930469192,0.159412097230073
"Kampala","Floodwater","Adults",746,0.0857908847184987,0.10857908847185,0.319034852546917,0.486595174262735
"Kumasi","Floodwater","Adults",981,0.212028542303772,0.213047910295617,0.288481141692151,0.286442405708461
"Lusaka","Floodwater","Adults",220,0.722727272727273,0.0863636363636364,0.159090909090909,0.0318181818181818
"Maputo","Floodwater","Adults",239,0.527196652719665,0.209205020920502,0.188284518828452,0.0753138075313808
"Siem Reap","Floodwater","Adults",410,0.448780487804878,0.197560975609756,0.302439024390244,0.0512195121951219
"Vellore","Floodwater","Adults",410,0.175609756097561,0.121951219512195,0.339024390243902,0.363414634146341
"Accra","Public Latrine","Adults",1754,0.293614595210946,0.173888255416192,0.20866590649943,0.323831242873432
"Atlanta","Public Latrine","Adults",21,0.0952380952380952,0.142857142857143,0.666666666666667,0.0952380952380952
"Dhaka","Public Latrine","Adults",1815,0.379063360881543,0.19228650137741,0.0887052341597796,0.339944903581267
"Kampala","Public Latrine","Adults",721,0.262135922330097,0.181692094313454,0.0859916782246879,0.470180305131761
"Kumasi","Public Latrine","Adults",1015,0.475862068965517,0.228571428571429,0.115270935960591,0.180295566502463
"Lusaka","Public Latrine","Adults",176,0.193181818181818,0.147727272727273,0.136363636363636,0.522727272727273
"Maputo","Public Latrine","Adults",99,0.141414141414141,0.545454545454545,0.292929292929293,0.0202020202020202
"Siem Reap","Public Latrine","Adults",0,,,,
"Vellore","Public Latrine","Adults",436,0.073394495412844,0.149082568807339,0.334862385321101,0.442660550458716
"Accra","Bathing Water","Adults",440,0.879545454545455,0.104545454545455,0.0113636363636364,0.00454545454545455
"Atlanta","Bathing Water","Adults",0,,,,
"Dhaka","Bathing Water","Adults",1913,0.326189231573445,0.58128593831678,0.0909566126502875,0.00156821745948772
"Kampala","Bathing Water","Adults",752,0.873670212765957,0.122340425531915,0.00132978723404255,0.00265957446808511
"Kumasi","Bathing Water","Adults",1036,0.950772200772201,0.0453667953667954,0.00386100386100386,0
"Lusaka","Bathing Water","Adults",236,0.427966101694915,0.555084745762712,0.0169491525423729,0
"Maputo","Bathing Water","Adults",0,,,,
"Siem Reap","Bathing Water","Adults",0,,,,
"Vellore","Bathing Water","Adults",0,,,,
"Accra","Street Food","Adults",440,0.279545454545455,0.268181818181818,0.336363636363636,0.115909090909091
"Atlanta","Street Food","Adults",0,,,,
"Dhaka","Street Food","Adults",1791,0.156337241764377,0.164712451144612,0.34394193188163,0.33500837520938
"Kampala","Street Food","Adults",726,0.224517906336088,0.389807162534435,0.258953168044077,0.126721763085399
"Kumasi","Street Food","Adults",1038,0.514450867052023,0.184971098265896,0.212909441233141,0.0876685934489403
"Lusaka","Street Food","Adults",228,0.100877192982456,0.0921052631578947,0.403508771929825,0.403508771929825
"Maputo","Street Food","Adults",0,,,,
"Siem Reap","Street Food","Adults",0,,,,
"Vellore","Street Food","Adults",0,,,,
