"citylabel","sample_type","pop","sum","a3","a2","a1","a0"
"Kampala 18","Drinking Water (DW)","Adults",728,0.519230769230769,0.0343406593406593,0.0370879120879121,0.409340659340659
"Vellore 14","DW, other","Adults",0,,,,
"Maputo 15","DW, other","Adults",0,,,,
"Accra 16","DW, other","Adults",0,,,,
"Maputo 16","DW, other","Adults",0,,,,
"Siem Reap 16","DW, other","Adults",820,0.496341463414634,0,0.00365853658536585,0
"Atlanta 16","DW, other","Adults",0,,,,
"Dhaka 17","DW, other","Adults",3508,0.121721778791334,0.0575826681870011,0.0763968072976055,0.244298745724059
"Lusaka 18","DW, other","Adults",0,,,,
"Accra 18","DW, other","Adults",0,,,,
"Kumasi 18","DW, other","Adults",0,,,,
"Kampala 18","DW, other","Adults",1446,0.134854771784232,0.0110650069156293,0.0235131396957123,0.330567081604426
"Vellore 14","Ocean","Adults",0,,,,
"Maputo 15","Ocean","Adults",0,,,,
"Accra 16","Ocean","Adults",1091,0.109074243813016,0.0549954170485793,0.236480293308891,0.599450045829514
"Maputo 16","Ocean","Adults",0,,,,
"Siem Reap 16","Ocean","Adults",0,,,,
"Atlanta 16","Ocean","Adults",0,,,,
"Dhaka 17","Ocean","Adults",0,,,,
"Lusaka 18","Ocean","Adults",0,,,,
"Accra 18","Ocean","Adults",216,0.087962962962963,0.152777777777778,0.171296296296296,0.587962962962963
"Kumasi 18","Ocean","Adults",0,,,,
"Kampala 18","Ocean","Adults",0,,,,
"Vellore 14","Surface Water","Adults",0,,,,
"Maputo 15","Surface Water","Adults",104,0.192307692307692,0.0769230769230769,0.153846153846154,0.576923076923077
"Accra 16","Surface Water","Adults",1063,0.0649106302916275,0.0555032925682032,0.114769520225776,0.764816556914393
"Maputo 16","Surface Water","Adults",0,,,,
"Siem Reap 16","Surface Water","Adults",392,0.0306122448979592,0.048469387755102,0.510204081632653,0.410714285714286
"Atlanta 16","Surface Water","Adults",22,0,0.0454545454545455,0.227272727272727,0.727272727272727
"Dhaka 17","Surface Water","Adults",1849,0.213628988642509,0.126554894537588,0.189832341806382,0.469983775013521
"Lusaka 18","Surface Water","Adults",0,,,,
"Accra 18","Surface Water","Adults",316,0.110759493670886,0.0537974683544304,0.0632911392405063,0.772151898734177
"Kumasi 18","Surface Water","Adults",683,0.128843338213763,0.0161054172767204,0.149341142020498,0.705710102489019
"Kampala 18","Surface Water","Adults",753,0.051792828685259,0.0278884462151394,0.0836653386454183,0.836653386454183
"Vellore 14","Floodwater","Adults",410,0.175609756097561,0.121951219512195,0.339024390243902,0.363414634146341
"Maputo 15","Floodwater","Adults",111,0.531531531531532,0.18018018018018,0.207207207207207,0.0810810810810811
"Accra 16","Floodwater","Adults",1301,0.136817832436587,0.111452728670254,0.291314373558801,0.460415065334358
"Maputo 16","Floodwater","Adults",128,0.5234375,0.234375,0.171875,0.0703125
"Siem Reap 16","Floodwater","Adults",410,0.448780487804878,0.197560975609756,0.302439024390244,0.0512195121951219
"Atlanta 16","Floodwater","Adults",23,0.0434782608695652,0.0869565217391304,0.565217391304348,0.304347826086957
"Dhaka 17","Floodwater","Adults",1769,0.409270774448841,0.184850197851894,0.246466930469192,0.159412097230073
"Lusaka 18","Floodwater","Adults",220,0.722727272727273,0.0863636363636364,0.159090909090909,0.0318181818181818
"Accra 18","Floodwater","Adults",434,0.0944700460829493,0.165898617511521,0.315668202764977,0.423963133640553
"Kumasi 18","Floodwater","Adults",981,0.212028542303772,0.213047910295617,0.288481141692151,0.286442405708461
"Kampala 18","Floodwater","Adults",746,0.0857908847184987,0.10857908847185,0.319034852546917,0.486595174262735
"Vellore 14","Public Latrine","Adults",436,0.073394495412844,0.149082568807339,0.334862385321101,0.442660550458716
"Maputo 15","Public Latrine","Adults",99,0.141414141414141,0.545454545454545,0.292929292929293,0.0202020202020202
"Accra 16","Public Latrine","Adults",1336,0.288922155688623,0.173652694610778,0.245508982035928,0.291916167664671
"Maputo 16","Public Latrine","Adults",0,,,,
"Siem Reap 16","Public Latrine","Adults",0,,,,
"Atlanta 16","Public Latrine","Adults",21,0.0952380952380952,0.142857142857143,0.666666666666667,0.0952380952380952
"Dhaka 17","Public Latrine","Adults",1815,0.379063360881543,0.19228650137741,0.0887052341597796,0.339944903581267
"Lusaka 18","Public Latrine","Adults",176,0.193181818181818,0.147727272727273,0.136363636363636,0.522727272727273
"Accra 18","Public Latrine","Adults",418,0.308612440191388,0.174641148325359,0.0909090909090909,0.425837320574163
"Kumasi 18","Public Latrine","Adults",1015,0.475862068965517,0.228571428571429,0.115270935960591,0.180295566502463
"Kampala 18","Public Latrine","Adults",721,0.262135922330097,0.181692094313454,0.0859916782246879,0.470180305131761
"Vellore 14","Bathing Water","Adults",0,,,,
"Maputo 15","Bathing Water","Adults",0,,,,
"Accra 16","Bathing Water","Adults",0,,,,
"Maputo 16","Bathing Water","Adults",0,,,,
"Siem Reap 16","Bathing Water","Adults",0,,,,
"Atlanta 16","Bathing Water","Adults",0,,,,
"Dhaka 17","Bathing Water","Adults",1913,0.326189231573445,0.58128593831678,0.0909566126502875,0.00156821745948772
"Lusaka 18","Bathing Water","Adults",236,0.427966101694915,0.555084745762712,0.0169491525423729,0
