sample_type_name,sample_id,neighb_id,neighborhood,age,pop,p,r,n.response,mu,sigma,n.sample,exposure,dose,popDose,deployment_id,country,city,citylabel,date,pathway,neighb_pop,neighb_pop_label,perDose
Street Food,10,206,Kamalapur,Adults,a,0.084879127,0.697636794,254,3.978463607,1.337556553,9,0.815,24373572.66,24373572.66,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Street Food,Dhaka 206 Adults,Dhaka 206,0.157600122
Street Food,10,206,Kamalapur,Children,c,0.088229393,1.059917182,229,3.978463607,1.337556553,9,0.922,33596272.07,33596272.07,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Street Food,Dhaka 206 Children,Dhaka 206,0.658457853
Bathing Water,9,207,Shampur,Adults,a,0.610018473,18.47688776,240,2.576455157,1.823453284,10,1,659544.6285,659544.6285,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Bathing Water,Dhaka 207 Adults,Dhaka 207,0.001691314
Bathing Water,9,207,Shampur,Children,c,0.758660466,51.62171122,221,2.576455157,1.823453284,10,1,6201885.957,6201885.957,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Bathing Water,Dhaka 207 Children,Dhaka 207,0.006488281
Open Drain Water,1,207,Shampur,Adults,a,0.026934799,0.661892831,244,7.594104141,0.760947803,10,0.921,2796758.534,2796758.534,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Open Drain Water,Dhaka 207 Adults,Dhaka 207,0.007171913
Open Drain Water,1,207,Shampur,Children,c,0.042321453,0.868324276,222,7.594104141,0.760947803,10,0.931,36253943.34,36253943.34,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Open Drain Water,Dhaka 207 Children,Dhaka 207,0.037928103
Municipal Drinking Water,3,207,Shampur,Adults,a,0.001434642,0.150926691,480,2.805968504,1.635503697,10,0.651,95190002.09,95190002.09,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Municipal Drinking Water,Dhaka 207 Adults,Dhaka 207,0.244102021
Municipal Drinking Water,3,207,Shampur,Children,c,0.002396338,0.168051459,444,2.805968504,1.635503697,10,0.627,7558022.76,7558022.76,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Municipal Drinking Water,Dhaka 207 Children,Dhaka 207,0.007907042
Floodwater,6,207,Shampur,Adults,a,0.053174947,0.764347568,478,5.520108791,1.356026866,10,0.903,668747.8168,668747.8168,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Floodwater,Dhaka 207 Adults,Dhaka 207,0.001714914
Floodwater,6,207,Shampur,Children,c,0.074740685,1.447408346,438,5.520108791,1.356026866,10,0.969,21805934.11,21805934.11,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Floodwater,Dhaka 207 Children,Dhaka 207,0.022812904
Public Latrine,7,207,Shampur,Adults,a,0.045478245,1.062023358,242,-0.064662123,0.339573519,10,0.959,3.721029096,3.721029096,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Public Latrine,Dhaka 207 Adults,Dhaka 207,9.54E-09
Public Latrine,7,207,Shampur,Children,c,0.01895682,0.665271815,222,-0.064662123,0.339573519,10,0.937,5.546052881,5.546052881,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Public Latrine,Dhaka 207 Children,Dhaka 207,5.80E-09
Raw Produce,2,207,Shampur,Adults,a,0.111372692,1.358086461,240,3.613316759,2.196202273,8,0.951,3632350217,3632350217,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Raw Produce,Dhaka 207 Adults,Dhaka 207,9.314676005
Raw Produce,2,207,Shampur,Children,c,0.151703804,1.728710523,222,3.613316759,2.196202273,8,0.966,9461178567,9461178567,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Raw Produce,Dhaka 207 Children,Dhaka 207,9.89808354
Surface Water,5,207,Shampur,Adults,a,0.013488466,0.193450876,244,4.860662883,1.079530127,10,0.574,554671.7715,554671.7715,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Surface Water,Dhaka 207 Adults,Dhaka 207,0.001422382
Surface Water,5,207,Shampur,Children,c,0.011066978,0.237378632,224,4.860662883,1.079530127,10,0.642,5529102.532,5529102.532,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Surface Water,Dhaka 207 Children,Dhaka 207,0.005784429
Street Food,10,207,Shampur,Adults,a,0.093369371,0.787387521,242,3.224992045,0.916335016,10,0.832,485566.1462,485566.1462,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Street Food,Dhaka 207 Adults,Dhaka 207,0.001245169
Street Food,10,207,Shampur,Children,c,0.135753968,2.245838857,222,3.224992045,0.916335016,10,0.992,476718.5218,476718.5218,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Street Food,Dhaka 207 Children,Dhaka 207,0.000498733
Bathing Water,9,208,Hazaribagh,Adults,a,0.753795368,35.27461162,235,2.262893891,1.232912211,10,1,19609.19948,19609.19948,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Bathing Water,Dhaka 208 Adults,Dhaka 208,0.003703472
Bathing Water,9,208,Hazaribagh,Children,c,0.828074743,54.53617047,217,2.262893891,1.232912211,10,1,31403.95947,31403.95947,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Bathing Water,Dhaka 208 Children,Dhaka 208,0.004340371
Open Drain Water,1,208,Hazaribagh,Adults,a,0.010347424,0.350184416,238,7.453301761,0.44983996,10,0.801,1071329.775,1071329.775,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Open Drain Water,Dhaka 208 Adults,Dhaka 208,0.202335636
Open Drain Water,1,208,Hazaribagh,Children,c,0.00898983,0.291003171,217,7.453301761,0.44983996,10,0.766,16290500.56,16290500.56,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Open Drain Water,Dhaka 208 Children,Dhaka 208,2.251525555
Municipal Drinking Water,3,208,Hazaribagh,Adults,a,0.001369779,0.12212601,475,3.337941577,1.186664043,10,0.549,27964352.51,27964352.51,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Municipal Drinking Water,Dhaka 208 Adults,Dhaka 208,5.281459706
Municipal Drinking Water,3,208,Hazaribagh,Children,c,0.001147525,0.118581643,435,3.337941577,1.186664043,10,0.525,3038685.208,3038685.208,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Municipal Drinking Water,Dhaka 208 Children,Dhaka 208,0.419979569
Floodwater,6,208,Hazaribagh,Adults,a,0.031519186,0.403935776,471,6.623171313,0.972145132,9,0.73,1407520.796,1407520.796,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Floodwater,Dhaka 208 Adults,Dhaka 208,0.265830019
Floodwater,6,208,Hazaribagh,Children,c,0.049917293,0.622321916,435,6.623171313,0.972145132,9,0.859,22148788.35,22148788.35,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Floodwater,Dhaka 208 Children,Dhaka 208,3.061205075
