ID,MB_DATE,MB_TIME,MB_NHOOD,MB_NP,MB_COMID,MB_NPPL,MB_NHH,MB_CHILD,MB_CHILDDEF,MB_CHILDDEF_A,MB_CHILDDEF_B,MB_CHILDDEF_C,MB_CHILDDEF_D,MB_CHILDDEF_E,MB_CHILDDEF_F,MB_CHILDDEF_G,MB_CHILDDEFOTH,MB_DRAINFLOOD,MB_NHOODFLOOD,MB_HOUSEFLOOD,MB_ADULTDEF_A,MB_ADULTDEF_B,MB_ADULTDEF_C,MB_ADULTDEF_D,MB_ADULTDEF_E,MB_ADULTDEF_F,MB_ADULTDEFOTH,MB_OCHILD,MB_OCHILDDEF_A,MB_OCHILDDEF_B,MB_OCHILDDEF_C,MB_OCHILDDEF_D,MB_OCHILDDEF_E,MB_OCHILDDEF_F,MB_OCHILDDEF_G,MB_OCHILDDEF_H,MB_OCHILDDEFOTH,MB_LATRINEFLOOD,MB_LATRINEFLUSH,MB_LATRINEFILL,MB_LATRINEFILL4,MB_LATRINEFULLN,collectr
11,4/28/2016,1/0/1900,2,2,3031,20,7,1,,0,0,1,1,0,0,0,,0,1,0,1,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,,0,0,2,,1,
12,5/12/2016,1/0/1900,1,4,2042,25,4,1,,1,0,1,1,0,0,0,,0,1,1,1,1,0,0,0,0,,1,1,0,0,0,0,0,0,0,,1,0,6,Nunca encheu,0,
13,5/12/2016,1/0/1900,1,3,2035,30,6,1,,0,0,1,1,0,0,0,,1,1,,1,0,0,0,0,0,,1,1,0,0,0,0,0,0,1,,1,0,6,Ainda nao encheu,0,
14,5/13/2016,1/0/1900,1,3,2034,23,5,1,,0,0,1,1,0,0,0,,0,,,1,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,,1,0,6,Ainda nao encheu,,
15,5/13/2016,1/0/1900,1,2,2043,26,5,1,,1,0,0,0,0,0,0,,0,1,1,1,1,0,0,0,0,,1,1,0,1,0,0,0,0,0,,1,0,6,"Ainda nao inundou, Caso encha sabem a quem conctatar -Seta",,
16,5/16/2016,1/0/1900,1,2,2039,16,7,1,,0,0,1,0,0,0,0,,0,1,0,1,1,0,0,0,0,,1,1,0,1,0,0,0,0,0,,1,0,6,Ainda nao encheu,,
17,5/16/2016,1/0/1900,1,4,2032,32,10,1,,0,0,1,1,0,0,0,,0,1,1,1,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,,1,0,6,Nunca encheu,,
18,5/17/2016,1/0/1900,1,2,2041,20,7,1,,0,0,1,1,0,0,0,,0,1,1,1,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,,1,0,6,Ainda nao encheu,0,
19,5/17/2016,1/0/1900,1,3,2040,24,5,1,,1,0,0,0,0,0,0,,0,1,,1,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,,1,0,6,Ainda nao encheu.,0,
20,5/18/2016,1/0/1900,1,4,2036,27,7,1,,0,0,1,1,0,0,0,,0,1,1,1,1,0,0,0,0,,1,1,0,1,0,0,0,0,0,,1,0,6,Ainda nao encheu,0,
21,5/18/2016,1/0/1900,1,3,2038,16,7,1,,1,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,,1,0,6,Nunca encheu,0,
22,5/19/2016,1/0/1900,1,4,2029,22,5,1,,0,0,1,1,0,0,0,,0,1,1,1,1,0,0,0,0,,1,1,0,1,0,0,0,0,0,,1,0,6,Ainda nao encheu,0,
23,5/19/2016,1/0/1900,1,3,2037,18,5,1,,1,0,0,0,0,0,0,,1,0,,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,0,6,Ainda nao encheu,,
24,5/19/2016,1/0/1900,2,3,3036,16,4,1,,0,0,0,1,0,0,0,,0,1,1,1,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,,1,0,2,,1,
25,5/19/2016,1/0/1900,2,2,3039,9,4,1,,1,0,0,1,0,0,0,,1,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,1,5,,1,
