SampleID,CompoundID,ec_dd,ec_th,ev_lat,ev_long,ev_way,neighbor,dis_lat,ev_notes,source_bw,source_other,stored,covered,ec_sd,ec_st,ec_isd,ec_ist,ec_ied,ec_iet,ec_dil1,ec_dil2,ec_ecnt1,ec_ecnt2,tc_ecnt1,tc_ecnt2,ec_blank,tc_blank,collectr,operator,sp_type,sp_area,ec_dil3,ec_ecnt3,tc_ecnt3,dis_com,weight,feces_3m,fd_type,fd_num,lat_type,lat_other,n_stall,Vis_fec,HW_stat
CCO2032,2032,5/16/2016,1/0/1900,25.94346,32.55752,075-29,1,3.9,,,,,,5/16/2016,11:45:00 AM,5/16/2016,4:25:00 PM,5/17/2016,4:25:00 PM,3,5,999,169,999,999,0,0,Anabela/Sumeya,Mario Amos/Laurinda,3,0,7,2,999,,,,,,,,,,
CCO2038,2038,5/18/2016,1/0/1900,25.93495,32.56274,83-29,1,17.1,,,,,,5/18/2016,12:10:00 PM,5/18/2016,5:49:00 PM,5/19/2016,5:49:00 PM,3,5,998,998,998,998,0,0,Sumeya/Anabela,Salma/J,3,0,7,999,999,,,,,,,,,,
CCO2044,2044,5/23/2016,1/0/1900,25.94214,32.55713,090-29,1,6.3,,,,,,5/23/2016,11:40:00 AM,5/23/2016,3:50:00 PM,5/24/2016,3:50:00 PM,3,5,999,10,999,999,0,0,Isabela/Sumeya,J/Mario Amos,3,0,7,1,999,,,,,,,,,,
CCO3030,3030,5/9/2016,1/0/1900,25.94335,32.58104,59-29,2,5.9,,,,,,5/9/2016,12:10:00 PM,5/10/2016,4:05:00 PM,5/11/2016,4:05:00 PM,3,5,999,82,999,999,0,0,Sumeya/Anabela,Mario Amos/Salma,3,0,7,7,999,,,,,,,,,,
CCO3034,3034,5/9/2016,1/0/1900,25.94716,32.55196,046-43,2,22,,,,,,5/9/2016,12:10:00 PM,5/10/2016,4:05:00 PM,5/11/2016,4:05:00 PM,3,5,49,2,999,80,0,0,Eloisa/Gizela,Mario Amos/Salma,3,0,7,0,13,,,,,,,,,,
CPO2034,2034,5/13/2016,1/0/1900,25.94372,32.55825,73-29,1,,,,,,,5/13/2016,11:05:00 AM,5/13/2016,3:30:00 PM,5/14/2016,3:30:00 PM,3,5,998,55,998,190,0,0,Sumeya/Anabela,Salma/J,3,1,6,2,30,2.5,,,,,,,,,
CPO3030,3030,5/9/2016,1/0/1900,25.94336,32.58124,60-29,2,,,,,,,5/9/2016,12:10:00 PM,5/10/2016,4:05:00 PM,5/11/2016,4:05:00 PM,3,5,999,76,999,999,0,0,Sumeya/Anabela,Mario Amos/Salma,3,1,7,2,39,1.4,,,,,,,,,
CPO3031,3031,5/3/2016,1/0/1900,25.94338,32.57972,034-43,2,,,,,,,5/3/2016,3:30:00 PM,5/3/2016,6:10:00 PM,5/4/2016,6:10:00 PM,2,5,999,12,999,29,,,Sumeya/Anabela,Mario Amos,3,1,6,0,0,1.55,,,,,,,,,
CPO3034,3034,5/9/2016,1/0/1900,25.94315,32.58111,047-43,2,,,,,,,5/9/2016,12:10:00 PM,5/9/2016,4:05:00 PM,5/10/2016,4:05:00 PM,3,5,999,999,999,999,0,0,Eloisa/Gizela,Mario Amos/Salma,3,1,7,3,999,2.1,,,,,,,,,
SCA2029,2029,5/19/2016,1/0/1900,25.9441,32.56049,072-43,1,1,,,,,,5/19/2016,11:25:00 AM,5/19/2016,5:15:00 PM,5/20/2016,5:15:00 PM,2,4,998,999,998,999,0,0,Eloisa/Gizela,Mario Amos/J,4,0,6,2,175,,,,,,,,,,
SCA2030,2030,5/6/2016,1/0/1900,25.94731,32.55198,043-43,1,1,,,,,,5/19/2016,11:25:00 AM,5/19/2016,5:15:00 PM,5/20/2016,5:16:00 PM,2,4,999,5,999,999,0,0,Eloisa/Gizela,J/Mario Amos,4,0,6,0,33,,,,,,,,,,
SCA2032,2032,5/31/2016,1/0/1900,25.94366,32.55768,101-29,1,1,,,,,,5/31/2016,2:15:00 PM,5/31/2016,6:50:00 PM,6/1/2016,6:50:00 PM,2,4,32,10,999,999,0,0,Sumeya/Anabela,Mario Amos/Laurinda,4,0,6,0,56,,27.18,,,,,,,,
SCA2034,2034,5/13/2016,1/0/1900,25.94372,32.55788,72-29,1,1,,,,,,5/13/2016,11:05:00 AM,5/13/2016,3:30:00 PM,5/14/2016,3:30:00 PM,2,4,998,35,998,999,0,0,Sumeya/Anabela,Salma/J,4,0,6,6,185,,52.67,,,,,,,,
SCA2035,2035,5/12/2016,1/0/1900,25.94493,32.55373,69-29,1,1,,,,,,5/12/2016,12:10:00 PM,5/12/2016,4:45:00 PM,5/13/2016,4:45:00 PM,2,4,998,60,998,999,,,Sumeya/Anabela,Laurinda/J,4,0,6,4,999,,51.54,,,,,,,,
SCA2036,2036,5/18/2016,1/0/1900,25.96208,32.58931,069-43,1,1,,,,,,5/18/2016,12:10:00 PM,5/18/2016,12:10:00 PM,5/19/2016,12:10:00 PM,2,4,998,999,998,999,0,0,Gizela/Eloisa,Salma/J,4,0,6,3,141,,37.35,,,,,,,,
SCA2037,2037,5/19/2016,1/0/1900,25.93123,32.56131,87-29,1,1,,,,,,5/19/2016,11:25:00 AM,5/19/2016,5:15:00 PM,5/20/2016,5:15:00 PM,2,4,998,999,998,999,0,0,Sumeya/Anabela,Mario Amos/J,4,0,6,0,999,,,,,,,,,,
SCA2038,2038,5/18/2016,1/0/1900,25.93495,32.56274,83-29,1,1,,,,,,5/18/2016,12:10:00 PM,5/18/2016,5:49:00 PM,5/19/2016,5:49:00 PM,2,4,42,0,999,41,0,0,Sumeya/Anabela,Salma/J,4,0,4,0,15,,56.53,,,,,,,,
SCA2039,2039,5/31/2016,1/0/1900,25.94912,32.55864,100-29,1,1,,,,,,5/31/2016,2:15:00 PM,5/31/2016,6:50:00 PM,6/1/2016,6:50:00 PM,2,4,999,13,999,999,0,0,Gizela/Eloisa,J/Mario Amos,4,0,6,0,25,,31.13,,,,,,,,
SCA2040,2040,5/24/2016,1/0/1900,25.94865,32.55929,95-29,1,1,,,,,,5/24/2016,11:15:00 AM,5/24/2016,3:35:00 PM,5/25/2016,3:35:00 PM,2,4,998,19,998,999,0,0,Sumeya/Anabela,Laurinda/Mario Amos,4,0,6,2,999,,40.13,,,,,,,,
SCA2041,2041,5/24/2016,1/0/1900,25.93351,32.56263,075-43,1,1,solo humido e com pedrinhas,,,,,5/24/2016,11:15:00 AM,5/24/2016,3:35:00 PM,5/25/2016,3:35:00 PM,2,4,998,998,998,998,0,0,Gizela/Eloisa,Laurinda/Mario Amos,4,0,6,13,999,,35.03,,,,,,,,
SCA2042,2042,5/12/2016,1/0/1900,25.94208,32.58847,055-43,1,1,,,,,,5/12/2016,12:10:00 PM,5/12/2016,4:45:00 PM,5/13/2016,4:45:00 PM,2,4,30,3,999,999,0,0,Gizela/Eloisa,Laurinda/J,4,0,6,2,170,,45.59,,,,,,,,
SCA2043,2043,5/13/2016,1/0/1900,25.94532,32.55682,058-43,1,1,,,,,,5/13/2016,11:05:00 AM,5/13/2016,3:30:00 PM,5/14/2016,3:30:00 PM,2,4,998,999,998,999,0,0,Gizela/Eloisa,Salma/J,4,0,6,22,999,,36.16,,,,,,,,
SCA2044,2044,5/23/2016,1/0/1900,25.94214,32.55713,090-29,1,1,,,,,,5/23/2016,11:40:00 AM,5/23/2016,3:50:00 PM,5/24/2016,3:50:00 PM,2,4,999,8,999,999,0,0,Gizela/Eloisa,J/Mario Amos,4,0,6,0,175,,31.44,,,,,,,,
SCA3001,3001,5/5/2016,1/0/1900,25.94451,32.57955,038-43,2,1,,,,,,5/5/2016,1:30:00 PM,5/5/2016,5:30:00 PM,5/6/2016,5:30:00 PM,2,4,63,27,998,999,0,0,Eloisa/Gizela,Laurinda/j,4,0,6,0,999,,,,,,,,,,
SCA3006,3006,5/10/2016,1/0/1900,25.96213,32.58968,049-43,2,1,,,,,,5/10/2016,11:42:00 AM,5/10/2016,4:05:00 PM,5/11/2016,4:05:00 PM,2,4,998,999,998,999,0,0,Eloisa/Gizela,Salma,4,0,6,19,999,,48.3,,,,,,,,
SCA3030,3030,5/9/2016,1/0/1900,25.94335,32.58104,59-29,2,1,O solo esta humido pela chuva,,,,,5/9/2016,12:10:00 PM,5/10/2016,4:05:00 PM,5/11/2016,4:05:00 PM,2,4,999,999,999,999,0,0,Sumeya/Anabela,Mario Amos/Salma,4,0,6,14,999,,45.99,,,,,,,,
SCA3031,3031,5/3/2016,1/0/1900,25.94342,32.57977,033-43,2,1,,,,,,5/3/2016,3:30:00 PM,5/3/2016,6:10:00 PM,5/4/2016,6:10:00 PM,2,5,998,999,998,999,0,0,Anabela/Sumeya,Mario Amos,4,0,6,5,36,,,,,,,,,,
SCA3032,3032,5/10/2016,1/0/1900,25.94332,32.58118,62-29,1,1,,,,,,5/10/2016,11:42:00 AM,5/10/2016,4:05:00 PM,5/11/2016,4:05:00 PM,2,4,998,36,998,999,0,0,Anabela/Sumeya,Salma/Mario,4,0,6,0,999,,39.95,,,,,,,,
SCA3033,3033,5/11/2016,1/0/1900,25.94157,32.58826,066-29,2,1,,,,,,5/11/2016,11:00:00 AM,5/11/2016,4:00:00 PM,5/12/2016,4:00:00 PM,2,4,998,3,998,999,0,0,Eloisa/Gizela,J/Salma,4,0,6,0,999,,42.56,,,,,,,,
SCA3034,3034,5/9/2016,1/0/1900,25.94716,32.55196,046-43,2,1,Solo Humido,,,,,5/9/2016,12:10:00 PM,5/10/2016,4:10:00 PM,5/11/2016,4:10:00 PM,2,4,998,999,998,999,0,0,Eloisa/Gizela,Mario Amos/Salma,4,0,6,5,999,,48.68,,,,,,,,
SCA3036,3036,5/11/2016,1/0/1900,25.94165,32.58835,52-43,2,1,,,,,,5/11/2016,11:00:00 AM,5/11/2016,4:00:00 PM,5/12/2016,4:00:00 PM,2,4,998,41,998,999,0,0,Sumeya/Anabela,J/Salma,4,0,6,0,190,,51.49,,,,,,,,
SCA3037,3037,5/5/2016,1/0/1900,25.945,32.57927,51-29,2,1,,,,,,5/5/2016,1:30:00 PM,5/5/2016,5:30:00 PM,5/6/2016,5:30:00 PM,2,4,998,3,998,999,0,0,Anabela/Sumeya,Laurinda/J,4,0,6,0,89,,,,,,,,,,
SCA3039,3039,5/3/2016,1/0/1900,25.94148,32.58819,031-43,2,1,,,,,,5/3/2016,3:30:00 PM,5/3/2016,6:10:00 PM,5/4/2016,6:10:00 PM,2,4,998,999,998,999,0,0,Anabela/Eloisa,Mario Amos,4,0,6,134,999,,,,,,,,,,
SCB2029,2029,5/31/2016,1/0/1900,25.9441,32.56049,072-43,1,3,,,,,,5/31/2016,11:25:00 AM,5/31/2016,5:15:00 PM,6/1/2016,5:15:00 PM,2,4,999,999,999,999,0,0,Eloisa/Gizela,Mario Amos/J,4,0,6,2,28,,,,,,,,,,
SCB2030,2030,5/6/2016,1/0/1900,25.94731,32.55198,043-43,1,3,,,,,,5/6/2016,12:40:00 PM,5/6/2016,5:05:00 PM,5/7/2016,5:05:00 PM,2,4,998,8,998,999,0,0,Eloisa/Gizela,J/Mario Amos,4,0,6,0,999,,,,,,,,,,
SCB2031,2031,5/6/2016,1/0/1900,25.94634,32.55229,56-29,1,3,,,,,,5/6/2016,12:40:00 PM,5/6/2016,5:05:00 PM,5/7/2016,5:05:00 PM,2,4,998,999,998,0,0,0,Sumeya/Anabela,J/Mario Amos,4,0,6,44,0,,,,,,,,,,
SCB2032,2032,5/31/2016,1/0/1900,25.94366,32.55768,101-29,1,3,,,,,,5/31/2016,2:15:00 PM,5/31/2016,6:50:00 PM,6/1/2016,6:50:00 PM,2,4,998,25,998,999,0,0,Anabela/Sumeya,Mario Amos/Laurinda,4,0,6,2,2,,45.18,,,,,,,,
SCB2034,2034,5/13/2016,1/0/1900,25.94372,32.55788,72-29,1,3,,,,,,5/13/2016,11:05:00 AM,5/13/2016,3:30:00 PM,5/14/2016,3:30:00 PM,2,4,998,30,998,999,,,Sumeya/Anabela,Salma/J,4,0,6,3,22,,38.62,,,,,,,,
SCB2035,2035,5/12/2016,1/0/1900,25.94493,32.55373,69-29,1,3,,,,,,5/12/2016,12:10:00 PM,5/12/2016,4:45:00 PM,5/13/2016,4:45:00 PM,2,4,54,11,999,999,,,Sumeya/Anabela,Laurinda/j,4,0,6,0,120,,48.91,,,,,,,,
SCB2036,2036,5/18/2016,1/0/1900,25.96208,32.58931,069-43,1,3,,,,,,5/18/2016,12:10:00 PM,5/18/2016,5:49:00 PM,5/19/2016,5:49:00 PM,2,4,998,999,998,999,0,0,Eloisa/Gizela,Salma/J,4,0,5,0,999,,49.3,,,,,,,,
SCB2037,2037,5/19/2016,1/0/1900,25.93123,32.56131,87-29,1,3,,,,,,5/19/2016,11:25:00 AM,5/19/2016,5:15:00 PM,5/20/2016,5:15:00 PM,2,4,999,63,999,999,0,0,Sumeya/Anabela,Mario Amos/J,4,0,6,5,41,,,,,,,,,,
