HouseholdID,CompoundID,MapSanHHID,dd,th,neighbor,lat,long,hh_q1,A_od,C_od,A_cf_rs,C_cf_rs,has_l,A_use_l,C_use_l,hh_q9,no_la_a,no_la_b,no_la_c,no_la_d,no_la_e,A_drink_MW,C_drink_MW,A_raw_P,C_raw_P,W_treat,collectr,group
50,2043,03,5/22/2016,3:31:00 PM,1,25.94532,32.55682,1,4,4,1,1,,2,,4,1,0,0,0,0,1,1,3,3,0,Gizela Dalila,0
51,2039,03,5/22/2016,3:56:00 PM,1,25.94915,32.55848,1,4,4,2,1,,1,,6,0,0,1,0,0,1,1,3,3,0,Gizela Dalila,0
52,2039,05,5/22/2016,3:53:00 PM,1,25.94915,32.55848,1,4,4,1,1,,2,,6,0,0,0,0,0,1,1,3,3,0,Eloisa Mula,0
53,2032,03,5/16/2016,10:19:00 AM,1,25.94346,32.55752,0,4,,4,,,2,,9,0,1,1,0,0,1,,3,,0,Anabela Mondlane,0
54,3006,07,5/10/2016,9:55:00 AM,2,25.96213,32.58968,1,3,4,2,1,1,2,2,7,1,0,0,0,0,1,1,3,3,0,Gizela Dalila,0
55,2032,04,5/16/2016,10:25:00 AM,1,25.94346,32.55752,0,4,,3,,,2,,9,1,0,0,0,0,1,,3,,0,Sumeya Branco,0
56,2032,07,5/16/2016,9:33:00 AM,1,25.94346,32.55752,1,4,4,1,1,,2,,9,0,0,0,0,0,1,1,3,3,0,Anabela Mondlane,0
57,2041,02,5/17/2016,10:12:00 AM,1,25.95263,32.55973,1,4,4,1,3,,3,,6,1,0,0,0,0,1,1,3,3,0,Gizela Dalila,0
58,2041,01,5/17/2016,10:10:00 AM,1,25.95263,32.55973,0,4,,3,,,2,,6,0,0,1,0,0,1,,3,,0,Eloisa Mula,0
59,2041,04,5/22/2016,5:02:00 PM,1,25.95263,32.55973,1,4,4,2,2,,2,,3,0,0,1,0,0,1,1,3,3,1,Gizela Dalila,0
60,2041,07,5/22/2016,2:30:00 PM,1,25.95263,32.55973,0,4,,1,,,3,,1,0,0,1,0,0,1,,3,,1,Eloisa Mula,0
61,2041,03,5/22/2016,4:42:00 PM,1,25.95263,32.55973,0,4,,2,,,3,,3,1,0,0,0,0,1,,3,,1,Gizela Dalila,0
62,2040,01,5/17/2016,9:40:00 AM,1,25.94866,32.55929,1,4,4,1,1,,2,,4,0,0,0,0,0,1,1,3,3,0,Anabela Mondlane,0
63,2040,01,5/22/2016,4:27:00 PM,1,25.94866,32.55929,0,4,,1,,,2,,4,0,0,1,0,0,1,,3,,0,Sumeya Branco,0
64,2040,02,5/22/2016,4:22:00 PM,1,25.94866,32.55929,1,4,4,2,2,,2,,4,1,0,0,0,0,1,1,3,3,0,Anabela Mondlane,0
65,2040,04,5/17/2016,10:02:00 AM,1,25.94866,32.55929,0,4,,2,,,2,,4,0,0,1,0,0,1,,3,,0,Sumeya Branco,0
66,2036,01,5/18/2016,10:05:00 AM,1,25.96208,32.58931,1,4,4,2,1,,2,,6,0,0,1,0,0,1,1,3,3,0,Gizela Dalila,0
67,2036,02,5/18/2016,10:09:00 AM,1,25.96208,32.58931,0,4,,3,,,2,,6,0,0,1,0,0,1,,3,,0,Eloisa Mula,0
68,2036,03,5/18/2016,10:15:00 AM,1,25.96208,32.58931,1,4,4,1,1,,1,,6,0,0,1,0,0,1,1,3,3,0,Eloisa Mula,0
69,2038,01,5/18/2016,10:18:00 AM,1,25.93495,32.56274,0,4,,3,,,2,,6,0,1,0,0,0,5,,3,,0,Sumeya Branco,0
70,2038,06,5/18/2016,10:12:00 AM,1,25.93495,32.56274,1,4,4,2,1,,2,,6,0,1,1,0,0,5,5,3,3,0,Sumeya Branco,0
71,2038,03,5/18/2016,9:52:00 AM,1,25.93495,32.56274,0,4,,3,,,3,,,0,0,1,0,0,5,,4,,,Sumeya Branco,0
72,2038,02,5/17/2016,10:06:00 AM,1,25.93495,32.56274,0,4,,4,,,2,,6,0,1,0,0,0,1,,2,,0,Anabela Mondlane,0
73,2029,01,5/19/2016,10:20:00 AM,1,25.9441,32.56049,1,4,4,1,3,,2,,2,1,0,0,0,0,1,1,3,3,0,Gizela Dalila,0
74,2029,03,5/19/2016,10:23:00 AM,1,25.9441,32.56049,1,4,4,1,2,,2,,2,1,0,0,0,0,1,1,3,3,0,Gizela Dalila,0
75,2029,04,5/19/2016,10:33:00 AM,1,25.9441,32.56049,0,4,,1,,,2,,2,1,0,0,0,0,1,,3,,0,Gizela Dalila,0
76,2029,05,5/19/2016,10:45:00 AM,1,25.9441,32.56049,0,4,,1,,,2,,1,1,0,0,0,0,1,,3,,0,Eloisa Mula,0
77,2029,02,5/19/2016,10:28:00 AM,1,25.9441,32.56049,1,4,4,1,2,,3,,1,1,0,0,0,0,4,4,3,3,0,Eloisa Mula,0
78,2037,01,5/19/2016,9:49:00 AM,1,25.93123,32.56131,0,4,,1,,,2,,4,0,0,1,0,0,1,,3,,1,Anabela Mondlane,0
79,2037,04,5/19/2016,9:45:00 AM,1,25.93123,32.56131,0,4,,2,,,2,,4,0,0,1,0,0,1,,3,,,Sumeya Branco,0
80,2037,03,5/19/2016,9:52:00 AM,1,25.93123,32.56131,0,4,,2,,,2,,4,1,0,0,0,0,1,,3,,0,Sumeya Branco,0
81,2037,01,5/19/2016,9:35:00 AM,1,25.93123,32.56131,0,4,,1,,,1,,4,0,0,1,0,0,1,,3,,0,Anabela Mondlane,0
82,3036,03,5/4/2016,10:39:00 AM,2,25.94155,32.59825,1,2,4,3,5,1,2,2,3,0,0,1,0,0,1,1,2,2,0,Sumeya Branco,0
83,3033,01,5/4/2016,10:21:00 AM,2,25.94158,32.58819,1,4,4,2,1,1,2,3,5,0,0,1,0,0,1,1,3,3,0,Gizela Dalila,0
84,3033,03,5/4/2016,10:26:00 AM,2,25.94157,32.58826,0,4,,3,,1,2,,5,0,1,1,0,0,1,,1,,0,Eloisa Mula,0
85,3033,04,5/4/2016,10:19:00 AM,2,25.94158,32.58819,1,4,4,3,3,1,3,5,5,0,1,1,0,0,1,1,3,3,0,Eloisa Mula,0
86,3039,01,5/3/2016,10:02:00 AM,2,25.94148,32.58819,0,4,,2,,1,1,,2,0,1,0,0,0,1,,3,,0,Sumeya Branco,0
87,2032,07,5/22/2016,4:45:00 PM,1,25.94346,32.55752,1,4,4,1,1,,2,,9,0,1,0,0,0,1,1,3,3,0,Anabela Mondlane,0
88,2040,05,5/24/2016,9:39:00 AM,1,25.94865,32.55929,1,4,4,2,2,,1,,4,1,0,0,0,0,1,1,3,3,0,Anabela Mondlane,0
89,3006,06,5/10/2016,10:00:00 AM,2,25.96213,32.58968,1,3,4,1,1,1,2,5,7,0,1,1,0,0,1,1,3,3,1,Eloisa Mula,0
90,2036,04,5/29/2016,1:42:00 PM,1,25.93679,32.56397,0,4,,2,,,2,,6,0,0,1,0,0,1,,3,,0,Gizela Dalida,0
91,2036,06,5/29/2016,1:56:00 PM,1,25.93679,32.56397,1,4,4,2,2,,2,2,6,0,0,1,0,0,1,1,3,3,0,Gizela Dailida,0
92,3030,05,5/27/2016,9:15:00 AM,2,25.94158,32.58819,0,4,,3,,1,2,,5,0,0,1,0,0,1,,3,,0,Gizela Dalida,0
93,3033,06,5/27/2016,9:30:00 AM,2,25.94158,32.58819,1,4,4,2,2,1,2,3,5,1,0,0,0,0,1,1,3,3,0,Gizela Dailida,0
94,3037,50,5/25/2016,5:19:00 PM,2,25.945,32.57927,0,1,,1,,1,2,,8,1,0,0,0,0,1,,4,,0,Anabela Mondlane,0
95,3001,15,5/26/2016,2:45:00 PM,2,25.94451,32.57955,1,3,5,1,1,1,3,1,18,0,0,1,0,0,1,1,3,3,0,Eloisa Mula,0
96,3034,51,5/25/2016,5:06:00 PM,2,25.94716,32.55196,0,1,,1,,1,2,,5,0,0,1,0,0,1,,3,,0,Anabela Mondlane,0
97,3006,03,5/26/2016,3:18:00 PM,2,25.96213,32.58968,1,4,4,2,2,1,2,2,7,0,1,0,0,0,1,1,3,3,0,Eloisa Mula,0
98,3031,50,5/29/2016,5:08:00 PM,2,25.94345,32.57972,0,1,,1,,1,3,,6,0,0,1,0,0,1,,3,,0,Anabela Mondlane,0
99,2039,06,5/29/2016,9:50:00 AM,1,25.94913,32.55861,1,4,4,1,1,,3,,6,0,0,1,0,0,1,1,3,3,0,Gizela Dalila,0
01,3036,01,5/11/2016,9:21:00 AM,2,25.94165,32.58835,,4,4,2,2,1,2,2,,0,1,0,0,0,1,1,3,3,0,Anabela Mondlane,1
02,2044,02,5/23/2016,10:53:00 AM,1,25.94214,32.55713,,4,4,1,1,,2,2,,0,0,1,0,0,5,1,3,3,0,Eloisa Mula,1
03,2039,06,5/22/2016,2:49:00 PM,1,25.94915,32.55848,,,,1,1,,5,1,,0,0,1,0,0,5,1,3,3,0,Eloisa Mula,1
04,3001,15,5/5/2016,10:15:00 AM,2,25.94451,32.57955,,4,3,5,3,1,3,2,,0,1,0,0,0,1,1,3,3,1,Eloisa Mula,1
05,2032,07,5/22/2016,4:45:00 PM,1,25.94346,32.55752,,4,4,2,2,,3,3,,0,0,1,0,0,1,1,5,3,1,Sumeya Branco,1
06,3001,02,5/5/2016,10:00:00 AM,2,25.94451,32.57955,,4,3,3,3,1,5,2,,0,1,1,0,0,1,1,3,3,0,Eloisa Mula,1
07,2029,02,5/22/2016,3:43:00 PM,1,25.94407,32.56064,,4,4,1,1,,5,2,,0,0,1,0,0,1,1,5,3,0,Eloisa Mula,1
08,3001,21,5/5/2016,10:10:00 AM,2,25.94451,32.57955,,3,3,3,3,1,5,2,,0,1,0,0,0,1,1,3,3,0,Eloisa Mula,1
09,2031,07,5/6/2016,9:53:00 AM,1,25.944634,32.55229,,1,2,1,1,,2,2,,1,0,0,0,0,1,1,3,3,0,Anabela Mondlane,1
10,2031,01,5/6/2016,10:59:00 AM,1,25.94634,32.55229,,2,2,5,1,,5,2,,0,0,1,0,0,1,1,4,4,0,Anabela,1
11,2031,04,5/6/2016,10:20:00 AM,1,25.94634,32.55229,,4,4,5,2,,3,3,,0,0,1,0,0,1,1,3,3,0,Sumeya Branco,1
12,2030,02,5/6/2016,9:49:00 AM,1,25.94731,32.55198,,4,4,1,1,,2,2,,0,0,1,0,0,1,1,3,3,0,Gizela,1
13,3030,03,5/9/2016,10:14:00 AM,2,25.94335,32.58104,,1,1,1,1,1,2,2,,0,0,1,0,0,1,1,3,3,0,Anabela,1
14,2030,02,5/6/2016,9:40:00 AM,1,25.94731,32.55198,,5,4,1,1,,5,3,,0,1,1,0,0,1,1,3,3,0,Eloisa Mula,1
15,3032,01,5/10/2016,10:41:00 AM,2,25.94332,32.58118,,4,4,4,1,1,2,2,,0,1,0,0,0,1,1,3,3,0,Anabela Mondlane,1
16,3006,06,5/10/2016,9:56:00 AM,2,25.96213,32.58968,,4,4,2,1,1,5,3,,0,0,1,0,0,1,1,3,3,0,Eloisa Mula,1
17,3006,07,5/10/2016,9:50:00 AM,2,25.96213,32.58968,,5,4,5,1,1,5,3,,0,0,1,0,0,1,1,3,3,0,Eloisa Mula,1
18,3006,01,5/10/2016,10:20:00 AM,2,25.96213,32.58968,,4,4,4,2,1,5,2,,0,0,1,0,0,1,1,3,3,0,Gizela Dalila,1
19,3031,03,4/28/2016,10:17:00 AM,2,25.94345,32.57972,,2,1,2,1,1,1,1,,0,0,1,0,0,1,1,3,3,0,Anabela Mondlane,1
20,2042,01,5/12/2016,10:04:00 AM,1,25.94208,32.58847,,4,4,3,1,,5,3,,0,1,0,0,0,1,1,3,3,0,Eloisa Mula,1
21,2042,02,5/12/2016,10:04:00 AM,1,25.94208,32.58847,,4,4,1,1,,2,2,,0,1,0,0,0,1,1,3,3,0,Gizela Dalila,1
22,2042,01,5/12/2016,10:21:00 AM,1,25.94208,32.58847,,4,3,3,1,,5,2,,0,0,1,0,0,1,1,3,3,0,Eloisa Mula,1
23,2035,05,5/12/2016,10:11:00 AM,1,25.94493,32.55373,,5,4,5,3,,5,2,,0,1,1,0,0,1,1,5,3,0,Sumeya Branco,1
24,2034,04,5/22/2016,4:38:00 PM,1,25.94372,32.55788,,4,4,1,1,,5,3,,0,1,0,0,0,1,1,3,3,0,Anabela Mondlane,1
25,2034,01,5/13/2016,10:08:00 AM,1,25.94372,32.55788,,4,4,4,3,,3,2,,0,0,1,0,0,1,1,3,3,0,Sumeya Branco,1
26,2043,03,5/13/2016,10:00:00 AM,1,25.94532,32.55682,,,,5,3,,2,1,,0,1,0,0,0,1,1,3,3,0,Gizela Brito,1
27,2043,02,5/13/2016,10:10:00 AM,1,25.94532,32.55682,,4,4,5,1,,5,2,,0,0,1,0,0,1,1,3,3,0,Eloisa Mula,1
28,2043,02,5/13/2016,10:05:00 AM,1,25.94532,32.55682,,4,4,2,1,,5,2,,0,0,1,0,0,1,1,3,3,0,Eloisa Mula,1
29,2041,02,5/17/2016,10:20:00 AM,1,25.95263,32.55973,,4,4,5,3,,5,2,,0,1,0,0,0,1,1,3,3,1,Eloisa Mula,1
30,2036,01,5/18/2016,10:23:00 AM,1,25.96208,32.58931,,4,4,4,4,,5,2,,0,1,0,0,0,1,1,3,3,0,Eloisa Mula,1
31,2038,06,5/18/2016,10:05:00 AM,1,25.93495,32.56274,,4,4,3,3,,5,3,,1,0,0,0,0,1,1,3,3,0,Sumeya Branco,1
32,3037,04,5/5/2016,10:13:00 AM,2,25.945,32.57927,,1,1,1,1,1,5,3,,0,0,1,0,0,1,1,3,3,0,Anabela Mondlane,1
33,3033,04,5/27/2016,9:06:00 AM,2,25.94158,32.58819,,5,4,3,2,1,2,2,,0,0,1,0,0,1,1,3,3,0,Eloisa Mula,1
34,3034,04,5/26/2016,3:01:00 PM,2,25.94716,32.55196,,3,4,1,1,1,2,2,,0,1,0,0,0,1,1,3,3,0,Eloisa Mula,1
35,3037,03,5/25/2016,4:27:00 PM,2,25.945,32.57927,,4,2,1,1,1,2,2,,0,1,0,0,0,1,1,3,3,0,Anabela Mondlane,1
36,2029,03,5/29/2016,1:21:00 PM,1,25.94407,32.56054,,4,4,1,1,,2,2,,0,0,1,0,0,1,1,3,3,0,Gizela Dalila,1
37,2044,02,5/29/2016,1:00:00 PM,1,25.94214,32.55703,,4,4,1,2,,5,2,,0,0,1,0,0,1,1,3,3,0,Gizela Dalila,1
