HouseholdID,CompoundID,MapSanHHID,hh_dd,hh_th,neighbor,hh_lat,hh_long,hh_q1,hh_q2,hh_q3,hh_q4,hh_q5,hh_q6,hh_q7,hh_q8,hh_q9,hh_q10a,hh_q10b,hh_q10c,hh_q10d,hh_q10e,hh_q11,hh_q12,hh_q13,hh_q14,hh_q15,collectr
39,2035,04,5/12/2016,10:06:00 AM,1,25.94493,32.55373,1,4,4,1,1,,2,,5,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,3,3,0,Anabela Mondlane
40,2035,02,5/12/2016,10:15:00 AM,1,25.94493,32.55373,0,,,1,,,2,,5,TRUE,FALSE,FALSE,FALSE,FALSE,1,,3,,0,Anabela Mondlane
41,2035,03,5/22/2016,3:50:00 PM,1,25.94493,32.55373,1,4,4,1,1,,2,,6,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,3,3,1,Anabela Mondlane
42,2035,02,5/22/2016,3:49:00 PM,1,25.94493,32.55373,0,4,,1,,,2,,5,FALSE,TRUE,TRUE,FALSE,FALSE,1,,3,,0,Sumeya Branco
43,2034,04,5/13/2016,10:11:00 AM,1,25.94372,32.55788,0,4,,1,,,3,,,FALSE,TRUE,TRUE,FALSE,FALSE,1,,3,,0,Sumeya Branco
44,2034,01,5/13/2016,10:02:00 AM,1,25.94372,32.55788,1,4,4,1,1,,3,,4,TRUE,TRUE,FALSE,FALSE,FALSE,1,1,3,3,0,Sumeya Branco
45,2034,04,5/13/2016,10:08:00 AM,1,25.94372,32.55788,1,4,4,1,1,,2,,4,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,3,3,0,Anabela Mondlane
46,2034,04,5/13/2016,10:00:00 AM,1,25.94372,32.55788,1,4,4,1,1,,2,,4,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,3,3,0,Anabela Mondlane
47,2043,01,5/13/2016,10:20:00 AM,1,25.94532,32.55682,1,4,4,1,1,,1,,4,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,3,3,0,Gizela Brito
48,2043,02,5/13/2016,10:26:00 AM,1,25.94532,32.55682,1,4,4,1,1,,2,,4,FALSE,TRUE,TRUE,FALSE,FALSE,2,1,3,3,0,Eloisa Mula
49,2043,05,5/22/2016,3:22:00 PM,1,25.94532,32.55682,0,4,,1,,,2,,4,FALSE,FALSE,TRUE,FALSE,FALSE,3,,1,,0,Eloisa Mula
50,2043,03,5/22/2016,3:31:00 PM,1,25.94532,32.55682,1,4,4,1,1,,2,,4,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,3,3,0,Gizela Dalila
51,2039,03,5/22/2016,3:56:00 PM,1,25.94915,32.55848,1,4,4,2,1,,1,,6,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,3,3,0,Gizela Dalila
52,2039,05,5/22/2016,3:53:00 PM,1,25.94915,32.55848,1,4,4,1,1,,2,,6,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,3,3,0,Eloisa Mula
53,2032,03,5/16/2016,10:19:00 AM,1,25.94346,32.55752,0,4,,4,,,2,,9,FALSE,TRUE,TRUE,FALSE,FALSE,1,,3,,0,Anabela Mondlane
54,3006,07,5/10/2016,9:55:00 AM,2,25.96213,32.58968,1,3,4,2,1,1,2,2,7,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,3,3,0,Gizela Dalila
55,2032,04,5/16/2016,10:25:00 AM,1,25.94346,32.55752,0,4,,3,,,2,,9,TRUE,FALSE,FALSE,FALSE,FALSE,1,,3,,0,Sumeya Branco
56,2032,07,5/16/2016,9:33:00 AM,1,25.94346,32.55752,1,4,4,1,1,,2,,9,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,3,3,0,Anabela Mondlane
57,2041,02,5/17/2016,10:12:00 AM,1,25.95263,32.55973,1,4,4,1,3,,3,,6,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,3,3,0,Gizela Dalila
58,2041,01,5/17/2016,10:10:00 AM,1,25.95263,32.55973,0,4,,3,,,2,,6,FALSE,FALSE,TRUE,FALSE,FALSE,1,,3,,0,Eloisa Mula
59,2041,04,5/22/2016,5:02:00 PM,1,25.95263,32.55973,1,4,4,2,2,,2,,3,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,3,3,1,Gizela Dalila
60,2041,07,5/22/2016,2:30:00 PM,1,25.95263,32.55973,0,4,,1,,,3,,1,FALSE,FALSE,TRUE,FALSE,FALSE,1,,3,,1,Eloisa Mula
61,2041,03,5/22/2016,4:42:00 PM,1,25.95263,32.55973,0,4,,2,,,3,,3,TRUE,FALSE,FALSE,FALSE,FALSE,1,,3,,1,Gizela Dalila
62,2040,01,5/17/2016,9:40:00 AM,1,25.94866,32.55929,1,4,4,1,1,,2,,4,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,3,3,0,Anabela Mondlane
63,2040,01,5/22/2016,4:27:00 PM,1,25.94866,32.55929,0,4,,1,,,2,,4,FALSE,FALSE,TRUE,FALSE,FALSE,1,,3,,0,Sumeya Branco
64,2040,02,5/22/2016,4:22:00 PM,1,25.94866,32.55929,1,4,4,2,2,,2,,4,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,3,3,0,Anabela Mondlane
65,2040,04,5/17/2016,10:02:00 AM,1,25.94866,32.55929,0,4,,2,,,2,,4,FALSE,FALSE,TRUE,FALSE,FALSE,1,,3,,0,Sumeya Branco
66,2036,01,5/18/2016,10:05:00 AM,1,25.96208,32.58931,1,4,4,2,1,,2,,6,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,3,3,0,Gizela Dalila
67,2036,02,5/18/2016,10:09:00 AM,1,25.96208,32.58931,0,4,,3,,,2,,6,FALSE,FALSE,TRUE,FALSE,FALSE,1,,3,,0,Eloisa Mula
68,2036,03,5/18/2016,10:15:00 AM,1,25.96208,32.58931,1,4,4,1,1,,1,,6,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,3,3,0,Eloisa Mula
69,2038,01,5/18/2016,10:18:00 AM,1,25.93495,32.56274,0,4,,3,,,2,,6,FALSE,TRUE,FALSE,FALSE,FALSE,5,,3,,0,Sumeya Branco
70,2038,06,5/18/2016,10:12:00 AM,1,25.93495,32.56274,1,4,4,2,1,,2,,6,FALSE,TRUE,TRUE,FALSE,FALSE,5,5,3,3,0,Sumeya Branco
71,2038,03,5/18/2016,9:52:00 AM,1,25.93495,32.56274,0,4,,3,,,3,,,FALSE,FALSE,TRUE,FALSE,FALSE,5,,4,,,Sumeya Branco
72,2038,02,5/17/2016,10:06:00 AM,1,25.93495,32.56274,0,4,,4,,,2,,6,FALSE,TRUE,FALSE,FALSE,FALSE,1,,2,,0,Anabela Mondlane
73,2029,01,5/19/2016,10:20:00 AM,1,25.9441,32.56049,1,4,4,1,3,,2,,2,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,3,3,0,Gizela Dalila
74,2029,03,5/19/2016,10:23:00 AM,1,25.9441,32.56049,1,4,4,1,2,,2,,2,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,3,3,0,Gizela Dalila
75,2029,04,5/19/2016,10:33:00 AM,1,25.9441,32.56049,0,4,,1,,,2,,2,TRUE,FALSE,FALSE,FALSE,FALSE,1,,3,,0,Gizela Dalila
76,2029,05,5/19/2016,10:45:00 AM,1,25.9441,32.56049,0,4,,1,,,2,,1,TRUE,FALSE,FALSE,FALSE,FALSE,1,,3,,0,Eloisa Mula
77,2029,02,5/19/2016,10:28:00 AM,1,25.9441,32.56049,1,4,4,1,2,,3,,1,TRUE,FALSE,FALSE,FALSE,FALSE,4,4,3,3,0,Eloisa Mula
78,2037,01,5/19/2016,9:49:00 AM,1,25.93123,32.56131,0,4,,1,,,2,,4,FALSE,FALSE,TRUE,FALSE,FALSE,1,,3,,1,Anabela Mondlane
79,2037,04,5/19/2016,9:45:00 AM,1,25.93123,32.56131,0,4,,2,,,2,,4,FALSE,FALSE,TRUE,FALSE,FALSE,1,,3,,,Sumeya Branco
80,2037,03,5/19/2016,9:52:00 AM,1,25.93123,32.56131,0,4,,2,,,2,,4,TRUE,FALSE,FALSE,FALSE,FALSE,1,,3,,0,Sumeya Branco
81,2037,01,5/19/2016,9:35:00 AM,1,25.93123,32.56131,0,4,,1,,,1,,4,FALSE,FALSE,TRUE,FALSE,FALSE,1,,3,,0,Anabela Mondlane
82,3036,03,5/4/2016,10:39:00 AM,2,25.94155,32.59825,1,2,4,3,5,1,2,2,3,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,2,2,0,Sumeya Branco
83,3033,01,5/4/2016,10:21:00 AM,2,25.94158,32.58819,1,4,4,2,1,1,2,3,5,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,3,3,0,Gizela Dalila
