HouseholdID,CompoundID,MapSanHHID,ch_dd,ch_th,neighbor,ch_lat,ch_long,ch_q1,ch_q2,ch_q3,ch_q4,ch_q5,ch_q6,ch_q7,ch_q8a,ch_q8b,ch_q8c,ch_q8d,ch_q8e,ch_q9,ch_q10,ch_q11,ch_q12,ch_q13,collectr
24,2034,04,5/22/2016,4:38:00 PM,1,25.94372,32.55788,4,4,1,1,,3,5,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,3,3,0,Anabela Mondlane
25,2034,01,5/13/2016,10:08:00 AM,1,25.94372,32.55788,4,4,3,4,,2,3,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,3,3,0,Sumeya Branco
26,2043,03,5/13/2016,10:00:00 AM,1,25.94532,32.55682,,,3,5,,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,3,3,0,Gizela Brito
27,2043,02,5/13/2016,10:10:00 AM,1,25.94532,32.55682,4,4,1,5,,2,5,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,3,3,0,Eloisa Mula
28,2043,02,5/13/2016,10:05:00 AM,1,25.94532,32.55682,4,4,1,2,,2,5,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,3,3,0,Eloisa Mula
29,2041,02,5/17/2016,10:20:00 AM,1,25.95263,32.55973,4,4,3,5,,2,5,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,3,3,1,Eloisa Mula
30,2036,01,5/18/2016,10:23:00 AM,1,25.96208,32.58931,4,4,4,4,,2,5,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,3,3,0,Eloisa Mula
31,2038,06,5/18/2016,10:05:00 AM,1,25.93495,32.56274,4,4,3,3,,3,5,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,3,3,0,Sumeya Branco
32,3037,04,5/5/2016,10:13:00 AM,2,25.945,32.57927,1,1,1,1,1,3,5,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,3,3,0,Anabela Mondlane
33,3033,04,5/27/2016,9:06:00 AM,2,25.94158,32.58819,4,5,2,3,1,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,3,3,0,Eloisa Mula
34,3034,04,5/26/2016,3:01:00 PM,2,25.94716,32.55196,4,3,1,1,1,2,2,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,3,3,0,Eloisa Mula
35,3037,03,5/25/2016,4:27:00 PM,2,25.945,32.57927,2,4,1,1,1,2,2,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,3,3,0,Anabela Mondlane
36,2029,03,5/29/2016,1:21:00 PM,1,25.94407,32.56054,4,4,1,1,,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,3,3,0,Gizela Dalila
37,2044,02,5/29/2016,1:00:00 PM,1,25.94214,32.55703,4,4,2,1,,2,5,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,3,3,0,Gizela Dalila
