start_dt,subscriberid,simserial,deviceid,col_id,col_id_val,col_start,col_location,_col_location_latitude,_col_location_longitude,_col_location_altitude,_col_location_precision,col_gps_device,col_gps_device_id,col_gps_device_wp,col_gps_device_lat,col_gps_device_lon,col_neighborhood,col_sample_type,col_pa_group,col_pa_prox,col_pa_type,col_pa_type_other,col_pa_latrine_distance,col_bw_group,col_bw_type,col_bw_type_other,col_bw_container,col_bw_container_lid,col_f_group,col_f_latrine_distance,col_p_group,col_p_type,col_p_num,col_ws_group,col_ws_container,col_ws_container_lid,col_b_group,col_b_source,col_b_source_other,col_b_container,col_b_container_lid,col_ww_group,col_ww_source,col_ww_source_other,col_ww_container,col_ww_container_lid,col_i_group,col_i_container,col_i_container_lid,col_s_group,col_s_type,col_s_type_other,col_d_group,col_d_water_level,col_d_water_flow,col_d_size,col_d_lining,col_d_prompt,col_d_feces,col_d_animals,col_d_schools,col_d_urban_ag,col_d_public_latrines,col_d_hh_latrines,col_d_businesses,col_d_hh,col_d_hh_num,col_close,col_enum,col_notes,end_dt,meta/instanceID,_id,_uuid,_submission_time,_index,_parent_table_name,_parent_index
2016-10-04T09:11:16.496+07,4.56062E+14,8.98551E+18,3.59125E+14,Dwb206,Dwb206,2016-10-04T09:11:00.000+07,13.37634043 103.85765355 3.0 5.0,13.37634043,103.8576536,3,5,0,,,,,2,22,,,,,,,,,,,,,,,,,,,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ksc, ls",Buy water along the road,2016-10-04T09:12:27.864+07,uuid:643891c3-5396-43dd-bd88-6e5719425695,1217,643891c3-5396-43dd-bd88-6e5719425695,2016-10-04T03:15:18,91,,-1
2016-10-04T09:28:17.657+07,4.56062E+14,8.98551E+18,3.59125E+14,Dwb207,Dwb207,2016-10-04T09:28:00.000+07,13.37714702 103.85848176 6.0 5.0,13.37714702,103.8584818,6,5,0,,,,,2,22,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ksc, ls",Buy water along the road,2016-10-04T09:29:47.791+07,uuid:3fb95c56-540b-4a0d-a258-229fe47bb9c4,1220,3fb95c56-540b-4a0d-a258-229fe47bb9c4,2016-10-04T03:15:24,94,,-1
2016-10-05T09:36:47.554+07,4.56062E+14,8.98551E+18,3.59125E+14,Dwb208,Dwb208,2016-10-05T09:37:00.000+07,13.37672066 103.85481993 -12.0 5.0,13.37672066,103.8548199,-12,5,0,,,,,2,22,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ksc, ls",Buy water along kumruthemey road,2016-10-05T09:38:26.975+07,uuid:3e1d25f6-da06-4750-8966-8aa858b31754,1252,3e1d25f6-da06-4750-8966-8aa858b31754,2016-10-05T03:05:14,112,,-1
2016-10-05T09:38:29.809+07,4.56062E+14,8.98551E+18,3.59125E+14,Dwb209,Dwb209,2016-10-05T09:38:00.000+07,13.37667667 103.8547178 -2.0 6.0,13.37667667,103.8547178,-2,6,0,,,,,2,22,,,,,,,,,,,,,,,,,,,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ksc, ls",Buy water along the kumruthemey road,2016-10-05T09:40:05.217+07,uuid:81b7d362-511e-47e5-95c5-4db7631153e0,1253,81b7d362-511e-47e5-95c5-4db7631153e0,2016-10-05T03:05:15,113,,-1
2016-10-06T09:47:23.048+07,4.56062E+14,8.98551E+18,3.59125E+14,Dwb210,Dwb210,2016-10-06T09:47:00.000+07,13.37714309 103.85268864 -4.0 8.0,13.37714309,103.8526886,-4,8,0,,,,,2,22,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ksc, ls",Buy water from store along the kumruthemey road,2016-10-06T09:52:14.963+07,uuid:cac681d3-4498-4a33-9afb-c1c48d13c2c2,1281,cac681d3-4498-4a33-9afb-c1c48d13c2c2,2016-10-06T03:40:28,117,,-1
2016-10-11T09:11:06.049+07,4.56062E+14,8.98551E+18,3.59125E+14,Dwb301,Dwb301,2016-10-11T09:11:00.000+07,13.3537386 103.84942805 3.0 5.0,13.3537386,103.8494281,3,5,0,,,,,4,22,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ksc, ls",Buy water from store along the road,2016-10-11T09:13:21.235+07,uuid:f65bc13f-08e4-43e3-b4a3-05229ac71d59,1333,f65bc13f-08e4-43e3-b4a3-05229ac71d59,2016-10-11T03:21:41,128,,-1
2016-10-11T09:13:23.947+07,4.56062E+14,8.98551E+18,3.59125E+14,Dwb302,Dwb302,2016-10-11T09:13:00.000+07,13.35374212 103.84942433 3.0 5.0,13.35374212,103.8494243,3,5,0,,,,,4,22,,,,,,,,,,,,,,,,,,,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ksc, ls",Buy the water from store along the road,2016-10-11T09:14:43.144+07,uuid:917bf881-5685-40eb-a1e1-b2712cb458e3,1334,917bf881-5685-40eb-a1e1-b2712cb458e3,2016-10-11T03:21:43,129,,-1
2016-10-12T08:51:12.200+07,4.56062E+14,8.98551E+18,3.59125E+14,Dwb304,Dwb304,2016-10-12T08:51:00.000+07,13.35290554 103.84909474 -15.0 5.0,13.35290554,103.8490947,-15,5,0,,,,,4,22,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ksc, ls",Buy water along the town center drain at small store,2016-10-12T08:52:51.033+07,uuid:72438127-1b44-49db-922c-194bf9e30deb,1356,72438127-1b44-49db-922c-194bf9e30deb,2016-10-12T02:45:55,146,,-1
2016-10-13T09:04:46.476+07,4.56062E+14,8.98551E+18,3.59125E+14,Dwb305,Dwb305,2016-10-13T09:05:00.000+07,13.3537422 103.84930097 -17.0 5.0,13.3537422,103.849301,-17,5,0,,,,,4,22,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ksc, ls",Buy from store along the tcd,2016-10-13T09:06:20.201+07,uuid:92ecf1b5-c63e-427a-bd6d-f0994435aa29,1382,92ecf1b5-c63e-427a-bd6d-f0994435aa29,2016-10-13T02:25:44,161,,-1
2016-10-17T09:42:23.176+07,4.56062E+14,8.98551E+18,3.59125E+14,Dwb306,Dwb306,2016-10-17T09:42:00.000+07,13.35303672 103.85095378 13.0 5.0,13.35303672,103.8509538,13,5,0,,,,,4,22,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ksc, ls",Buy water from the small store along the road,2016-10-17T09:44:07.685+07,uuid:a21b5444-1261-4ba2-b70f-603bb67b459f,1431,a21b5444-1261-4ba2-b70f-603bb67b459f,2016-10-17T03:32:12,162,,-1
