deviceid,h_id,h_id_val,h_start,h_location,_h_location_latitude,_h_location_longitude,_h_location_altitude,_h_location_precision,h_gps_device,h_gps_device_id,h_gps_device_wp,h_gps_device_lat,h_gps_device_lon,h_neighborhood,h_home_type,h_population,h_c,h_s,h_s_a,h_s_a_other,h_s_c,h_s_c_other,h_s_additional_info,h_d,h_d_a,h_d_a_other,h_d_c,h_d_c_other,h_d_additional_info,h_f,h_f_a,h_f_a_other,h_f_c,h_f_c_other,h_f_additional_info,h_m,h_m_a_prim,h_m_a_prim_other,h_m_a_prim_num,h_m_a_prim_num_other,h_m_a_sec,h_m_a_sec_other,h_m_a_sec_num,h_m_a_sec_num_other,h_m_c_prim,h_m_c_prim_other,h_m_c_prim_num,h_m_c_prim_num_other,h_m_c_sec,h_m_c_sec_other,h_m_c_sec_num,h_m_c_sec_num_other,h_m_additional_info,h_t,h_t_f,h_t_f_other,h_t_additional_info,h_p,h_p_a,h_p_a_other,h_p_c,h_p_c_other,h_p_additional_info,h_th,h_th_a,h_th_a_other,h_tu_a,h_tu_a_other,h_tw_a,h_tw_a_other,h_tf_a,h_tf_a_other,h_ts_a,h_ts_a_other,h_latrine_type,h_latrine_type_other,h_th_additional_info,h_pd,h_pd_a,h_pd_a/1,h_pd_a/2,h_pd_a/3,h_pd_a/4,h_pd_a/5,h_pd_a/6,h_pd_a/7,h_pd_a_other,h_pd_additional_info,h_end,h_enum,h_notes,meta/instanceID,_id,_uuid,_submission_time,_index,_parent_table_name,_parent_index
3.59125E+14,1009,1009,2016-09-08T10:17:00.000+07,13.357699 103.8858236 0.0 2595.0,13.357699,103.8858236,0,2595,0,,,,,1,1,5,1,,4,,4,,,,1,,1,,When go to take scraps,,1,,1,,Rainy season,,3,,1,,2,,3,,3,,1,,5,Rain water,4,,Only bottle water (20),,0,,,,3,,3,,"Morning glory, cucumber, long bean, cachhet, trop.",,0,,,,,,,,,,,,Defecate outsize,,2 3 4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,,"US, VS",,uuid:4589f8fe-d2b5-42ac-9419-a90b6e9def5f,1012,4589f8fe-d2b5-42ac-9419-a90b6e9def5f,2016-09-08T10:23:11,12,,-1
3.59125E+14,1025,1025,2016-09-08T11:00:00.000+07,13.35667287 103.88555236 -8.0 11.0,13.35667287,103.8855524,-8,11,0,,,,,1,1,5,1,,4,,4,,,,4,,4,,Not have open drain,,1,,1,,Flood water area,,3,,1,,5,Only bottle water (20L),4,,3,,1,,3,,3,,Small bottle water (0.5L),,1,,Big bottle water treatment (20L),,3,,3,,"Smarch leaf, cucumber, cabac, cachhet...",,1,,1,,1,,1,,3,,2,,Flood sometime (have big rain),,1 2 4,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,"US, VS",,uuid:2e3fecb5-6294-454f-aef6-d1aecbca5844,1014,2e3fecb5-6294-454f-aef6-d1aecbca5844,2016-09-08T10:23:15,13,,-1
3.59125E+14,1026,1026,2016-09-08T11:23:00.000+07,13.35665077 103.88557158 0.0 11.0,13.35665077,103.8855716,0,11,0,,,,,1,1,5,1,,4,,4,,,,4,,4,,Not have drain,,1,,1,,Flood water area,,3,,1,,3,,1,,5,"Rain water, well water",3,,5,"Rain water, well water",3,,On big bottle water (20L),,6,Rain water,,,3,,3,,"Cucumber, cachhet, morning glory, trop, salad, ...",,1,,1,,1,,1,,3,,2,,,,1 2 4,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,"US, VS",,uuid:adb00079-8ca5-470a-8b40-fb1d3de5e370,1015,adb00079-8ca5-470a-8b40-fb1d3de5e370,2016-09-08T10:23:17,14,,-1
3.59125E+14,1027,1027,2016-09-08T16:09:00.000+07,13.35661537 103.88548523 70.0 5.0,13.35661537,103.8854852,70,5,0,,,,,1,1,9,1,,1,,1,,Rainy season,,4,,4,,Not have open drain,,1,,1,,Flood water area,,3,,1,,5,Rain water,3,,3,,1,,5,Rain water,3,,Only big bottle water(20L),,1,,Filter,,3,,3,,"Cucumber, morning glory, cabac, cachhet...",,1,,1,,1,,1,,3,,2,,Flood area,,1 2 3 4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,Sometime used plastic bag (children),,"VS, US",,uuid:3b40d52b-8887-4221-a85f-bed62af2c190,1016,3b40d52b-8887-4221-a85f-bed62af2c190,2016-09-08T10:23:19,15,,-1
3.59125E+14,28,28,2016-09-09T10:26:00.000+07,13.35622191 103.88554894 -3.0 3.0,13.35622191,103.8855489,-3,3,0,,,,,1,1,4,1,,4,,4,,,,4,,4,,,,1,,1,,,,5,Filter water,1,,3,,3,,5,Filter water,1,,3,,3,,,,0,,,,3,,3,,,,1,,1,,1,,1,,3,,4,,,,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Before going out, she always go to toilet",,"KSC, dd",,uuid:bbc43eec-6364-4109-ad70-d15baede8363,1039,bbc43eec-6364-4109-ad70-d15baede8363,2016-09-12T06:13:08,16,,-1
3.59125E+14,29,29,2016-09-09T10:36:00.000+07,13.35632099 103.88551914 -12.0 5.0,13.35632099,103.8855191,-12,5,0,,,,,1,1,5,0,,4,,,,,,4,,,,,,1,,,,,,3,,1,,5,Rain water,3,,,,,,,,,,When rainy season,,0,,,,3,,,,,,1,,1,,1,,0,,3,,4,,,,1 2 4,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,"KSC, dd",,uuid:fbd35f4c-7af1-41ed-a95d-7498d84075c0,1040,fbd35f4c-7af1-41ed-a95d-7498d84075c0,2016-09-12T06:13:09,17,,-1
3.59125E+14,30,30,2016-09-09T10:48:00.000+07,13.35615953 103.88564285 4.0 5.0,13.35615953,103.8856429,4,5,0,,,,,1,1,3,0,,4,,,,,,4,,,,,,1,,,,,,3,,1,,5,Only bottle water,6,N/a,,,,,,,,,,,0,,,,3,,,,"Cucumber, lettuce",,1,,1,,1,,0,,3,,4,,,,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,"KSC, dd",,uuid:c7d4d731-514d-4870-a502-8739ee16a85b,1041,c7d4d731-514d-4870-a502-8739ee16a85b,2016-09-12T06:13:11,18,,-1
3.59125E+14,31,31,2016-09-09T10:58:00.000+07,13.35595319 103.88559336 -2.0 5.0,13.35595319,103.8855934,-2,5,0,,,,,1,1,3,0,,4,,,,,,4,,,,,,2,,,,When rainy season but sometimes use boots,,5,Filter water,1,,5,Only filter water,6,n/a,,,,,,,,,,,0,,,,3,,,,,,1,,1,,1,,0,,3,,4,,,,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,"KSC, dd",,uuid:b41b9d39-2bed-40b5-849f-271c47a26539,1042,b41b9d39-2bed-40b5-849f-271c47a26539,2016-09-12T06:13:13,19,,-1
3.59125E+14,1020,1020,2016-09-12T10:09:00.000+07,13.35791153 103.8857009 11.0 13.0,13.35791153,103.8857009,11,13,0,,,,,1,1,4,1,,2,,2,,Go to take scraps (river),,4,,4,,Not open drain,,1,,1,,Flood area,,3,,1,,5,Rain water,3,,3,,1,,5,Rain water,3,,Only bottle water (20L),,0,,,,3,,3,,"Cabac, cucumber, cachhet, lattuce.....",,0,,,,,,,,,,,,Share with other household,,2 4,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,"US, VS",,uuid:ca8091c1-5ce5-49e4-b1a5-b50d8aa9cf62,1044,ca8091c1-5ce5-49e4-b1a5-b50d8aa9cf62,2016-09-12T09:45:20,20,,-1
3.59125E+14,1022,1022,2016-09-12T10:33:00.000+07,13.35788959 103.88584953 -15.0 5.0,13.35788959,103.8858495,-15,5,0,,,,,1,1,5,1,,2,,2,,When go to take scraps,,3,,3,,Go to take scraps,,1,,1,,Flood area,,3,,1,,5,Rain water (boil),3,,3,,1,,5,Rain water,3,,Only bottle water (20L),,0,,,,3,,3,,"Cabac, cachhet, cucumber, morning glory, smarch leaf,.....",,1,,1,,1,,0,,3,,2,,Pour water,,1 2 4,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,"VS, US",,uuid:ff9aed69-15f1-4763-bc39-3c4c59f18db3,1045,ff9aed69-15f1-4763-bc39-3c4c59f18db3,2016-09-12T09:45:21,21,,-1
3.59125E+14,1001,1001,2016-09-12T10:49:00.000+07,13.35811843 103.8857702 -18.0 10.0,13.35811843,103.8857702,-18,10,0,,,,,1,1,7,1,,3,,4,,Rainy season,,4,,4,,Not open drain,,1,,1,,Flood area,,3,,1,,5,Rain water,2,,3,,1,,5,Rain water,2,,Only bottle water (20L),,0,,,,2,,2,,"Cucumber, cachhet, morning glory...",,1,,1,,1,,0,,3,,2,,,,1 2 4,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,"US, VS",,uuid:e99ebbb4-a1b1-48e1-917e-c7c9930bbb24,1046,e99ebbb4-a1b1-48e1-917e-c7c9930bbb24,2016-09-12T09:45:23,22,,-1
3.59125E+14,1023,1023,2016-09-12T11:12:00.000+07,13.35806158 103.88566128 -21.0 16.0,13.35806158,103.8856613,-21,16,0,,,,,1,1,3,1,,4,,4,,,,4,,4,,Not open drain,,1,,1,,Flood area,,3,,1,,5,Rain water,3,,3,,1,,5,Rain water,3,,"Rainy season, and only bottle water (20L)",,2,,,,2,,3,,"Cucumber, lattuse, long bean, morning glory...",,1,,1,,1,,0,,3,,2,,Pour water,,1 2 4,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,"VS, US",,uuid:bac546ee-6489-480e-afe5-38e9360e948a,1047,bac546ee-6489-480e-afe5-38e9360e948a,2016-09-12T09:45:24,23,,-1
3.59125E+14,1002,1002,2016-09-12T11:29:00.000+07,13.3576923 103.8860231 0.0 2595.0,13.3576923,103.8860231,0,2595,0,,,,,1,1,5,1,,4,,4,,,,4,,4,,Not open drain,,1,,1,,Flood area ( Over 3month),,3,,1,,5,Rain water,3,,3,,1,,5,Rain water,3,,Only bottle water (20L),,0,,Break filter water,,3,,3,,"Lattuse, salad, long bean, cucumber, carot,...",,1,,1,,1,,0,,3,,2,,Pour water,,1 2 4,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,"VS, US",,uuid:f5971c89-e3f4-4063-a01e-06f86875e10a,1048,f5971c89-e3f4-4063-a01e-06f86875e10a,2016-09-12T09:45:26,24,,-1
3.59125E+14,1004,1004,2016-09-12T11:47:00.000+07,13.35795072 103.88588305 -30.0 11.0,13.35795072,103.8858831,-30,11,0,,,,,1,1,4,1,,3,,3,,Go go to take scrap,,4,,4,,Not open drain,,1,,1,,Flood area,,3,,1,,5,Rain water,3,,3,,1,,5,Rain water,3,,Only bottle water (20L),,0,,,,3,,3,,"Cucumber, cabac, salad, long bean....",,0,,,,,,,,,,,,Go outsize,,2 4,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,"US, VS",,uuid:0ebf5fea-b0a0-49dd-9057-31eb3eef628a,1049,0ebf5fea-b0a0-49dd-9057-31eb3eef628a,2016-09-12T09:45:28,25,,-1
3.59125E+14,1010 A,1010 A,2016-09-13T10:45:00.000+07,13.3576923 103.8860231 0.0 2595.0,13.3576923,103.8860231,0,2595,0,,,,,1,1,2,0,,4,,,,,,4,,,,Not open drain,,1,,,,Flood area,,3,,1,,5,Rain water,6,No children,,,,,,,,,Only bottle water (20L),,0,,,,2,,,,"Salad, cucumber, trop, lattuse,....",,0,,,,,,,,,,,,Share with other household,,1 2 4,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,"US, KL",,uuid:f2511bab-5a57-4289-96d2-04cf5182ba55,1069,f2511bab-5a57-4289-96d2-04cf5182ba55,2016-09-13T11:24:07,26,,-1
3.59125E+14,1,1,2016-09-06T10:30:00.000+07,13.35678502 103.88623395 -14.0 5.0,13.35678502,103.886234,-14,5,0,,,,,1,1,3,0,,4,,,,,,4,,,,,,3,,,,,,3,,1,,3,,1,,,,,,,,,,Drink boil White bottle water always,,1,,Use only white bottle water for activity in home. Boil bottle water for drinking,,3,,,,Salad,,1,,1,,1,,0,,3,,4,,,,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,Before going out use own toilet and use urine dry underwater if travel far away,,"DD, KL",,uuid:3da18f94-6ff4-4315-9ffe-1459acf02523,948,3da18f94-6ff4-4315-9ffe-1459acf02523,2016-09-06T11:33:17,27,,-1
3.59125E+14,2,2,2016-09-06T11:20:00.000+07,13.35682091 103.88620938 7.0 9.0,13.35682091,103.8862094,7,9,0,,,,,1,1,4,0,,4,,,,,,4,,,,,,3,,,,Go to visit family inlow,,3,,1,,3,,1,,,,,,,,,,Drinking boil bottle at home 01 everyday in day time,,0,,,,2,,,,Egg plant cucumber Latus,,1,,1,,1,,0,,3,,4,,No liner,,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,"DD,Kl",,uuid:38f7e438-90ea-4159-8993-eb2e662fbdde,949,38f7e438-90ea-4159-8993-eb2e662fbdde,2016-09-06T11:33:19,28,,-1
3.59125E+14,4,4,2016-09-06T14:30:00.000+07,13.35699061 103.88618984 4.0 5.0,13.35699061,103.8861898,4,5,0,,,,,1,1,5,1,,4,,4,,,,4,,4,,,,1,,1,,,,3,,1,,3,,1,,3,,1,,3,,1,,"White bottle water, never use other second source because well water is too dirty and it can not use instead of well water, raining water is used instead of bottle water about 1/2 t in raining season.",,0,,,,3,,3,,"Latus, salad, cucumber , tomato",,1,,1,,1,,1,,3,,4,,During heavy raining it can not use but after it stop it is become normal,,1 2 3 4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,,"DD, LS",,uuid:3313470f-9dcf-4794-9d23-0d1ea7c20441,950,3313470f-9dcf-4794-9d23-0d1ea7c20441,2016-09-06T11:33:21,29,,-1
3.59125E+14,3,3,2016-09-06T15:10:00.000+07,13.35700159 103.88637036 18.0 5.0,13.35700159,103.8863704,18,5,0,,,,,1,1,5,1,,4,,4,,,,4,,4,,,,1,,1,,,,3,,1,,3,,1,,3,,1,,3,,1,,"White bottle water directly , never use other source of water",,0,,,,3,,3,,"Latus , egg plant",,1,,1,,1,,1,,3,,4,,,,1 2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Rarely outside from her own toilet.  Pop before going out,,"DD , ls",,uuid:41d8c2ac-20f3-4d4e-ad7b-9de7844af122,951,41d8c2ac-20f3-4d4e-ad7b-9de7844af122,2016-09-06T11:33:23,30,,-1
3.59125E+14,6,6,2016-09-06T15:44:00.000+07,13.35711165 103.88619358 -17.0 5.0,13.35711165,103.8861936,-17,5,0,,,,,1,1,8,1,,4,,4,,,,4,,4,,Of,,4,,1,,Raining,,3,,1,,3,,1,,3,,1,,3,,1,,Drinking bottle water all except grand pa boil for tea,,0,,Only grandpa boil other use bottle water,,3,,3,,Morning glory egg plant cucumber,,1,,1,,1,,0,,3,,4,,,,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,"DD, ls",,uuid:5a8e110f-0e08-448d-978d-729f3fa89a31,952,5a8e110f-0e08-448d-978d-729f3fa89a31,2016-09-06T11:33:25,31,,-1
3.59125E+14,15,15,2016-09-06T16:13:00.000+07,13.35758828 103.8865608 11.0 5.0,13.35758828,103.8865608,11,5,0,,,,,1,2,10,1,,4,,4,,,,4,,4,,,,1,,1,,Raining,,3,,1,,3,,1,,3,,1,,3,,1,,,,0,,,,3,,3,,Latus cucumber,,1,,1,,1,,0,,3,,4,,2 toilet,,1 2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,"DD, ls",,uuid:f033cba9-cce8-4c9c-b8ad-4f08d1757877,953,f033cba9-cce8-4c9c-b8ad-4f08d1757877,2016-09-06T11:33:27,32,,-1
3.59125E+14,1014,1014,2016-09-06T10:43:00.000+07,,,,,,0,,,,,1,1,4,1,,2,,3,,When big raining,,5,,4,,Not open drain,,3,,3,,When big raining,,3,,1,,4,,4,,3,,1,,3,,3,,"Big bottle 20L, small bottle 0.5L",,0,,"Big bottle water, rain water",,3,,3,,"Kachhet, carrot, cabac",,1,,1,,1,,0,,3,,2,,,,2 4,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,VS; US,,uuid:de8c8285-71c1-45ad-9ad7-97f2303db961,957,de8c8285-71c1-45ad-9ad7-97f2303db961,2016-09-06T11:38:39,33,,-1
3.59125E+14,1013,1013,2016-09-06T11:05:00.000+07,,,,,,0,,,,,1,1,4,1,,3,,1,,Flood water area,,1,,3,,Well water open drain,,2,,2,,Big raining,,3,,1,,3,,1,,3,,3,,3,,3,,Boil water,,0,,,,3,,3,,"Cucumbers, cabac, carot....",,1,,1,,1,,0,,1,,2,,When have big rain,,1 2 4,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,"VS, US",,uuid:5106d0ac-4626-4910-938f-8b18097aaa2d,958,5106d0ac-4626-4910-938f-8b18097aaa2d,2016-09-06T11:38:41,34,,-1
3.59125E+14,1012,1012,2016-09-06T14:04:00.000+07,,,,,,0,,,,,1,1,5,1,,3,,2,,Kids playing at flood area,,4,,4,,Don't have open drain,,2,,2,,Rainy season.,,3,,1,,3,,3,,3,,1,,3,,3,,"Rain water, big bottle water, small bottle water.",,0,,"Rain water, bottle water.",,3,,3,,"Cucumber, kachhet, morning glory, cabac",,1,,1,,1,,1,,1,,2,,Other family (1 family),,1 2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,"US, VS.",,uuid:0970be4d-ad12-4ab5-ba6b-9c749f11f8e0,959,0970be4d-ad12-4ab5-ba6b-9c749f11f8e0,2016-09-06T11:38:44,35,,-1
3.59125E+14,1011,1011,2016-09-06T14:40:00.000+07,,,,,,0,,,,,1,1,5,1,,3,,3,,Rainy season,,4,,4,,Well pump drain,,2,,1,,Have big rain,,3,,1,,3,,3,,3,,1,,3,,3,,"Rain water, small bottle water (0.5L).",,0,,Boil sometime.,,3,,3,,"Salad, cucumber, morning glory ....",,1,,1,,1,,1,,1,,2,,Share with other family (young sister).,,1 2 4,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,"VS, US",,uuid:389ab1b3-b007-4355-a7e2-f1a1db2a538d,960,389ab1b3-b007-4355-a7e2-f1a1db2a538d,2016-09-06T11:38:46,36,,-1
