start_dt,subscriberid,simserial,deviceid,lab_id,lab_id_val,lab_processing,lab_neighborhood,lab_sample_type,lab_incubator_placed,lab_incubator_removed,lab_ws_cl_free,lab_ws_cl_total,lab_p_weight,lab_pa_weight,lab_1_note,lab_1_group,lab_1_dil_tested,lab_1_volume,lab_1_dil,lab_1_ecoli_reading,lab_1_ecoli,lab_2_group,lab_2_dil_tested,lab_2_volume,lab_2_dil,lab_2_ecoli_reading,lab_2_ecoli,lab_3_dilution_performed,lab_3_group,lab_3_dil_tested,lab_3_volume,lab_3_dil,lab_3_ecoli_reading,lab_3_ecoli,lab_closing_group,lab_enum,lab_notes,end_dt,meta/instanceID,_id,_uuid,_submission_time,_index,_parent_table_name,_parent_index,Cube or Hygiene Ice
2016-09-23T14:40:30.645+07,4.56E+14,8.99E+18,3.58E+14,DWA201,DWA201,2016-09-22T10:30:00.000+07,2,23,2016-09-22T12:00:00.000+07,2016-09-23T12:00:00.000+07,,,,,,,7,100,700,3,0,,7,10,70,3,0,0,,,,,,,,St,"Pt1: No Coliform
Pt2: No Coliform",2016-09-23T14:42:07.553+07,uuid:e6141666-ff35-4dd4-bd7c-9012fc5449ef,1162,e6141666-ff35-4dd4-bd7c-9012fc5449ef,2016-09-23T07:44:50,74,,-1,
2016-09-23T14:42:18.736+07,4.56E+14,8.99E+18,3.58E+14,DWA202,DWA202,2016-09-22T10:30:00.000+07,2,23,2016-09-22T12:00:00.000+07,2016-09-23T12:00:00.000+07,,,,,,,7,100,700,3,0,,7,10,70,3,0,0,,,,,,,,St,"Pt1: 115 Coliform
Pt2: 19 Coliform",2016-09-23T14:44:19.638+07,uuid:5423599d-a7b2-4f2f-8194-cfc756b69d4a,1163,5423599d-a7b2-4f2f-8194-cfc756b69d4a,2016-09-23T07:44:52,75,,-1,
2016-10-05T16:04:43.941+07,4.56E+14,8.99E+18,3.58E+14,DWA203,DWA203,2016-10-04T10:30:00.000+07,2,23,2016-10-04T12:00:00.000+07,2016-10-05T14:00:00.000+07,,,,,,,7,100,700,3,1,,7,10,70,3,0,0,,,,,,,,"St,mm","Pt1:3 Coliform
Pt2:1 Coliform",2016-10-05T16:06:39.288+07,uuid:c6ed816e-5183-47c7-8d6c-c2e81dbc8a35,1260,c6ed816e-5183-47c7-8d6c-c2e81dbc8a35,2016-10-05T09:14:46,102,,-1,
2016-10-05T16:07:46.603+07,4.56E+14,8.99E+18,3.58E+14,DWA204,DWA204,2016-10-04T10:30:00.000+07,2,23,2016-10-04T12:00:00.000+07,2016-10-05T14:00:00.000+07,,,,,,,7,100,700,3,0,,7,10,70,3,0,0,,,,,,,,"St,mm","Pt1:14 Coliform
Pt2:0 Coliform",2016-10-05T16:09:22.469+07,uuid:fc600a4c-62ab-48c7-845b-4ecb8d2d8bda,1261,fc600a4c-62ab-48c7-845b-4ecb8d2d8bda,2016-10-05T09:14:48,103,,-1,
2016-10-05T16:09:31.893+07,4.56E+14,8.99E+18,3.58E+14,DWA205,DWA205,2016-10-04T10:30:00.000+07,2,23,2016-10-04T12:00:00.000+07,2016-10-05T12:00:00.000+07,,,,,,,7,100,700,1,,,7,10,70,3,16,0,,,,,,,,"St,mm","Pt1: TNTC Coliform
Pt2: TNTC Coliform",2016-10-05T16:11:46.740+07,uuid:e334b51e-ab4b-4911-a586-6cb30847d3ed,1262,e334b51e-ab4b-4911-a586-6cb30847d3ed,2016-10-05T09:14:50,104,,-1,
2016-10-05T16:12:12.906+07,4.56E+14,8.99E+18,3.58E+14,DWA206,DWA206,2016-10-04T10:30:00.000+07,2,23,2016-10-04T12:00:00.000+07,2016-10-05T12:00:00.000+07,,,,,,,7,100,700,3,75,,7,10,70,3,11,0,,,,,,,,"St,mm","Pt1: TNTC Coliform
Pt2: TNTC Coliform",2016-10-05T16:13:44.805+07,uuid:5f2c7e8e-fd3e-490a-8347-f0e86074ee74,1263,5f2c7e8e-fd3e-490a-8347-f0e86074ee74,2016-10-05T09:14:52,105,,-1,
2016-10-06T15:24:35.608+07,4.56E+14,8.99E+18,3.58E+14,DWA207,DWA207,2016-10-05T10:30:00.000+07,2,23,2016-10-05T11:45:00.000+07,2016-10-06T11:15:00.000+07,,,,,,,7,100,700,3,0,,7,10,70,3,0,0,,,,,,,,"St,mm","Pt1: 0 Coliform
Pt2: 0 Coliform",2016-10-06T15:27:22.219+07,uuid:28b05080-e849-4540-90d4-89a04307238c,1296,28b05080-e849-4540-90d4-89a04307238c,2016-10-07T03:19:14,118,,-1,
2016-10-06T15:27:29.708+07,4.56E+14,8.99E+18,3.58E+14,DWA208,DWA208,2016-10-05T10:30:00.000+07,2,23,2016-10-05T11:45:00.000+07,2016-10-06T11:15:00.000+07,,,,,,,7,100,700,3,0,,7,10,70,3,0,0,,,,,,,,"St,mm","Pt1:47 Coliform
Pt2:6 Coliform",2016-10-06T15:28:58.374+07,uuid:94a9983b-321e-4cdf-81fe-5ae8a878ec0b,1297,94a9983b-321e-4cdf-81fe-5ae8a878ec0b,2016-10-07T03:19:16,119,,-1,
2016-10-06T15:29:06.275+07,4.56E+14,8.99E+18,3.58E+14,DWA209,DWA209,2016-10-05T10:30:00.000+07,2,23,2016-10-05T11:45:00.000+07,2016-10-06T11:15:00.000+07,,,,,,,7,100,700,1,,,7,10,70,1,,0,,,,,,,,"St,mm","Pt1: TNTC Coliform
Pt2: TNTC Coliform",2016-10-06T15:30:58.125+07,uuid:d7cde6ff-7d1d-4c52-a973-f9baad7e72a7,1298,d7cde6ff-7d1d-4c52-a973-f9baad7e72a7,2016-10-07T03:19:19,120,,-1,
2016-10-07T14:18:57.161+07,4.56E+14,8.99E+18,3.58E+14,DWA210,DWA210,2016-10-06T11:00:00.000+07,2,23,2016-10-06T11:50:00.000+07,2016-10-07T11:00:00.000+07,,,,,,,7,100,700,3,0,,7,10,70,3,0,0,,,,,,,,"St,mm","Pt1:2 Coliform
Pt2:0 Coliform",2016-10-07T14:21:21.854+07,uuid:f6e7bbce-4cba-4c10-9e49-c74dde0b6663,1309,f6e7bbce-4cba-4c10-9e49-c74dde0b6663,2016-10-07T07:24:41,131,,-1,
