deviceid,h_id,h_start,h_coordinates,_h_coordinates_latitude,_h_coordinates_longitude,_h_coordinates_altitude,_h_coordinates_precision,h_neighborhood,h_home_type,h_rainweek,h_population,h_c,h_s_a,h_s_a_other,h_s_c,h_s_c_other,h_d_a,h_d_a_other,h_d_c,h_d_c_other,h_f_a,h_f_a_other,h_f_c,h_f_c_other,h_dw_a,h_dw_a_other,h_dw_c,h_dw_c_other,h_dw_e_wt,h_dw_e_wt_other,h_o_a,h_o_a_other,h_o_c,h_o_c_other,h_bw_a,h_bw_a_other,h_bw_c,h_bw_c_other,h_p_a,h_p_a_other,h_p_c,h_p_c_other,h_p_e,h_p_e_other,h_sf_a,h_sf_a_other,h_sf_c,h_sf_c_other,h_l_a,h_l_a_other,h_l_c,h_l_c_other,h_pl_a_th,h_pl_a_th_other,h_pl_a_tu,h_pl_a_tu_other,h_pl_a_tw,h_pl_a_tw_other,h_pl_a_tf,h_pl_a_tf_other,h_pl_a_ts,h_pl_a_ts_other,h_notes,h_enum,__version__,meta/instanceID,_uuid,_submission_time,_tags,_notes
enketo.sanipath.org:iB2IiPlkPaFNoBNl,21,2017-06-12T09:47:00.000-04:00,23.8243651 90.3773366 0 0,23.8243651,90.3773366,0,0,1,2,1,5,1,4,n/a,2,n/a,1,n/a,1,n/a,2,n/a,2,n/a,2,n/a,2,n/a,2,n/a,6,N/A,6,N/A,2,n/a,2,n/a,4,n/a,3,n/a,3,n/a,2,n/a,3,n/a,3,n/a,3,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,30,vFLd6ukjFadc82tfQmzfYF,uuid:2862a780-0bce-4ede-b3e5-c22826601512,2862a780-0bce-4ede-b3e5-c22826601512,2017-11-24T22:24:47,,
enketo.sanipath.org:iB2IiPlkPaFNoBNl,22,2017-06-12T10:39:00.000-04:00,23.8243651 90.3773366 0 0,23.8243651,90.3773366,0,0,1,2,1,9,1,4,n/a,4,n/a,1,n/a,1,n/a,3,n/a,3,n/a,2,n/a,2,n/a,2,n/a,6,N/A,6,N/A,2,n/a,2,n/a,3,n/a,3,n/a,1,n/a,3,n/a,3,n/a,3,n/a,2,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,30,vFLd6ukjFadc82tfQmzfYF,uuid:c7cf1d69-8a99-4ee1-a11d-7800b467bdc2,c7cf1d69-8a99-4ee1-a11d-7800b467bdc2,2017-11-24T22:26:52,,
enketo.sanipath.org:iB2IiPlkPaFNoBNl,23,2017-06-12T11:10:00.000-04:00,23.8243651 90.3773366 0 0,23.8243651,90.3773366,0,0,1,2,1,4,1,4,n/a,3,n/a,1,n/a,1,n/a,3,n/a,3,n/a,1,n/a,1,n/a,2,n/a,6,N/A,6,N/A,1,n/a,2,n/a,4,n/a,3,n/a,1,n/a,4,n/a,2,n/a,2,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,30,vFLd6ukjFadc82tfQmzfYF,uuid:c3be3d36-546b-425c-8cbc-3ac0e28d8fcc,c3be3d36-546b-425c-8cbc-3ac0e28d8fcc,2017-11-24T22:28:33,,
enketo.sanipath.org:iB2IiPlkPaFNoBNl,24,2017-06-12T12:01:00.000-04:00,23.822872 90.3796909 0 0,23.822872,90.3796909,0,0,1,2,1,2,1,2,n/a,2,n/a,1,n/a,1,n/a,3,n/a,3,n/a,2,n/a,2,n/a,2,n/a,6,N/A,6,N/A,2,n/a,2,n/a,3,n/a,3,n/a,1,n/a,3,n/a,3,n/a,2,n/a,2,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,30,vFLd6ukjFadc82tfQmzfYF,uuid:2fc554d1-964a-4567-b6db-9a63d3aea40a,2fc554d1-964a-4567-b6db-9a63d3aea40a,2017-11-24T22:30:14,,
enketo.sanipath.org:iB2IiPlkPaFNoBNl,25,2017-06-12T12:30:00.000-04:00,23.82324787 90.37860127 0.262132065 0,23.82324787,90.37860127,0.262132065,0,1,2,1,4,1,1,n/a,1,n/a,1,n/a,1,n/a,1,n/a,1,n/a,2,n/a,2,n/a,2,n/a,6,N/A,6,N/A,2,n/a,2,n/a,3,n/a,3,n/a,1,n/a,2,n/a,2,n/a,3,n/a,3,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,30,vFLd6ukjFadc82tfQmzfYF,uuid:50f06ef5-e227-4add-837e-e7fb6a76aeed,50f06ef5-e227-4add-837e-e7fb6a76aeed,2017-11-24T22:32:14,,
enketo.sanipath.org:iB2IiPlkPaFNoBNl,26,2017-06-12T08:55:00.000-04:00,23.82381508 90.37900754 0 0,23.82381508,90.37900754,0,0,1,2,1,5,1,2,n/a,2,n/a,3,n/a,3,n/a,2,n/a,2,n/a,1,n/a,1,n/a,2,n/a,6,N/A,6,N/A,3,n/a,3,n/a,3,n/a,3,n/a,1,n/a,3,n/a,3,n/a,3,n/a,3,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,30,vFLd6ukjFadc82tfQmzfYF,uuid:5a60bfc4-e817-4930-93f4-04d130169308,5a60bfc4-e817-4930-93f4-04d130169308,2017-11-24T22:51:07,,
enketo.sanipath.org:iB2IiPlkPaFNoBNl,27,2017-06-13T09:39:00.000-04:00,23.8228727 90.3793966 0 0,23.8228727,90.3793966,0,0,1,2,1,5,1,1,n/a,1,n/a,1,n/a,1,n/a,3,n/a,3,n/a,1,n/a,1,n/a,2,n/a,6,N/A,6,N/A,2,n/a,2,n/a,3,n/a,3,n/a,1,n/a,2,n/a,2,n/a,3,n/a,3,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,30,vFLd6ukjFadc82tfQmzfYF,uuid:916acd49-d468-4207-ac82-31c167a0c689,916acd49-d468-4207-ac82-31c167a0c689,2017-11-24T22:52:58,,
enketo.sanipath.org:iB2IiPlkPaFNoBNl,28,2017-06-13T10:08:00.000-04:00,23.8231311 90.37877183 -34 0,23.8231311,90.37877183,-34,0,1,2,1,3,1,2,n/a,2,n/a,2,n/a,2,n/a,1,n/a,1,n/a,1,n/a,1,n/a,4,N/A,6,N/A,4,n/a,2,n/a,3,n/a,3,n/a,3,n/a,1,n/a,3,n/a,3,n/a,3,n/a,3,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,30,vFLd6ukjFadc82tfQmzfYF,uuid:5ed71626-69fa-4a00-9097-eb59bc2ccf1a,5ed71626-69fa-4a00-9097-eb59bc2ccf1a,2017-11-24T22:54:45,,
enketo.sanipath.org:iB2IiPlkPaFNoBNl,29,2017-06-13T10:59:00.000-04:00,23.8228727 90.3793966 0 0,23.8228727,90.3793966,0,0,1,2,1,3,1,3,n/a,1,n/a,2,n/a,2,n/a,1,n/a,1,n/a,1,n/a,1,n/a,2,n/a,6,N/A,6,N/A,2,n/a,2,n/a,3,n/a,3,n/a,1,n/a,3,n/a,3,n/a,3,n/a,3,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,30,vFLd6ukjFadc82tfQmzfYF,uuid:43b698be-eb6f-4550-b5ab-25855e11f413,43b698be-eb6f-4550-b5ab-25855e11f413,2017-11-24T22:56:32,,
enketo.sanipath.org:iB2IiPlkPaFNoBNl,30,2017-06-13T11:36:00.000-04:00,23.822872 90.3796909 0 0,23.822872,90.3796909,0,0,1,2,1,4,1,2,n/a,2,n/a,2,n/a,2,n/a,2,n/a,2,n/a,1,n/a,1,n/a,2,n/a,6,N/A,6,N/A,2,n/a,2,n/a,3,n/a,3,n/a,1,n/a,3,n/a,3,n/a,3,n/a,3,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,30,vFLd6ukjFadc82tfQmzfYF,uuid:7467abfd-4d4f-46f7-8d6a-4cd508f22d23,7467abfd-4d4f-46f7-8d6a-4cd508f22d23,2017-11-24T22:58:08,,
