lab_start_dt,lab_sample_type,lab_id,lab_id_val,lab_processing,lab_incubator_placed,lab_incubator_removed,lab_p_weight,lab_sf_weight,lab_pa_weight,lab_1_group/lab_1_dil_tested,lab_1_group/lab_1_volume,lab_1_ecoli_reading_membrane,lab_1_ecoli_membrane,lab_2_group/lab_2_dil_tested,lab_2_group/lab_2_volume,lab_2_ecoli_reading_membrane,lab_2_ecoli_membrane,lab_3_dilution_performed,lab_3_group/lab_3_dil_tested,lab_3_group/lab_3_volume,lab_3_ecoli_reading_membrane,lab_3_ecoli_membrane,lab_notes,lab_enum,lab_photo,lab_end_dt,col_start_dt,col_end_dt,meta/instanceID,_uuid,_submission_time,_tags,_notes
2018-10-24T10:27:26.028Z,7,3007,3007,2018-10-09T11:00:00.000Z,2018-10-09T15:00:00.000Z,2018-10-10T15:00:00.000Z,n/a,n/a,n/a,7,10,3,2,6,1,3,0,0,n/a,n/a,n/a,n/a,n/a,BB,0,2018-10-24T10:29:20.317Z,2018-10-24T10:27:26.029Z,2018-10-24T10:29:20.317Z,uuid:39b1509c-7972-475d-81da-c2f41859c694,39b1509c-7972-475d-81da-c2f41859c694,2018-10-25T15:41:17,,
2018-10-24T10:29:29.439Z,7,3006,3006,2018-10-09T11:00:00.000Z,2018-10-09T15:00:00.000Z,2018-10-10T15:00:00.000Z,n/a,n/a,n/a,7,10,3,0,6,1,3,0,0,n/a,n/a,n/a,n/a,n/a,BB,0,2018-10-24T10:30:52.350Z,2018-10-24T10:29:29.439Z,2018-10-24T10:30:52.350Z,uuid:cecc3d34-4558-49bf-af81-28d52c36a393,cecc3d34-4558-49bf-af81-28d52c36a393,2018-10-25T15:41:19,,
2018-10-24T10:31:53.811Z,3,1010,1010,2018-10-09T11:00:00.000Z,2018-10-09T15:00:00.000Z,2018-10-10T15:00:00.000Z,n/a,n/a,n/a,7,100,3,1,7,10,3,0,0,n/a,n/a,n/a,n/a,n/a,BB,0,2018-10-24T10:34:50.547Z,2018-10-24T10:31:53.811Z,2018-10-24T10:34:50.547Z,uuid:84c36a07-5234-4787-8d23-55c963d8da67,84c36a07-5234-4787-8d23-55c963d8da67,2018-10-25T15:41:21,,
2018-10-24T10:36:16.929Z,2,2006,2006,2018-10-09T11:00:00.000Z,2018-10-09T15:00:00.000Z,2018-10-10T15:00:00.000Z,106.38,n/a,n/a,7,10,1,n/a,7,1,1,n/a,1,6,1,3,97,n/a,BB,0,2018-10-24T10:40:38.640Z,2018-10-24T10:36:16.929Z,2018-10-24T10:40:38.640Z,uuid:4f163274-1c96-4d13-8d5a-6e3d1ac266e1,4f163274-1c96-4d13-8d5a-6e3d1ac266e1,2018-10-25T15:41:23,,
2018-10-24T10:40:54.024Z,2,2002,2002,2018-10-09T11:00:00.000Z,2018-10-09T15:00:00.000Z,2018-10-10T15:00:00.000Z,160.65,n/a,n/a,7,10,3,7,7,1,3,2,1,6,1,3,0,n/a,BB,0,2018-10-24T10:42:28.062Z,2018-10-24T10:40:54.024Z,2018-10-24T10:42:28.062Z,uuid:ad2617a6-096d-46dc-afac-e58f768c9331,ad2617a6-096d-46dc-afac-e58f768c9331,2018-10-25T15:41:24,,
2018-10-24T10:42:45.205Z,2,2009,2009,2018-10-09T11:00:00.000Z,2018-10-09T15:00:00.000Z,2018-10-10T15:00:00.000Z,114.8,n/a,n/a,7,10,1,n/a,7,1,3,21,1,6,1,3,2,n/a,BB,0,2018-10-24T10:57:09.754Z,2018-10-24T10:42:45.205Z,2018-10-24T10:57:09.754Z,uuid:00645771-8017-4e40-b028-fc6ca4bce28e,00645771-8017-4e40-b028-fc6ca4bce28e,2018-10-25T15:41:26,,
2018-10-24T10:57:18.646Z,7,3009,3009,2018-10-09T11:00:00.000Z,2018-10-09T15:00:00.000Z,2018-10-10T15:00:00.000Z,n/a,n/a,n/a,7,10,3,21,6,1,3,0,0,n/a,n/a,n/a,n/a,n/a,BB,0,2018-10-24T10:58:53.682Z,2018-10-24T10:57:18.646Z,2018-10-24T10:58:53.683Z,uuid:ecb47040-b299-4f45-acc7-b738839e6052,ecb47040-b299-4f45-acc7-b738839e6052,2018-10-25T15:41:29,,
2018-10-24T10:58:59.693Z,7,3010,3010,2018-10-09T11:00:00.000Z,2018-10-09T15:00:00.000Z,2018-10-10T15:00:00.000Z,n/a,n/a,n/a,7,10,3,0,6,1,3,0,0,n/a,n/a,n/a,n/a,n/a,BB,0,2018-10-24T11:00:42.039Z,2018-10-24T10:58:59.693Z,2018-10-24T11:00:42.039Z,uuid:16358456-162c-4a3e-acf9-f648e6370da7,16358456-162c-4a3e-acf9-f648e6370da7,2018-10-25T15:41:31,,
2018-10-24T11:02:36.378Z,3,1008,1008,2018-10-09T11:00:00.000Z,2018-10-09T15:00:00.000Z,2018-10-10T15:00:00.000Z,n/a,n/a,n/a,7,100,3,0,7,10,3,0,0,n/a,n/a,n/a,n/a,n/a,BB,0,2018-10-24T11:03:53.128Z,2018-10-24T11:02:36.378Z,2018-10-24T11:03:53.128Z,uuid:9165803a-185b-4c29-8ba5-5946396ffe09,9165803a-185b-4c29-8ba5-5946396ffe09,2018-10-25T15:41:33,,
2018-10-24T11:04:15.688Z,3,1007,1007,2018-10-09T11:00:00.000Z,2018-10-09T15:00:00.000Z,2018-10-10T15:00:00.000Z,n/a,n/a,n/a,7,100,3,3,7,1,3,0,0,n/a,n/a,n/a,n/a,n/a,BB,0,2018-10-24T11:05:19.193Z,2018-10-24T11:04:15.692Z,2018-10-24T11:05:19.193Z,uuid:7c2eb183-c4f3-478c-ba9a-ec323f650559,7c2eb183-c4f3-478c-ba9a-ec323f650559,2018-10-25T15:41:34,,
2018-10-24T11:05:28.830Z,3,1006,1006,2018-10-09T11:00:00.000Z,2018-10-09T15:00:00.000Z,2018-10-10T15:00:00.000Z,n/a,n/a,n/a,7,100,3,13,7,1,3,2,0,n/a,n/a,n/a,n/a,n/a,BB,0,2018-10-24T11:06:33.483Z,2018-10-24T11:05:28.830Z,2018-10-24T11:06:33.483Z,uuid:992740ab-d643-47fa-b9aa-4f4b14606bcd,992740ab-d643-47fa-b9aa-4f4b14606bcd,2018-10-25T15:41:36,,
2018-10-24T11:06:45.206Z,6,7005,7005,2018-10-09T11:00:00.000Z,2018-10-09T15:00:00.000Z,2018-10-10T15:00:00.000Z,n/a,n/a,n/a,7,1,3,69,6,1,3,6,1,5,1,3,2,n/a,BB,0,2018-10-24T11:08:26.015Z,2018-10-24T11:06:45.206Z,2018-10-24T11:08:26.015Z,uuid:88ae12e4-da0a-485b-9573-0999b15e5c6d,88ae12e4-da0a-485b-9573-0999b15e5c6d,2018-10-25T15:41:38,,
2018-10-24T11:08:31.735Z,10,5005,5005,2018-10-10T12:00:00.000Z,2018-10-10T16:00:00.000Z,2018-10-11T15:00:00.000Z,n/a,10.0,n/a,7,10,3,0,7,1,3,0,1,6,1,3,0,n/a,BB,0,2018-10-24T11:16:50.714Z,2018-10-24T11:08:31.735Z,2018-10-24T11:16:50.714Z,uuid:8a1601d8-4e76-4b68-9827-9474fe9b6634,8a1601d8-4e76-4b68-9827-9474fe9b6634,2018-10-25T15:41:40,,
2018-10-24T11:26:24.489Z,10,5004,5004,2018-10-10T12:00:00.000Z,2018-10-10T16:00:00.000Z,2018-10-11T15:00:00.000Z,n/a,10.0,n/a,7,10,3,0,7,1,3,0,1,6,1,3,0,n/a,BB,0,2018-10-24T11:31:04.430Z,2018-10-24T11:26:24.489Z,2018-10-24T11:31:04.430Z,uuid:847c2042-4118-419e-905f-3ff873e30d71,847c2042-4118-419e-905f-3ff873e30d71,2018-10-25T15:41:42,,
2018-10-24T11:31:26.710Z,10,5003,5003,2018-10-10T12:00:00.000Z,2018-10-10T16:00:00.000Z,2018-10-11T15:00:00.000Z,n/a,10.0,n/a,7,10,3,10,7,1,3,0,1,6,1,3,0,n/a,BB,0,2018-10-24T11:35:09.352Z,2018-10-24T11:31:26.711Z,2018-10-24T11:35:09.352Z,uuid:eecfc45e-aeda-42e2-a079-a8610ff219a3,eecfc45e-aeda-42e2-a079-a8610ff219a3,2018-10-25T15:41:44,,
2018-10-24T11:36:00.680Z,10,5001,5001,2018-10-10T12:00:00.000Z,2018-10-10T16:00:00.000Z,2018-10-11T15:00:00.000Z,n/a,10.0,n/a,7,10,3,0,7,1,3,0,1,6,1,3,0,n/a,BB,0,2018-10-24T11:37:58.821Z,2018-10-24T11:36:00.681Z,2018-10-24T11:37:58.821Z,uuid:70ccf3a9-a0b2-4fed-91b4-e2422a5152d4,70ccf3a9-a0b2-4fed-91b4-e2422a5152d4,2018-10-25T15:41:46,,
2018-10-24T12:04:27.811Z,10,5002,5002,2018-10-10T12:00:00.000Z,2018-10-10T16:00:00.000Z,2018-10-11T15:00:00.000Z,n/a,10.0,n/a,7,10,3,0,7,1,3,0,1,6,1,3,0,n/a,BB,0,2018-10-25T12:29:36.309Z,2018-10-24T12:04:27.812Z,2018-10-25T12:29:36.309Z,uuid:68d116ee-2cb6-4f81-a96e-dcf6333df7e1,68d116ee-2cb6-4f81-a96e-dcf6333df7e1,2018-10-25T15:41:48,,
2018-10-24T12:06:19.972Z,8,6002,6002,2018-10-10T12:00:00.000Z,2018-10-10T16:00:00.000Z,2018-10-11T15:00:00.000Z,n/a,n/a,10.0,7,1,3,0,6,1,3,0,1,5,1,3,0,n/a,BB,0,2018-10-24T12:08:08.989Z,2018-10-24T12:06:19.972Z,2018-10-24T12:08:08.989Z,uuid:a8bd8478-e9e8-429b-9593-81dd0c5c2e84,a8bd8478-e9e8-429b-9593-81dd0c5c2e84,2018-10-25T15:41:50,,
