deviceid,h_id,h_start,h_coordinates,_h_coordinates_latitude,_h_coordinates_longitude,_h_coordinates_altitude,_h_coordinates_precision,h_neighborhood,h_home_type,h_rainweek,h_population,h_c,h_s,h_s_a,h_s_a_other,h_s_c,h_s_c_other,h_d,h_d_a,h_d_a_other,h_d_c,h_d_c_other,h_f,h_f_a,h_f_a_other,h_f_c,h_f_c_other,h_dw,h_dw_a,h_dw_a_other,h_dw_c,h_dw_c_other,h_dw_e_wt_note,h_dw_e_wt,h_dw_e_wt_other,h_o,h_o_a,h_o_a_other,h_o_c,h_o_c_other,h_bw,h_bw_a,h_bw_a_other,h_bw_c,h_bw_c_other,h_p,h_p_a,h_p_a_other,h_p_c,h_p_c_other,h_p_e,h_p_e_other,h_sf,h_sf_a,h_sf_a_other,h_sf_c,h_sf_c_other,h_l,h_l_a,h_l_a_other,h_l_c,h_l_c_other,h_pl,h_pl_a_th,h_pl_a_th_other,h_pl_a_tu,h_pl_a_tu_other,h_pl_a_tw,h_pl_a_tw_other,h_pl_a_tf,h_pl_a_tf_other,h_pl_a_ts,h_pl_a_ts_other,h_end,h_notes,h_enum,__version__,_id,_uuid,_submission_time,_index
3.60E+14,23,2017-06-12T11:10:00.709+06,23.8243651 90.3773366 0.0 1100.0,23.8243651,90.3773366,0,1100,11,2,1,4,1,,4,,3,,,1,,1,,,3,,3,,,1,,1,,,2,,,,,,,,1,,2,,,4,,3,,1,,,4,,2,,,2,,1,,,2,,,,,,,,,,,,,,,5497473d-a3d4-4c91-8089-8b4c5b55c58b,2017-06-19T07:24:40,
3.60E+14,24,2017-06-12T12:01:00.479+06,23.822872 90.3796909 0.0 1100.0,23.822872,90.3796909,0,1100,11,2,1,2,1,,2,,2,,,1,,1,,,3,,3,,,2,,2,,,2,,,,,,,,2,,2,,,3,,3,,1,,,3,,3,,,2,,2,,,2,,,,,,,,,,,,,,,74a9d02d-f490-44e2-8d49-93083b8557e5,2017-06-15T08:09:23,
3.60E+14,25,2017-06-12T12:30:00.255+06,23.823247873911715 90.37860126653786 0.2621320653484511 5.0,23.82324787,90.37860127,0.262132065,5,11,2,1,4,1,,1,,1,,,1,,1,,,1,,1,,,2,,2,,,2,,,,,,,,2,,2,,,3,,3,,1,,,2,,2,,,3,,3,,,2,,,,,,,,,,,,,,,eceda66f-b7a7-4b11-84f8-2d06ba663af1,2017-06-19T06:52:24,
3.60E+14,26,2017-06-13T08:55:00.326+06,23.823815076181027 90.37900753523994 0.0 0.0,23.82381508,90.37900754,0,0,11,2,1,5,1,,2,,2,,,3,,3,,,2,,2,,,1,,1,,,2,,,,,,,,3,,3,,,3,,3,,1,,,3,,3,,,3,,3,,,2,,,,,,,,,,,,,,,d0fed4a7-c6fa-43b5-aa33-be79106c44ba,2017-06-19T07:18:35,
3.60E+14,27,2017-06-13T09:39:00.608+06,23.8228727 90.3793966 0.0 1100.0,23.8228727,90.3793966,0,1100,11,2,1,5,1,,1,,1,,,1,,1,,,3,,3,,,1,,1,,,2,,,,,,,,2,,2,,,3,,3,,1,,,2,,2,,,3,,3,,,2,,,,,,,,,,,,,,,4778fa68-3572-45fa-925e-f75f69c5598b,2017-06-20T04:59:24,
3.60E+14,28,2017-06-13T10:08:00.494+06,23.82313110291936 90.37877182901401 -34.0 0.0,23.8231311,90.37877183,-34,0,11,2,1,3,1,,2,,2,,,2,,2,,,1,,1,,,1,,1,,,2,,,,,,,,2,,3,,,3,,3,,1,,,3,,3,,,3,,3,,,2,,,,,,,,,,,,,,,d8fe7533-7c22-448d-9d2a-f6bdc8844765,2017-06-20T04:59:37,
3.60E+14,29,2017-06-13T10:59:00.500+06,23.8228727 90.3793966 0.0 1100.0,23.8228727,90.3793966,0,1100,11,2,1,3,1,,3,,1,,,2,,2,,,1,,1,,,1,,1,,,2,,,,,,,,2,,2,,,3,,3,,1,,,3,,3,,,3,,3,,,2,,,,,,,,,,,,,,,97b769d8-08fd-40e3-afbf-257a8a2821eb,2017-06-20T04:59:51,
3.60E+14,30,2017-06-13T11:36:00.161+06,23.822872 90.3796909 0.0 1100.0,23.822872,90.3796909,0,1100,11,2,1,4,1,,2,,2,,,2,,2,,,2,,2,,,1,,1,,,2,,,,,,,,2,,2,,,3,,3,,1,,,3,,3,,,3,,3,,,2,,,,,,,,,,,,,,,85ff4402-1b9d-41ca-aec0-18ec14359295,2017-06-19T06:35:25,
3.60E+14,31,2017-06-12T10:07:00.082+06,23.82354873145531 90.37831592197392 -36.0 0.0,23.82354873,90.37831592,-36,0,11,2,1,6,1,,1,,4,,,1,,1,,,1,,1,,,1,,1,,,2,,,,,,,,2,,2,,,1,,1,,1,,,3,,2,,,1,,1,,,2,,,,,,,,,,,,,,,c3a4636c-ea81-4bd0-b1b3-9e5e4707c6d9,2017-06-15T08:01:13,
3.60E+14,32,2017-06-12T11:44:00.066+06,23.82359005602433 90.3777447977102 -1.0 0.0,23.82359006,90.3777448,-1,0,11,2,1,5,1,,4,,4,,,1,,1,,,1,,1,,,1,,1,,,2,,,,,,,,2,,1,,,1,,1,,1,,,3,,3,,,1,,1,,,2,,,,,,,,,,,,,,,64f062ee-e7bd-4808-b994-c93134e7e65e,2017-06-15T08:01:50,
3.60E+14,33,2017-06-12T12:38:00.846+06,23.823866730829714 90.37802166214007 -4.0 0.0,23.82386673,90.37802166,-4,0,11,2,1,6,1,,4,,4,,,1,,1,,,1,,1,,,1,,1,,,2,,,,,,,,1,,2,,,2,,1,,1,,,3,,2,,,1,,1,,,2,,,,,,,,,,,,,,,bd733d48-2940-4b80-9215-e66319236632,2017-06-20T06:36:55,
3.60E+14,34,2017-06-12T13:17:00.887+06,23.823740767588937 90.37809104382787 -78.0 0.0,23.82374077,90.37809104,-78,0,11,2,1,4,1,,4,,4,,,1,,1,,,1,,1,,,1,,1,,,2,,,,,,,,2,,2,,,3,,3,,1,,,3,,2,,,4,,1,,,1,,1,,1,,1,,,,,,,,,bf94cc30-44e1-4740-b841-47d067dcb7f8,2017-06-20T06:37:33,
3.60E+14,35,2017-06-12T13:46:00.678+06,23.82384441254461 90.3785341715259 1.0 0.0,23.82384441,90.37853417,1,0,11,2,1,4,1,,4,,4,,,1,,1,,,1,,1,,,1,,1,,,2,,,,,,,,2,,2,,,2,,2,,1,,,3,,3,,,1,,1,,,2,,,,,,,,,,,,,,,a2cc96f7-e2df-4378-aef5-8185e8815847,2017-06-20T04:12:24,
3.60E+14,36,2017-06-14T08:59:00.386+06,23.823399872850402 90.37791490331374 15.0 0.0,23.82339987,90.3779149,15,0,11,2,1,4,1,,4,,4,,,1,,1,,,1,,1,,,1,,1,,,2,,,,,,,,2,,2,,,2,,2,,1,,,3,,2,,,1,,1,,,2,,,,,,,,,,,,,,,b506abad-8dba-415a-8357-6144830156ed,2017-06-17T09:31:28,
3.60E+14,37,2017-06-14T09:27:00.427+06,23.823846824844207 90.37822237888334 -47.0 0.0,23.82384682,90.37822238,-47,0,11,1,1,4,1,,4,,4,,,1,,1,,,1,,1,,,1,,1,,,2,,,,,,,,1,,2,,,2,,2,,1,,,3,,1,,,1,,1,,,2,,,,,,,,,,,,,,,51f3152b-91e3-4de1-8182-e1f76dd92a8c,2017-06-20T06:37:35,
3.60E+14,38,2017-06-14T09:00:00.659+06,23.822751 90.3796233 0.0 1117.0,23.822751,90.3796233,0,1117,11,2,1,3,1,,4,,2,,,4,,1,,,2,,1,,,1,,1,,,2,,,,,,,,2,,2,,,3,,3,,1,,,2,,2,,,2,,2,,,2,,,,,,,,,,,Good response,,,,b2508d85-ab81-4d75-9050-44ebd5d98830,2017-06-19T06:26:55,
3.60E+14,39,2017-06-14T09:28:00.607+06,23.822751 90.3796233 0.0 1117.0,23.822751,90.3796233,0,1117,11,2,1,5,1,,1,,2,,,1,,1,,,3,,2,,,1,,1,,,2,,,,,,,,2,,2,,,2,,2,,1,,,3,,3,,,2,,2,,,2,,,,,,,,,,,Good response,,,,b7202983-9c63-4b54-86b8-91f90059a15c,2017-06-19T08:52:54,
3.60E+14,40,2017-06-14T09:59:00.628+06,23.822751 90.3796233 0.0 1117.0,23.822751,90.3796233,0,1117,11,2,1,4,1,,1,,3,,,1,,3,,,3,,3,,,1,,1,,,1,,,,,,,,2,,2,,,3,,3,,1,,,3,,3,,,2,,2,,,2,,,,,,,,,,,Good reaponse,,,,d177877d-caf7-46af-8f33-e88efa3b95da,2017-06-19T05:36:51,
3.60E+14,41,2017-06-12T10:00:00.031+06,23.82297011039978 90.38460944465606 301.0 0.0,23.82297011,90.38460944,301,0,11,2,1,5,1,,4,,4,,,1,,1,,,1,,1,,,4,,4,,,2,,,,,,,,2,,2,,,3,,3,,1,,,3,,2,,,1,,1,,,2,,,,,,,,,,,,,,,5991640f-38fa-4479-a237-d0e9f85bdb27,2017-06-15T08:01:13,
3.60E+14,42,2017-06-12T10:45:00.160+06,23.82373662083308 90.37775045422339 0.0 0.0,23.82373662,90.37775045,0,0,11,2,1,4,1,,4,,4,,,1,,1,,,1,,1,,,4,,4,,,2,,,,,,,,2,,2,,,2,,2,,1,,,4,,3,,,1,,1,,,2,,,,,,,,,,,,,,,80ca1b60-5ae1-4ef2-9483-ac6354ab6b6e,2017-06-18T10:24:02,
3.60E+14,43,2017-06-12T11:14:00.934+06,23.823555185907274 90.37755351880773 10.0 0.0,23.82355519,90.37755352,10,0,11,2,1,3,1,,4,,4,,,1,,1,,,1,,2,,,4,,4,,,2,,,,,,,,2,,2,,,2,,3,,1,,,3,,3,,,1,,1,,,2,,,,,,,,,,,,,,,59229cea-c94f-4000-b7b3-4fc795ffff74,2017-06-15T08:01:17,
3.60E+14,44,2017-06-12T11:51:00.710+06,23.823674796685353 90.37809138334845 -2.0 0.0,23.8236748,90.37809138,-2,0,11,2,1,4,1,,4,,4,,,1,,1,,,1,,1,,,4,,4,,,1,,,,,,,,2,,2,,,2,,2,,1,,,4,,2,,,1,,1,,,2,,,,,,,,,,,,,,,451bac68-70ce-4227-b53e-da40abae7047,2017-06-18T10:27:54,
3.60E+14,45,2017-06-12T12:24:00.769+06,23.824864094912883 90.37616712456082 23.0 0.0,23.82486409,90.37616712,23,0,11,2,1,3,1,,4,,4,,,1,,1,,,1,,1,,,1,,1,,,2,,,,,,,,2,,2,,,2,,3,,1,,,4,,1,,,1,,1,,,2,,,,,,,,,,,,,,,89f400b0-bbd0-4d5b-b198-a7270b81863a,2017-06-18T10:21:23,
