lab_start_dt,subscriberid,simserial,deviceid,lab_end_dt,lab_ward,lab_neighborhood,lab_sample_type,lab_id,lab_id_val,lab_processing,lab_incubatorms_placed,lab_incubatorms_removed,lab_pcr_date,lab_dna_done,lab_dna_date,lab_closing,lab_notes,lab_enum,__version__,_id,_uuid,_submission_time,_index
2019-11-22T11:40:02.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019-11-22T11:41:43.000-07:00,59,1,99,FB1138UP,FB1138UP,2019-11-18T16:00:00.000-07:00,2019-11-18T16:15:00.000-07:00,2019-11-19T16:15:00.000-07:00,2019-11-19T16:35:00.000-07:00,1,1574208000,NA,Associated Sample PLc1081 and NOT TURBID,6,vGpS723vVDancxDf5Dr86o,5472,2c73d4bd-793f-41dd-b401-88cc5c4c1cc2,2019-11-22T06:09:01,424
2019-11-22T11:41:43.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019-11-22T11:42:49.000-07:00,59,1,11,PLc1082,PLc1082,2019-11-18T16:10:00.000-07:00,2019-11-18T16:25:00.000-07:00,2019-11-19T16:25:00.000-07:00,2019-11-19T17:10:00.000-07:00,1,1574208000,NA,NA,6,vGpS723vVDancxDf5Dr86o,5473,f3a09cc4-9cf1-4866-90fe-d94a76e9032f,2019-11-22T06:10:06,425
2019-11-22T11:42:50.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019-11-22T11:44:26.000-07:00,59,1,99,FB1139UP,FB1139UP,2019-11-18T16:00:00.000-07:00,2019-11-18T16:15:00.000-07:00,2019-11-19T16:15:00.000-07:00,2019-11-19T16:35:00.000-07:00,0,NULL,NA,Associated Sample PLc1082 and NOT TURBID,6,vGpS723vVDancxDf5Dr86o,5474,ec9507ae-fc10-400f-9a8e-38a47fd5136a,2019-11-22T06:11:44,426
2019-11-22T11:44:26.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019-11-22T11:45:25.000-07:00,59,1,11,PLc1083,PLc1083,2019-11-18T16:10:00.000-07:00,2019-11-18T16:25:00.000-07:00,2019-11-19T16:25:00.000-07:00,2019-11-19T17:15:00.000-07:00,1,1574208000,NA,NA,4,vGpS723vVDancxDf5Dr86o,5475,9f7f731e-c69f-41ed-a959-2482c0a9b32d,2019-11-22T06:12:42,427
2019-11-22T11:45:25.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019-11-22T11:46:53.000-07:00,59,1,99,FB1140UP,FB1140UP,2019-11-18T16:00:00.000-07:00,2019-11-18T16:15:00.000-07:00,2019-11-19T16:15:00.000-07:00,2019-11-19T16:40:00.000-07:00,0,NULL,NA,Associated Sample PLc1083 and NOT TURBID,4,vGpS723vVDancxDf5Dr86o,5476,685d6002-12cf-408e-87a6-cd123587309f,2019-11-22T06:14:11,428
2019-11-22T11:46:53.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019-11-22T11:48:03.000-07:00,58,1,11,PLc1084,PLc1084,2019-11-18T16:10:00.000-07:00,2019-11-18T16:25:00.000-07:00,2019-11-19T16:25:00.000-07:00,2019-11-19T17:20:00.000-07:00,1,1574208000,NA,NA,4,vGpS723vVDancxDf5Dr86o,5477,10db7b0b-29b7-471c-b7c4-52d365ac714f,2019-11-22T06:15:20,429
2019-11-22T11:48:03.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019-11-22T11:49:31.000-07:00,58,1,99,FB1141UP,FB1141UP,2019-11-18T16:00:00.000-07:00,2019-11-18T16:15:00.000-07:00,2019-11-19T16:15:00.000-07:00,2019-11-19T16:45:00.000-07:00,0,NULL,NA,Associated Sample PLc1084 and NOT TURBID,4,vGpS723vVDancxDf5Dr86o,5478,bf694165-2450-426b-878a-f6b59bfb2186,2019-11-22T06:16:49,430
2019-11-22T11:49:31.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019-11-22T11:54:47.000-07:00,59,1,11,PLc1085,PLc1085,2019-11-19T16:10:00.000-07:00,2019-11-19T16:25:00.000-07:00,2019-11-20T16:25:00.000-07:00,2019-11-20T17:15:00.000-07:00,1,1574208000,NA,NA,4,vGpS723vVDancxDf5Dr86o,5479,4c258819-b2cd-4e61-b3b2-7a5e83bb464a,2019-11-22T06:22:04,431
2019-11-22T11:54:47.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019-11-22T11:58:21.000-07:00,59,1,99,FB1142,FB1142,2019-11-19T16:00:00.000-07:00,2019-11-19T16:15:00.000-07:00,2019-11-20T16:15:00.000-07:00,2019-11-20T16:45:00.000-07:00,0,NULL,NA,Associated Sample PLc1085 and NOT TURBID,6,vGpS723vVDancxDf5Dr86o,5480,1104f961-0bce-4941-8e90-87015d44357c,2019-11-22T06:25:38,432
2019-11-22T11:58:21.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019-11-22T12:00:13.000-07:00,59,1,11,PLc1086,PLc1086,2019-11-19T16:10:00.000-07:00,2019-11-19T16:15:00.000-07:00,2019-11-20T16:25:00.000-07:00,2019-11-20T17:17:00.000-07:00,1,1574208000,NA,NA,4,vGpS723vVDancxDf5Dr86o,5481,2b0df100-4193-4fb5-91e9-9fbbfaf6a126,2019-11-22T06:27:35,433
