"SampleID","CompoundID","ec_dd","ec_th","ev_way","ev_notes","ec_sd","ec_st","ec_isd","ec_ist","ec_ied","ec_iet","ec_dil1","ec_dil2","ec_ecnt1","ec_ecnt2","tc_ecnt1","tc_ecnt2","ec_blank","tc_blank","collectr","operator","sp_area","ec_dil3","ec_ecnt3","tc_ecnt3","dis_com","weight","lat_other","col_UID"
"CPO2034",2034,"5/13/2016","1/0/1900","73-29","",2016-05-13,"11:05:00",2016-05-13,"15:30:00",2016-05-14,"15:30:00",3,5,998,55,998,190,0,0,"Sumeya/Anabela","Salma/J",1,6,2,30,2.5,,"","08_06_1038"
"CPO3030",3030,"5/9/2016","1/0/1900","60-29","",2016-05-09,"12:10:00",2016-05-10,"16:05:00",2016-05-11,"16:05:00",3,5,999,76,999,999,0,0,"Sumeya/Anabela","Mario Amos/Salma",1,7,2,39,1.4,,"","08_06_1039"
"CPO3031",3031,"5/3/2016","1/0/1900","034-43","",2016-05-03,"15:30:00",2016-05-03,"18:10:00",2016-05-04,"18:10:00",2,5,999,12,999,29,,,"Sumeya/Anabela","Mario Amos",1,6,0,0,1.55,,"","08_06_1040"
"CPO3034",3034,"5/9/2016","1/0/1900","047-43","",2016-05-09,"12:10:00",2016-05-09,"16:05:00",2016-05-10,"16:05:00",3,5,999,999,999,999,0,0,"Eloisa/Gizela","Mario Amos/Salma",1,7,3,999,2.1,,"","08_06_1041"
"SCA2029",2029,"5/19/2016","1/0/1900","072-43","",2016-05-19,"11:25:00",2016-05-19,"17:15:00",2016-05-20,"17:15:00",2,4,998,999,998,999,0,0,"Eloisa/Gizela","Mario Amos/J",0,6,2,175,,,"","08_08_1042"
"SCA2030",2030,"5/6/2016","1/0/1900","043-43","",2016-05-19,"11:25:00",2016-05-19,"17:15:00",2016-05-20,"17:16:00",2,4,999,5,999,999,0,0,"Eloisa/Gizela","J/Mario Amos",0,6,0,33,,,"","08_08_1043"
"SCA2032",2032,"5/31/2016","1/0/1900","101-29","",2016-05-31,"14:15:00",2016-05-31,"18:50:00",2016-06-01,"18:50:00",2,4,32,10,999,999,0,0,"Sumeya/Anabela","Mario Amos/Laurinda",0,6,0,56,,27.18,"","08_08_1044"
"SCA2034",2034,"5/13/2016","1/0/1900","72-29","",2016-05-13,"11:05:00",2016-05-13,"15:30:00",2016-05-14,"15:30:00",2,4,998,35,998,999,0,0,"Sumeya/Anabela","Salma/J",0,6,6,185,,52.67,"","08_08_1045"
"SCA2035",2035,"5/12/2016","1/0/1900","69-29","",2016-05-12,"12:10:00",2016-05-12,"16:45:00",2016-05-13,"16:45:00",2,4,998,60,998,999,,,"Sumeya/Anabela","Laurinda/J",0,6,4,999,,51.54,"","08_08_1046"
"SCA2036",2036,"5/18/2016","1/0/1900","069-43","",2016-05-18,"12:10:00",2016-05-18,"12:10:00",2016-05-19,"12:10:00",2,4,998,999,998,999,0,0,"Gizela/Eloisa","Salma/J",0,6,3,141,,37.35,"","08_08_1047"
