"lab_neighborhood","lab_ws_cl_free","lab_ws_cl_total","lab_1_group","lab_1_dil","lab_2_group","lab_2_dil","lab_3_group","lab_3_dil","meta.instanceID","X_parent_table_name","X_parent_index","Cube.or.Hygiene.Ice","lab_UID"
2,,,,700,,70,,,"uuid:6841dc51-b9df-4cba-a50a-aef8fcdc2329",,-1,,"01_33_1069"
4,,,,700,,70,,,"uuid:b87ebde7-c786-42e7-bf66-e69bba8a83e5",,-1,,"01_33_1070"
4,,,,700,,70,,,"uuid:fc9486ec-5052-44fc-9b3a-df6b7209cbef",,-1,,"01_33_1071"
4,,,,700,,70,,,"uuid:2f304534-7ee8-4c7d-9d08-b4b77cfeb213",,-1,,"01_33_1072"
4,,,,700,,70,,,"uuid:bac20ee0-0d67-42ba-b01b-6f5ad4a05ff2",,-1,,"01_33_1073"
4,,,,700,,70,,,"uuid:fd4bad2b-9855-433f-af82-fa56b539acc2",,-1,,"01_33_1074"
4,,,,700,,70,,,"uuid:1a80c8c8-2f07-4277-94f9-5694f8b90237",,-1,,"01_33_1075"
4,,,,700,,70,,,"uuid:48a397f8-ac91-4ec0-b202-3b368c93c3ae",,-1,,"01_33_1076"
4,,,,700,,70,,,"uuid:7a66f31f-a6b2-4c1b-89fa-2ca86193cfbf",,-1,,"01_33_1077"
4,,,,700,,70,,,"uuid:58164f4a-788a-4033-ab08-c27cfdde46a9",,-1,,"01_33_1078"
4,,,,700,,70,,,"uuid:3ecc149b-2408-4fd3-a28d-5af4d9372d4f",,-1,,"01_33_1079"
4,,,,700,,70,,,"uuid:8e395057-95ba-4134-9b90-956f23e68ea1",,-1,,"01_33_1080"
3,,,,700,,70,,,"uuid:ef2425b1-8bdd-4ab1-8af8-4504a0b1e1f5",,-1,,"01_33_1081"
3,,,,700,,70,,,"uuid:181fa39d-8d78-4b7f-b2d2-eaa60c6c50f4",,-1,,"01_33_1082"
3,,,,700,,70,,,"uuid:f7f13805-1dca-4ac4-82a1-e11ab17d90f5",,-1,,"01_33_1083"
3,,,,700,,70,,,"uuid:c060bfbe-820f-4b5b-9033-584378617183",,-1,,"01_33_1084"
3,,,,700,,70,,,"uuid:4cc7b799-2c31-4259-8d19-99997c74ba73",,-1,,"01_33_1085"
3,,,,700,,70,,,"uuid:7e264cdd-abf9-4b8e-a86a-84729eba5b29",,-1,,"01_33_1086"
3,,,,700,,70,,,"uuid:81cc286e-de61-4ba3-b28d-722ab3e1cf4a",,-1,,"01_33_1087"
3,,,,700,,70,,,"uuid:84f680f9-42ee-48df-b109-dcb0b59832ec",,-1,,"01_33_1088"
3,,,,700,,70,,,"uuid:1f030190-df47-48db-876a-bda060b817ae",,-1,,"01_33_1089"
5,,,,700,,70,,,"uuid:e1a4a3f1-d140-4a73-b4ae-4ed47e4f812a",,-1,,"01_33_1090"
5,,,,700,,70,,,"uuid:f7016092-b3d7-4c9f-99b8-5d795f032242",,-1,,"01_33_1091"
5,,,,700,,70,,,"uuid:3427e234-e18c-42b8-9b05-16b52d49000b",,-1,,"01_33_1092"
5,,,,700,,70,,,"uuid:1e90fd05-b199-42fa-a3c6-57474c0151de",,-1,,"01_33_1093"
5,,,,700,,70,,,"uuid:1ef62f6f-636c-4104-8b0c-ec287401a7a7",,-1,,"01_33_1094"
5,,,,700,,70,,,"uuid:fd8462e4-080d-474e-86c7-96bf25cff6ac",,-1,,"01_33_1095"
5,,,,700,,70,,,"uuid:86989f97-8a2e-4162-a12a-aeb51181d4ae",,-1,,"01_33_1096"
5,,,,700,,70,,,"uuid:d1b9eff2-0b74-4fa2-b35d-aa7208f5683f",,-1,,"01_33_1097"
5,,,,700,,70,,,"uuid:0c87b5bf-6083-4f77-add7-01db25947d21",,-1,,"01_33_1098"
5,,,,700,,70,,,"uuid:06728c4c-31e9-45c8-9e6a-2257565fc368",,-1,,"01_33_1099"
4,99,99,,700,,70,,,"uuid:e70799c5-67e5-4cd1-98b2-d286cde37e35",,-1,,"01_03_1100"
4,99,99,,700,,70,,,"uuid:d3a3cb28-979c-481a-811a-263ab73b9b53",,-1,,"01_03_1101"
4,99,99,,700,,70,,,"uuid:cd89262a-25ee-4a5b-ba75-9214d3bb485c",,-1,,"01_03_1102"
4,99,99,,700,,70,,,"uuid:c75da5a7-89c6-4fa7-8425-81d5ca010c82",,-1,,"01_03_1103"
4,99,99,,700,,70,,,"uuid:c4bd8cc3-0508-4d5f-9d83-85268c517a01",,-1,,"01_03_1104"
4,99,99,,700,,70,,,"uuid:66ee66dd-6275-4a90-b581-190f85fd5fca",,-1,,"01_03_1105"
4,99,99,,700,,70,,,"uuid:12c03d69-2982-492f-9bde-de6916aaf736",,-1,,"01_03_1106"
4,99,99,,700,,70,,,"uuid:04c2e783-4daf-4175-b4b2-5a269bc4582a",,-1,,"01_03_1107"
4,99,99,,700,,70,,,"uuid:1cf5c4aa-ce78-4d68-9c7d-98dc86017838",,-1,,"01_03_1108"
4,99,99,,700,,70,,,"uuid:465ee4b9-64ca-46eb-b724-93ea58e9ec68",,-1,,"01_03_1109"
1,,,,700,,70,,,"uuid:7794107d-57f1-4747-b641-8ace24c78a74",,-1,,"01_09_1110"
1,,,,700,,70,,,"uuid:9e9c1581-65b1-4322-9895-61decde1007b",,-1,,"01_09_1111"
1,,,,700,,70,,,"uuid:ff8fc67d-3321-4698-a8e6-c7073c2eaeeb",,-1,,"01_09_1112"
1,,,,700,,70,,,"uuid:4e0cd1b3-fd0e-4329-86a7-2f88391d6789",,-1,,"01_09_1113"
1,,,,700,,70,,,"uuid:ea7530eb-d5b0-49a0-86a6-ff68cc9e68ed",,-1,,"01_09_1114"
1,,,,700,,70,,,"uuid:7f3b23e0-7385-485e-be22-f11908c5a8a4",,-1,,"01_09_1115"
1,,,,700,,70,,,"uuid:6283c5e3-316c-4ca4-b329-90d43ebd6569",,-1,,"01_09_1116"
1,,,,700,,70,,,"uuid:1bc7033e-34bb-4ca9-bd6d-4d40667d8591",,-1,,"01_09_1117"
1,,,,700,,70,,,"uuid:864c34d1-91ba-4569-bcdc-11b5db9933c7",,-1,,"01_09_1118"
1,,,,700,,70,,,"uuid:9063c9a1-bf05-467b-b2f7-21e9828e7c7c",,-1,,"01_09_1119"
1,,,,6,,5,,4,"uuid:02eb9574-0686-4a27-ae73-4de060408705",,-1,,"01_06_1120"
1,,,,6,,5,,4,"uuid:3f59f151-5574-4326-9588-7f78ef4f7484",,-1,,"01_06_1121"
1,,,,6,,5,,4,"uuid:c84e4618-b18f-418d-a50a-8d9ea02f7751",,-1,,"01_06_1122"
1,,,,6,,5,,4,"uuid:5e152ee4-582c-4394-96de-b342a768ccec",,-1,,"01_06_1123"
1,,,,6,,5,,4,"uuid:c100e5f9-7c35-4af0-89be-3c41097177a5",,-1,,"01_06_1124"
1,,,,6,,5,,4,"uuid:1ebec9df-1697-4854-a2d5-45e94a9d9804",,-1,,"01_06_1125"
1,,,,6,,5,,4,"uuid:6a63fd59-d85c-4205-a5a1-b032ca6b76fc",,-1,,"01_06_1126"
1,,,,6,,5,,4,"uuid:d5eb18b5-5fa8-49ec-a1a9-e24a6167dc2a",,-1,,"01_06_1127"
1,,,,6,,5,,4,"uuid:5f2d314a-9b33-4ae6-9600-c0a42d2e5e49",,-1,,"01_06_1128"
1,,,,6,,5,,4,"uuid:2f466350-1809-407f-bcee-377d26bb1773",,-1,,"01_06_1129"
2,,,,6,,5,,4,"uuid:f8ee361b-f662-4ca5-98c6-c5d0ee86f748",,-1,,"01_06_1130"
2,,,,6,,5,,4,"uuid:4b01ad6b-e7b9-4620-ad39-112e9bdf01a7",,-1,,"01_06_1131"
2,,,,6,,5,,4,"uuid:66a01955-24d6-4454-9750-3e06bd7281d9",,-1,,"01_06_1132"
2,,,,6,,5,,4,"uuid:54211d6c-0cfe-48bc-844e-b348ec546473",,-1,,"01_06_1133"
2,,,,6,,5,,4,"uuid:e76986fe-3d7d-4947-8ead-a87095e93e20",,-1,,"01_06_1134"
2,,,,6,,5,,4,"uuid:6bc3e018-2321-4b6b-a8ca-a2ca4796c2d9",,-1,,"01_06_1135"
2,,,,6,,5,,4,"uuid:447a5aa1-7935-4816-818e-ffca98f92c25",,-1,,"01_06_1136"
2,,,,6,,5,,4,"uuid:1facb5b8-8274-4d4b-9f82-dfec8e74a1a0",,-1,,"01_06_1137"
2,,,,6,,5,,4,"uuid:b5dbd3fc-0809-4bdf-813c-ac973929c953",,-1,,"01_06_1138"
2,,,,6,,5,,4,"uuid:c29299a4-9893-499e-89ff-34b592265ab3",,-1,,"01_06_1139"
4,,,,6,,5,,4,"uuid:7933739e-03f5-494f-bfcb-723d912abe88",,-1,,"01_06_1140"
4,,,,6,,5,,4,"uuid:823e56e9-c156-45d6-a58a-90c1c74583be",,-1,,"01_06_1141"
4,,,,6,,5,,4,"uuid:e08daf7b-58d0-4832-b6e2-8966cd59b93c",,-1,,"01_06_1142"
4,,,,6,,5,,4,"uuid:1710d409-b213-48d6-9cfd-3b14ad20ae75",,-1,,"01_06_1143"
4,,,,6,,5,,4,"uuid:0c4c0d32-ef31-4cb3-bdec-97a15ea762cb",,-1,,"01_06_1144"
4,,,,6,,5,,4,"uuid:d083432a-0f8d-49df-af21-0bfe590e8ac3",,-1,,"01_06_1145"
4,,,,6,,5,,4,"uuid:af30ecfd-9af7-45c9-a111-87705f8a59ac",,-1,,"01_06_1146"
4,,,,6,,5,,4,"uuid:6d3ffce4-eac6-4bd5-9ed1-779071c3bb7f",,-1,,"01_06_1147"
4,,,,6,,5,,4,"uuid:e52dedeb-01d7-488a-b230-9fc7a7e3db91",,-1,,"01_06_1148"
4,,,,6,,5,,4,"uuid:aa38eb6d-93f7-443f-a77c-3152a7521ba1",,-1,,"01_06_1149"
3,,,,6,,5,,4,"uuid:9e1c5c20-7074-4b1e-ad6c-8891740259dd",,-1,,"01_06_1150"
3,,,,6,,5,,4,"uuid:1c18da2b-f824-4156-8280-0a66dccb725d",,-1,,"01_06_1151"
3,,,,6,,5,,4,"uuid:5460fc6e-1e7a-4210-aec6-0ccb5664c303",,-1,,"01_06_1152"
3,,,,6,,5,,4,"uuid:ee85bfc4-f78d-42b9-8844-775b190d4565",,-1,,"01_06_1153"
3,,,,6,,5,,4,"uuid:15372d4c-7e62-4d68-b2b6-c33870428561",,-1,,"01_06_1154"
3,,,,6,,5,,4,"uuid:ca60eeea-d630-4a5b-93bf-42e7cdd62cc6",,-1,,"01_06_1155"
3,,,,6,,5,,4,"uuid:9d72824b-6624-40a4-8ad9-fb4697b334af",,-1,,"01_06_1156"
3,,,,6,,5,,4,"uuid:8ad66c97-8901-46de-bbdc-d60e322ed53d",,-1,,"01_06_1157"
3,,,,6,,5,,4,"uuid:48920279-664a-4cd5-b005-811e8e31ea3e",,-1,,"01_06_1158"
3,,,,6,,5,,4,"uuid:4ccfe063-4d98-4f59-ab0c-42202ddbd04e",,-1,,"01_06_1159"
5,,,,6,,5,,4,"uuid:fcd960bd-f6fb-47e2-9aff-4d9449905319",,-1,,"01_06_1160"
5,,,,6,,5,,4,"uuid:3161cafb-42ae-4d93-9293-d4dac41597e1",,-1,,"01_06_1161"
5,,,,6,,5,,4,"uuid:34a9ba79-fd19-4fac-8cf1-029cc8185f93",,-1,,"01_06_1162"
5,,,,6,,5,,4,"uuid:f59ef717-8aa4-48bd-8e7e-a1adc47435ff",,-1,,"01_06_1163"
5,,,,6,,5,,4,"uuid:015189c5-a984-4551-a7ac-621a4d1f6df2",,-1,,"01_06_1164"
5,,,,6,,5,,4,"uuid:4e3d502a-69df-4f5f-9e18-c4656ea55672",,-1,,"01_06_1165"
5,,,,6,,5,,4,"uuid:fddc91f3-51c7-465f-bc1f-ed8e0bf9e25e",,-1,,"01_06_1166"
5,,,,6,,5,,4,"uuid:9daca902-426c-4474-bb4d-cd241fe80b2b",,-1,,"01_06_1167"
5,,,,6,,5,,4,"uuid:364fba5e-6f48-44b2-a157-578edeed432c",,-1,,"01_06_1168"
5,,,,6,,5,,4,"uuid:2962676e-1303-4501-8aca-d9b26dc914fb",,-1,,"01_06_1169"
1,,,,700,,70,,,"uuid:f766b0d8-b5e9-4081-9fce-47ed17b29895",,-1,1,"01_33_1170"
1,,,,700,,70,,,"uuid:a2100297-769a-4954-9a37-75e8a92491d9",,-1,1,"01_33_1171"
1,,,,700,,70,,,"uuid:60ff1b17-3049-4bbd-a78f-cbe162f6f005",,-1,2,"01_33_1172"
1,,,,700,,70,,,"uuid:9b7fd84a-5ce5-4acc-a185-7ca3a7d75e23",,-1,2,"01_33_1173"
1,,,,700,,70,,,"uuid:3de2d565-d08d-4b53-b73d-6ce8fd952289",,-1,1,"01_33_1174"
1,,,,700,,70,,,"uuid:87c66ccd-e515-4388-986e-7f15cd44d210",,-1,2,"01_33_1175"
1,,,,700,,70,,,"uuid:3a61985a-594f-4468-916d-1f70ec404839",,-1,2,"01_33_1176"
1,,,,700,,70,,,"uuid:84e452ed-1d77-4f2d-b9a9-43c4552338c3",,-1,1,"01_33_1177"
1,,,,700,,70,,,"uuid:06ce3047-fa1e-4424-9c48-07ce287dff41",,-1,1,"01_33_1178"
1,,,,700,,70,,,"uuid:d8865c6b-942a-498c-8c7d-fbe14d3f8ec2",,-1,2,"01_33_1179"
2,,,,700,,70,,,"uuid:a286a35d-b422-4b5d-834b-a4d7f125bf16",,-1,2,"01_33_1180"
2,,,,700,,70,,,"uuid:c4d7e7e2-49c6-4622-81c6-030dfdad6b1a",,-1,1,"01_33_1181"
2,,,,700,,70,,,"uuid:0a37b525-4229-471b-926a-f4fd1c9f19f4",,-1,1,"01_33_1182"
2,,,,700,,70,,,"uuid:d36bc604-7e14-4aa0-a994-c330366ee89d",,-1,2,"01_33_1183"
2,,,,700,,70,,,"uuid:de128096-38f0-4c77-bdcb-260ee12fe361",,-1,2,"01_33_1184"
2,,,,700,,70,,,"uuid:82148407-fc71-4334-a111-1496edffaa7b",,-1,1,"01_33_1185"
2,,,,700,,70,,,"uuid:ae10d650-5eee-4157-8c08-cad3a948114f",,-1,2,"01_33_1186"
2,,,,700,,70,,,"uuid:6db3fbe7-2ae4-4cc0-afba-ab4158d114a4",,-1,2,"01_33_1187"
2,,,,700,,70,,,"uuid:1cfa5da3-6236-436c-a4aa-c35f5d7aa5a3",,-1,1,"01_33_1188"
2,,,,700,,70,,,"uuid:de9e0e8a-d071-4bf7-b65a-a993c8c4a126",,-1,1,"01_33_1189"
4,,,,700,,70,,,"uuid:895154d9-2028-4e99-ad23-0f818a84467b",,-1,2,"01_33_1190"
4,,,,700,,70,,,"uuid:c48113aa-cc2c-4c12-9496-cd87d0c5a1cc",,-1,1,"01_33_1191"
4,,,,700,,70,,,"uuid:36a89be7-b878-4974-8abd-c73c6254c60c",,-1,1,"01_33_1192"
4,,,,700,,70,,,"uuid:e18e8571-84a7-4922-a81f-3d5a471ff414",,-1,1,"01_33_1193"
4,,,,700,,70,,,"uuid:457e8d9f-1030-4966-b9ae-aa4dc9e12f7c",,-1,2,"01_33_1194"
4,,,,700,,70,,,"uuid:557e08a6-4970-4b72-aff0-1f90e79efecc",,-1,2,"01_33_1195"
4,,,,700,,70,,,"uuid:17586601-4610-4158-9efa-f55fea1f13f5",,-1,1,"01_33_1196"
4,,,,700,,70,,,"uuid:583a4d3d-6c9d-4564-b727-699a3daba265",,-1,1,"01_33_1197"
4,,,,700,,70,,,"uuid:e0159f90-d8f0-427d-b979-2c07712c5911",,-1,1,"01_33_1198"
4,,,,700,,70,,,"uuid:22fe07bc-98df-4dd7-b95e-fda41688f640",,-1,2,"01_33_1199"
3,,,,700,,70,,,"uuid:4df86d0a-be2d-4f94-b901-acc58e655054",,-1,2,"01_33_1200"
3,,,,700,,70,,,"uuid:2a05c477-a483-4eff-bf5b-93a40990d221",,-1,1,"01_33_1201"
3,,,,700,,70,,,"uuid:30676408-8381-49ab-ad40-e489e0722884",,-1,2,"01_33_1202"
3,,,,700,,70,,,"uuid:dd83a5eb-4a4d-4b80-aa4b-bdba6199b599",,-1,2,"01_33_1203"
3,,,,700,,70,,,"uuid:3e3e706e-bf67-4cc5-96e1-c7649a2ed901",,-1,1,"01_33_1204"
3,,,,700,,70,,,"uuid:2d1b8ada-5e8f-477a-b578-82bad48baba2",,-1,1,"01_33_1205"
3,,,,700,,70,,,"uuid:334d027b-ba14-4cc0-820a-93c652e8bfdf",,-1,0,"01_33_1206"
