"SampleID","CompoundID","ec_dd","ec_th","ev_lat","ev_long","ev_way","neighbor","dis_lat","ev_notes","source_bw","source_other","stored","covered","ec_sd","ec_st","ec_isd","ec_ist","ec_ied","ec_iet","tc_ecnt1","tc_ecnt2","ec_blank","tc_blank","collectr","operator","sp_area","tc_ecnt3","dis_com","weight","feces_3m","fd_type","fd_num","lat_type","lat_other","n_stall","Vis_fec","HW_stat","lab_UID"
"DCO3032",3032,"5/10/2016","1/0/1900",25.94332,32.58118,"62-29",2,1.9,"",,,,,2016-05-10,"11:42:00",2016-05-10,"16:05:00",2016-05-11,"16:05:00",999,999,,,"Anabela/Sumeya","Salma/Mario",0,17,,,,"",,,"",,,,"08_01_1028"
"DCO3034",3034,"5/9/2016","1/0/1900",25.94716,32.55196,"046-43",2,8.3,"",,,,,2016-05-09,"12:10:00",2016-05-10,"16:05:00",2016-05-11,"16:05:00",999,999,0,0,"Eloisa/Gizela","Mario Amos/Salma",0,75,,,,"",,,"",,,,"08_01_1029"
"DCO3037",3037,"5/5/2016","1/0/1900",25.945,32.57927,"51-29",2,0.7,"",,,,,2016-05-05,"13:30:00",2016-05-05,"17:30:00",2016-05-06,"17:30:00",999,999,0,0,"Anabela/Sumeya","Laurinda/J",0,8,,,,"",,,"",,,,"08_01_1030"
"DPO3037",3037,"5/5/2016","1/0/1900",25.94511,32.57919,"52-29",2,,"",,,,,2016-05-05,"13:30:00",2016-05-05,"17:30:00",2016-05-06,"17:30:00",999,999,0,0,"Anabela/Sumeya","Laurinda/J",1,19,5,,,"",,,"",,,,"08_01_1031"
"CCO2029",2029,"5/19/2016","1/0/1900",25.9441,32.56049,"072-43",1,8.6,"",,,,,2016-05-19,"12:25:00",2016-05-19,"17:15:00",2016-05-20,"17:15:00",999,999,,,"Eloisa/Gizela","Mario Amos/J",0,999,,,,"",,,"",,,,"08_06_1032"
"CCO2032",2032,"5/16/2016","1/0/1900",25.94346,32.55752,"075-29",1,3.9,"",,,,,2016-05-16,"11:45:00",2016-05-16,"16:25:00",2016-05-17,"16:25:00",999,999,0,0,"Anabela/Sumeya","Mario Amos/Laurinda",0,999,,,,"",,,"",,,,"08_06_1033"
"CCO2038",2038,"5/18/2016","1/0/1900",25.93495,32.56274,"83-29",1,17.1,"",,,,,2016-05-18,"12:10:00",2016-05-18,"17:49:00",2016-05-19,"17:49:00",998,998,0,0,"Sumeya/Anabela","Salma/J",0,999,,,,"",,,"",,,,"08_06_1034"
"CCO2044",2044,"5/23/2016","1/0/1900",25.94214,32.55713,"090-29",1,6.3,"",,,,,2016-05-23,"11:40:00",2016-05-23,"15:50:00",2016-05-24,"15:50:00",999,999,0,0,"Isabela/Sumeya","J/Mario Amos",0,999,,,,"",,,"",,,,"08_06_1035"
"CCO3030",3030,"5/9/2016","1/0/1900",25.94335,32.58104,"59-29",2,5.9,"",,,,,2016-05-09,"12:10:00",2016-05-10,"16:05:00",2016-05-11,"16:05:00",999,999,0,0,"Sumeya/Anabela","Mario Amos/Salma",0,999,,,,"",,,"",,,,"08_06_1036"
"CCO3034",3034,"5/9/2016","1/0/1900",25.94716,32.55196,"046-43",2,22,"",,,,,2016-05-09,"12:10:00",2016-05-10,"16:05:00",2016-05-11,"16:05:00",999,80,0,0,"Eloisa/Gizela","Mario Amos/Salma",0,13,,,,"",,,"",,,,"08_06_1037"
"CPO2034",2034,"5/13/2016","1/0/1900",25.94372,32.55825,"73-29",1,,"",,,,,2016-05-13,"11:05:00",2016-05-13,"15:30:00",2016-05-14,"15:30:00",998,190,0,0,"Sumeya/Anabela","Salma/J",1,30,2.5,,,"",,,"",,,,"08_06_1038"
"CPO3030",3030,"5/9/2016","1/0/1900",25.94336,32.58124,"60-29",2,,"",,,,,2016-05-09,"12:10:00",2016-05-10,"16:05:00",2016-05-11,"16:05:00",999,999,0,0,"Sumeya/Anabela","Mario Amos/Salma",1,39,1.4,,,"",,,"",,,,"08_06_1039"
