"h_id_val","h_gps_device","h_gps_device_id","h_gps_device_wp","h_gps_device_lat","h_gps_device_lon","h_s_additional_info","h_d_additional_info","h_f_additional_info","h_m_a_prim","h_m_a_prim_other","h_m_a_sec","h_m_a_sec_other","h_m_a_sec_num","h_m_a_sec_num_other","h_m_c_prim","h_m_c_prim_other","h_m_c_sec","h_m_c_sec_other","h_m_c_sec_num","h_m_c_sec_num_other","h_m_additional_info","h_t_additional_info","h_p_additional_info","h_latrine_type","h_latrine_type_other","h_th_additional_info","h_pd","h_pd_additional_info","meta.instanceID","X_parent_table_name","X_parent_index","h_id_old","h_f_weekly","h_UID"
"4054",0,,,,,"","","Rainy season",5,"Treatment water",3,"",3,"",5,"Treatment water",3,"",3,"","Water buy from water treatment company","","Cucumber, latuce, long bean.....",4,,"",,"","uuid:4ad8ce07-78a9-4d64-b078-17682878c823",,-1,"4054",0,"01_1228"
"4058",0,,,,,"","","Rainy season street flood",3,"",5,"Small bottle water 1.5L",3,"",3,"",5,"Small bottle water 1.5L",3,"","Bottle water 20L","","Long bean, cabac, latuce, eggplant......",4,,"",,"","uuid:dedd6983-c6a7-4e51-b309-d4a22f74e0f2",,-1,"4058",0,"01_1229"
"4062",0,,,,,"","","Rainy season ( street flood)",3,"",5,"Small water 0.5L",3,"",3,"",5,"Small water 0.5L",3,"","Bottle water 20L","","Long bean, cabac, banana flower, latuce, cucumber.....",4,,"",,"","uuid:fdd6635b-7613-4ef8-9c43-4c483d541bd7",,-1,"4062",0,"01_1230"
"4065",0,,,,,"","","Rainy season (street flood)",3,"",5,"Rain water (boil)",3,"",3,"",5,"Rain water (boil)",3,"","","","Morning glory, latuce, eggplant, long bean.....",4,,"",,"","uuid:8601b89f-f8bf-48d7-9282-33b8ba9544a2",,-1,"4065",0,"01_1231"
"4035",0,,,,,"Go to fishing","","Rainy season(street flood)",3,"",5,"Small bottle 0.5L",3,"",3,"",5,"Small bottle 0.5L",3,"","Bottle water 20L","","Cucumber, green bean germ, latuce, cabac, carot...",4,,"",,"","uuid:2b95d0bd-db67-4b23-bc5d-da376a085540",,-1,"4035",0,"01_1232"
"4218",0,,,,,"","","Rainy season",3,"",2,"",3,"",3,"",2,"",3,"","Filter","Filter","Cucumber papayas long been vegetables",5,,"3 toilet in their house",,"","uuid:65ff1e85-f1a8-455f-a39d-5298ac4526ea",,-1,"4218",0,"01_1233"
"4213",0,,,,,"","Don't have open drains","Rainy season",3,"",3,"",3,"",3,"",3,"",3,"","Small Bottle water","","Cucumber vegetables egg plant",4,,"",,"","uuid:34905fa4-4a24-4bd7-8c83-39d8c8bb63f6",,-1,"4213",0,"01_1234"
"4006a",0,,,,,"","Don't have open. Drains","Rainy season",3,"",3,"",3,"",3,"",3,"",3,"","Filter","Filter","Cucumber latuice vegetables",4,,"",,"","uuid:033aec1b-75f3-4091-a046-4126c01ccad4",,-1,"4006a",0,"01_1235"
"4007a",0,,,,,"","Don't have drains","Rainy season",2,"",3,"",3,"",,"",,"",,"","Small bottle water","Boil","Cucumber latuice cabbage",4,,"",,"","uuid:92da0600-88bd-4e6f-9760-aba0a922de71",,-1,"4007a",0,"01_1236"
"4008a",0,,,,,"","Don't have open drains","Rainy season",3,"",2,"",3,"",3,"",2,"",1,"","Boil and filter","Boil and filter","All of vegetables",5,,"",,"","uuid:2509b8fb-eba8-4533-9094-5265f63c69bb",,-1,"4008a",0,"01_1237"
