"h_sex","h_bw_source","h_bw_source_other","meta.instanceID","X_tags","X_notes","h_UID"
1,2,,"uuid:f04654a8-1817-459d-85cb-4c44c1d0d708",,,"09_1127"
1,1,,"uuid:de503f9b-5097-4adb-86d4-f51ce370e52d",,,"09_1128"
1,1,,"uuid:1945d96c-99be-4d95-91de-d9619c15f371",,,"09_1129"
2,1,,"uuid:cda24397-69fb-4e31-95ad-f217bcdeb476",,,"09_1130"
1,1,,"uuid:f245147e-44c2-425d-90e3-d9340070cf84",,,"09_1131"
1,1,,"uuid:9e1fbd56-8742-4ecf-b49d-4c8ceec87cb9",,,"09_1132"
1,1,,"uuid:88a576c7-e852-4214-929a-036e23c2e11f",,,"09_1133"
1,2,,"uuid:b945eeb5-6314-498c-bd66-ed70b2e30146",,,"09_1134"
1,2,,"uuid:0c5b06d8-f2e8-4825-96e8-3927c90f88cf",,,"09_1135"
1,2,,"uuid:3c930888-44d1-437b-a779-dfaf778beb0f",,,"09_1136"
1,2,,"uuid:c1dfe50b-0e71-4d6c-a3ec-b9641b11fee4",,,"09_1137"
2,2,,"uuid:5bd857a3-4f52-48f5-8052-92f521ad9714",,,"09_1138"
1,2,,"uuid:a69a29ae-06a0-4ef4-ba92-a69c7a7c1c0e",,,"09_1139"
1,2,,"uuid:5e3555aa-e9b7-48c0-89c9-9ed97c182b2e",,,"09_1140"
2,2,,"uuid:e20472b9-8e2c-4537-a56e-7e6c496807aa",,,"09_1141"
2,2,,"uuid:26d3de2f-9c91-4c62-995f-fa6c13cc7ac1",,,"09_1142"
2,2,,"uuid:63086c4b-3ad6-4ac9-ac91-6958e6c2f724",,,"09_1143"
1,2,,"uuid:0a5464f2-9318-4680-90c4-42a089618b79",,,"09_1144"
1,2,,"uuid:59a7de17-3377-491c-84d5-384823119267",,,"09_1145"
1,2,,"uuid:5354b9bb-15f6-4908-9829-d55c14ef8f4a",,,"09_1146"
1,2,,"uuid:049291e1-e813-424b-ab5c-e706d0162340",,,"09_1147"
1,2,,"uuid:f78055ea-72d7-4531-8147-6e7a32ff9935",,,"09_1148"
1,2,,"uuid:b0466468-0b2b-4e8d-af05-261a59f8c25b",,,"09_1149"
1,2,,"uuid:4df66e5f-7345-4c6b-ae46-4dd938e6690f",,,"09_1150"
1,2,,"uuid:ba016658-2793-4951-974f-a8fe68619446",,,"09_1151"
1,2,,"uuid:fed55b42-371d-4cce-82ba-53c57c428ed4",,,"09_1152"
1,1,,"uuid:2d7973af-d8c9-45bf-b945-09fde976635c",,,"09_1153"
1,1,,"uuid:26c81314-421d-4de2-97b7-35447f508a25",,,"09_1154"
1,2,,"uuid:4f66b950-cb6b-49ce-aa4b-04b12b372966",,,"09_1155"
1,2,,"uuid:de269f89-cff5-4ad3-8d19-cf804d780db9",,,"09_1156"
1,2,,"uuid:c9ff8e6d-93e2-4703-b935-6688f811eda3",,,"09_1157"
1,2,,"uuid:266a0c27-6df8-44b7-87b7-483d1e5eeb9f",,,"09_1158"
1,2,,"uuid:0e357072-0e67-4fb1-a6cf-6f4bee094e48",,,"09_1159"
1,2,,"uuid:7f647e16-1449-4415-a483-4b91b9b06397",,,"09_1160"
1,2,,"uuid:b5119503-8436-4209-aad9-56fe9742dbae",,,"09_1161"
1,2,,"uuid:7c8a60c2-ad31-41d9-adf7-da213216e614",,,"09_1162"
1,2,,"uuid:d8a60a06-360c-47de-8dec-114a1b2201ae",,,"09_1163"
1,1,,"uuid:ff8943e0-3611-4cc1-9bab-efc997333fad",,,"09_1164"
1,2,,"uuid:8c48be1f-fc12-43c6-a063-91bb9780912a",,,"09_1165"
1,2,,"uuid:0da0ec6d-d952-4113-bf95-6e04208c390a",,,"09_1166"
1,2,,"uuid:3b15d4cb-f7eb-4683-aa8f-6f4d22b65aa9",,,"09_1167"
1,1,,"uuid:f916713a-4b00-42ab-b308-64a689d9c890",,,"09_1168"
1,1,,"uuid:34de9b90-0a4d-47c9-a5ac-64592b35682e",,,"09_1169"
2,1,,"uuid:38348e4e-b385-41fc-abd0-996f1ffeeea6",,,"09_1170"
1,1,,"uuid:ff7a5fd3-cb6e-4075-a2df-6f66befe13b8",,,"09_1171"
1,1,,"uuid:7d715711-f66e-4190-a37e-af5243446b2e",,,"09_1172"
1,1,,"uuid:a3cad988-2c93-420b-8495-cf7b636d8334",,,"09_1173"
1,1,,"uuid:55f501bf-b9f5-4d63-92bd-1ba3d6b8980e",,,"09_1174"
1,1,,"uuid:da9d3894-f8c7-4627-8ccd-26b51b92d53d",,,"09_1175"
1,1,,"uuid:de0ef249-f8ae-447a-a795-f5b31c76bd6b",,,"09_1176"
1,1,,"uuid:d5c2db62-3965-401a-ad08-6e8393abef70",,,"09_1177"
2,1,,"uuid:7e4dfb33-43a4-4f26-9e2f-e33e3d1cdd92",,,"09_1178"
1,1,,"uuid:635b7b78-81e7-4e22-9dea-1c1b84269cb9",,,"09_1179"
1,1,,"uuid:1c6548ae-ba50-4c31-b969-7bed0df2459c",,,"09_1180"
1,2,,"uuid:5188c016-4cc9-4d75-b9b6-25d2f340c772",,,"09_1181"
1,2,,"uuid:32fc1c2c-f98b-4639-b85c-57ae30a7e7c3",,,"09_1182"
1,2,,"uuid:79bc63bc-ebb6-4b7d-8d86-759c8ac08502",,,"09_1183"
1,1,,"uuid:7312c68c-c492-4bc2-a385-daa20580cc29",,,"09_1184"
1,2,,"uuid:f796689a-a959-4086-a338-11da60647c9f",,,"09_1185"
1,1,,"uuid:9b94a65d-acb8-4f93-a0a8-41ec475ed2d7",,,"09_1186"
1,1,,"uuid:8b3ace55-85f5-4be1-8411-4c20b32cc5d4",,,"09_1187"
1,1,,"uuid:e235d6fd-268f-4ae9-9b3c-8d6d55c15242",,,"09_1188"
2,1,,"uuid:92720054-bbb9-4b49-ac49-6f073befd673",,,"09_1189"
1,1,,"uuid:2c969530-2878-4437-93ca-780ea5941045",,,"09_1190"
1,1,,"uuid:0387e691-378c-484c-96e4-e9d3be49fea0",,,"09_1191"
1,1,,"uuid:b529a65c-4333-488a-9fcf-2b00ed3d6b01",,,"09_1192"
