"number","formid","form.hh_dd","form.neighbor","X_h_location_latitude","X_h_location_longitude","X_h_location_altitude","X_h_location_precision","form.hh_gps_device","form.hh_gps_id","form.hh_waypoint","form.hh_q17d","form.hh_q17d_other","form.hh_q18","username","caseid","case_name","h_f_weekly","h_UID"
455,"0075785f-4218-4f12-aa0c-3e7aeb3f01fe","2016-06-17 10:41:00","Adabraka","5.56021811","-0.21560503","28.0","24.0","Yes","SP5",51216,7,,"2","maggrey",,,0,"03_0455"
456,"028aadd0-12bb-436a-be98-2ce8e1742c72","2016-06-09 12:12:00","Adabraka","5.564099957976502","-0.21392907447038148","66.94","8.0","Yes","SP1",41211,9,,"3","maggrey",,,0,"03_0456"
457,"017de3c1-dd64-459d-8c29-114bab955620","2016-06-20 12:00:00","Adabraka","5.56294203","-0.2153004","42.0","21.0","Yes","sp3",12215,7,,"2","ethel",,,0,"03_0457"
458,"0d3746c5-7e89-4f6c-ae70-73ff7b143a5e","2016-04-20 14:28:00","Shiabu","5.6083483","-0.2058431","0.0","20.0","Yes","iu",23,1,,"1 5","test_2",,,0,"03_0458"
459,"0d8d5492-183b-4705-bf2b-efa222756625","2016-04-25 12:35:00","Chorkor","5.525726033083989","-0.25072570985202985","18.87","4.0","Yes","sp8",323,1,,"3","slaryea",,,0,"03_0459"
460,"0de66dc3-9b98-4010-8544-2366a8f5b443","2016-07-18 10:41:00","Kokomlemle","5.57204187","-0.21138563","39.0","5.0","Yes","SP10",71412,1,,"3","famponsah",,,0,"03_0460"
461,"07784b99-cd4d-4d5d-b381-c616fc623d30","2016-07-20 10:46:00","Kokomlemle","5.57722444","-0.21313407","62.0","15.0","Yes","SP4",41422,7,,"2","maggrey",,,0,"03_0461"
462,"07a29bbd-1870-4d83-8f5a-9db6053bfd95","2016-04-28 10:36:00","Chorkor","5.53072277","-0.24558146","64.0","5.0","Yes","sp7",1221,7,,"3","ethel",,,0,"03_0462"
463,"0712f817-db6c-4d55-8c41-cdd16f5b43f5","2016-04-26 11:32:00","Chorkor","5.52648157","-0.2491382","19.0","4.0","Yes","SP2",6211,1,,"3","iselby",,,0,"03_0463"
464,"1164f5d9-52c7-4ba8-8d41-15e4aa9a2731","2016-03-23 11:27:00","Shiabu","5.5310065","-0.2530107","0.0","1568.0","Yes","0613",613,4,,"3","test",,,0,"03_0464"
465,"1b1f4bb5-761c-4f5a-a7ec-5109d25a3ed5","2016-04-25 12:17:00","Chorkor","5.52498646","-0.24499035","45.0","4.0","Yes","sp7",123,6,,"5","ethel",,,0,"03_0465"
466,"12cff70b-be79-47d0-9e68-737c82920b75","2016-07-01 08:23:00","Ringway","5.56783832","-0.18545648","43.0","7.0","Yes","SP1",4131,7,,"1","maggrey",,,0,"03_0466"
467,"1be14f6b-16a3-4c4c-9f76-dce50abef7f8","2016-07-06 09:51:00","Ringway","5.56353497","-0.18448132","71.0","5.0","Yes","SP10",71315,7,,"2","famponsah",,,0,"03_0467"
469,"1d0b9515-471e-4a4c-83fa-84a7f25a6734","2016-03-21 10:57:00","Shiabu",,,,,"No",,,3,,"3","test",,,0,"03_0469"
470,"1d2b0cef-e31b-4f39-acbb-bbfbb4d96237","2016-04-26 11:01:00","Chorkor",,,,,"Yes","sp3",8110,7,,"2","annabel",,,0,"03_0470"
471,"1de31180-abd0-400f-9a3a-945785d735a3","2016-06-08 11:49:00","Adabraka","5.56303527","-0.21206339","43.0","4.0","No",,,7,,"1","iselby",,,0,"03_0471"
472,"1eee313e-172e-4d28-8036-700f95a7cc8a","2016-03-23 11:55:00","Shiabu","5.52942891","-0.25664706","45.0","5.0","Yes","0615",615,7,,"3","test",,,0,"03_0472"
473,"1fe8554b-63fc-404d-b562-c2058c4c99a3","2016-03-21 12:26:00","Shiabu","5.52262042","-0.25879867","31.0","5.0","No",,,1,,"3","test",,,0,"03_0473"
474,"17f4f542-b97e-4347-aed4-83ebc93cc029","2016-03-23 11:24:00","Shiabu","5.5310065","-0.2530107","0.0","1568.0","Yes","0517",5417,7,,"3","test",,,0,"03_0474"
475,"16c01b76-4b1a-4bff-9b7b-77e140bc4c55","2016-07-08 10:46:00","Ringway","5.55468944","-0.18702696","28.0","7.0","Yes","SP4",51304,7,,"1","ethel",,,0,"03_0475"
476,"e3723175-a347-4d34-918d-d6718de259db","2016-04-25 13:46:00","Chorkor","5.52600573","-0.23764809","-19.0","13.0","Yes","SP5",516,1,,"3","reginald",,,0,"03_0476"
478,"e3ccd532-53bc-4898-94fc-864a5cfeb196","2016-07-01 09:25:00","Ringway","5.56637376","-0.18666639","72.0","5.0","Yes","SP10",71303,7,,"2 3","famponsah",,,0,"03_0478"
479,"e4a3ee1c-108b-4382-8f3f-015b69a64de3","2016-04-28 10:47:00","Chorkor","5.53071846","-0.24648581","43.0","4.0","Yes","sp7",1222,1,,"3","ethel",,,0,"03_0479"
480,"e0b313ce-68c3-4f6f-b9b4-adc67e3d6fbf","2016-03-24 11:45:00","Shiabu","5.53497542","-0.25749579","42.0","5.0","Yes","0324",324,2,,"3","test",,,0,"03_0480"
481,"e8f59292-72d3-4ada-88a8-17b5e4c6afee","2016-04-28 11:15:00","Chorkor",,,,,"Yes","sp3",8125,7,,"3","annabel",,,0,"03_0481"
482,"e9a90248-a81f-4c92-bcbc-a246376e7996","2016-04-22 10:05:00","Chorkor","5.6083879","-0.2058092","0.0","27.0","Yes","SP12",143,7,,"2 4","test_2",,,0,"03_0482"
483,"d7857578-80e9-47c2-b219-e5e647ddcd1b","2016-06-20 12:04:00","Adabraka","5.55665093","-0.21631674","43.0","17.0","Yes","SP5",51231,7,,"3","reginald",,,0,"03_0483"
484,"d5a56ca9-08f2-49ef-ac95-69f964240cee","2016-04-25 13:00:00","Chorkor","5.52651127","-0.24465354","50.0","5.0","Yes","SP2",624,1,,"2 3","iselby",,,0,"03_0484"
485,"dc38d442-c9f6-42f9-9c9d-56064dbeb7ab","2016-06-09 13:14:00","Adabraka","5.56457994","-0.21358905","45.0","4.0","Yes","SP10",71211,7,,"3","famponsah",,,0,"03_0485"
486,"ceb04fd9-9cce-4368-b5c5-fc825087cb76","2016-06-09 12:50:00","Adabraka","5.567246525848131","-0.21330208220048769","28.22","6.0","Yes","sp8",32212,7,,"2 3","slaryea",,,0,"03_0486"
487,"ef34591d-cf03-454e-a10f-2f75090b2ef4","2016-04-26 12:23:00","Chorkor","5.52642249","-0.25104519","18.0","8.0","Yes","SP2",6213,1,,"3","iselby",,,0,"03_0487"
488,"ef150e4b-fb38-47c5-99f6-778d8295b3d4","2016-04-28 11:09:00","Chorkor","5.53025814","-0.2485988","50.0","5.0","Yes","sp7",1224,1,,"3","ethel",,,0,"03_0488"
489,"ed8b0e75-f973-43c6-8d03-1cc621f6f3a2","2016-03-24 10:49:00","Shiabu","5.53469873","-0.25831449","38.0","9.0","Yes","0319",319,7,,"3","test",,,0,"03_0489"
490,"f0b8dbc4-0307-4cbd-896a-ea4334f9dd5c","2016-03-23 11:20:00","Shiabu","5.53046102","-0.255209","21.0","4.0","Yes","0312",312,7,,"3","test",,,0,"03_0490"
491,"f0f8d3b7-891b-494f-93d6-a21e9240da67","2016-07-21 10:55:00","Kokomlemle","5.57643444","-0.2152036","36.0","27.0","Yes","SP4",41430,7,,"2","maggrey",,,0,"03_0491"
