"col_gps_device","col_gps_device_id","col_gps_device_wp","col_gps_device_lat","col_gps_device_lon","col_ws_group","col_ws_container","col_ws_container_lid","col_b_group","col_b_source","col_b_source_other","col_b_container","col_b_container_lid","col_ww_group","col_ww_source","col_ww_source_other","col_ww_container","col_ww_container_lid","col_i_group","col_i_container","col_i_container_lid","meta.instanceID","X_parent_table_name","X_parent_index","col_p_type_ch","col_UID"
0,,,,,,,,,1,"",1,1,,,,,,,,,"uuid:d5258556-32ab-408d-b123-32d375981996",,-1,"","01_33_1055"
0,,,,,,,,,2,"",1,1,,,,,,,,,"uuid:a5032d47-1004-4d96-a629-d0ed05b1d4ba",,-1,"","01_33_1056"
0,,,,,,,,,1,"",1,1,,,,,,,,,"uuid:f697a61f-53c1-486a-ac29-458a66c25d6c",,-1,"","01_33_1057"
0,,,,,,,,,2,"",1,1,,,,,,,,,"uuid:b0599d1b-ea6c-43f3-80e6-90569998016d",,-1,"","01_33_1058"
0,,,,,,,,,1,"",1,1,,,,,,,,,"uuid:4fe6f6bb-b4b3-4b66-92b7-55d9c4d3bdd7",,-1,"","01_33_1059"
0,,,,,,,,,2,"",1,1,,,,,,,,,"uuid:389034be-7ffc-46c5-813e-dd5bd95e7811",,-1,"","01_33_1060"
0,,,,,,,,,1,"",1,1,,,,,,,,,"uuid:419d0e8b-e52e-439f-9614-a1c4dcd17b50",,-1,"","01_33_1061"
0,,,,,,,,,2,"",1,1,,,,,,,,,"uuid:25c103f2-bc07-4858-b76b-3339d93ec1f3",,-1,"","01_33_1062"
0,,,,,,,,,2,"",1,1,,,,,,,,,"uuid:25577448-cb29-4584-94d4-62122f4ac057",,-1,"","01_33_1063"
0,,,,,,,,,1,"",1,1,,,,,,,,,"uuid:2b9ef087-20b5-477a-aab9-315d3a54d073",,-1,"","01_33_1064"
0,,,,,,,,,2,"",1,1,,,,,,,,,"uuid:643891c3-5396-43dd-bd88-6e5719425695",,-1,"","01_33_1065"
0,,,,,,,,,1,"",1,1,,,,,,,,,"uuid:3fb95c56-540b-4a0d-a258-229fe47bb9c4",,-1,"","01_33_1066"
0,,,,,,,,,1,"",1,1,,,,,,,,,"uuid:3e1d25f6-da06-4750-8966-8aa858b31754",,-1,"","01_33_1067"
0,,,,,,,,,2,"",1,1,,,,,,,,,"uuid:81b7d362-511e-47e5-95c5-4db7631153e0",,-1,"","01_33_1068"
0,,,,,,,,,1,"",1,1,,,,,,,,,"uuid:cac681d3-4498-4a33-9afb-c1c48d13c2c2",,-1,"","01_33_1069"
0,,,,,,,,,1,"",1,1,,,,,,,,,"uuid:f65bc13f-08e4-43e3-b4a3-05229ac71d59",,-1,"","01_33_1070"
0,,,,,,,,,2,"",1,1,,,,,,,,,"uuid:917bf881-5685-40eb-a1e1-b2712cb458e3",,-1,"","01_33_1071"
0,,,,,,,,,1,"",1,1,,,,,,,,,"uuid:72438127-1b44-49db-922c-194bf9e30deb",,-1,"","01_33_1072"
0,,,,,,,,,1,"",1,1,,,,,,,,,"uuid:92ecf1b5-c63e-427a-bd6d-f0994435aa29",,-1,"","01_33_1073"
0,,,,,,,,,1,"",1,1,,,,,,,,,"uuid:a21b5444-1261-4ba2-b70f-603bb67b459f",,-1,"","01_33_1074"
