"h_dw_b.1","h_dw_b.2","h_dw_b.3","h_dw_b.4","h_dw_b.5","h_dw_b_other","h_dw_specific","h_dw_d.1","h_dw_d.2","h_dw_d.3","h_dw_d.4","h_dw_d.5","h_dw_d_other","h_dw_cspecific","meta.instanceID","X_tags","X_notes","h_UID"
"True","False","False","False","False",,"Choice, camela","True","False","False","False","False",,"Choice, camela","uuid:4013418a-4194-4034-94fc-5139dd911518",,,"07_1053"
"True","False","False","False","False",,"Cool","True","False","False","False","False",,"Cool","uuid:0f39407e-b7ab-4a50-ac8d-b034c62c888c",,,"07_1054"
"True","False","False","False","False",,"Cool","True","False","False","False","False",,"Cool","uuid:6bd93d8c-f3d5-436b-8d6f-3024e85efab2",,,"07_1055"
"True","False","False","False","False",,"Cool","True","False","False","False","False",,"Cool","uuid:79f5eefa-2930-4d93-bc7d-bb0e29db38b3",,,"07_1056"
"True","False","False","False","False",,"Cool and pasky","True","False","False","False","False",,"Cool and pasky","uuid:6f8c5638-bb20-47c9-8adb-549b9f2999fb",,,"07_1057"
"True","False","False","False","False",,"Cool and Agyemang","True","False","False","False","False",,"Cool and Agyemang","uuid:c9cf5d88-2c1e-4c91-8ebe-c5b8c0ebf19c",,,"07_1058"
"True","False","False","False","False",,"Cool","True","False","False","False","False",,"Cool","uuid:343165b2-1f67-40df-be6c-06cb33990036",,,"07_1059"
"True","False","False","False","False",,"Everpure, century","True","False","False","False","False",,"Everpure, century","uuid:e903eb62-cfd3-4535-b0be-54d51e4e5590",,,"07_1060"
"True","False","False","False","False",,"Cool","True","False","False","False","False",,"Cool","uuid:feee9b1b-243a-453a-b7dd-fbe27359f34c",,,"07_1061"
"True","False","False","False","False",,"Agyemang, cool, pasky","True","False","False","False","False",,"Agyemang, cool, pasky","uuid:30f72cf4-1d4e-4627-be6d-3d8f2bfc4779",,,"07_1062"
"True","False","False","False","False",,"Spring falls water","True","False","False","False","False",,"Spring falls water","uuid:7b509a53-5d24-4e53-b57f-4c9b6d9c7dc5",,,"07_1063"
"True","False","False","False","False",,"Special and cool","True","False","False","False","False",,"Special and cool mineral water","uuid:87e598d2-7400-475a-903d-02033d4ac61a",,,"07_1064"
