"col_f_type","col_p_wash","col_odw_type","col_odw_container","col_odw_container_lid","col_odw_id","col_odw_cl_free","col_odw_cl_total","col_l_toilet_pubshare","col_l_toilet_hhs","meta.instanceID","X_tags","X_notes","col_UID"
1,,,,,,,,,,"uuid:551e5722-dc0d-48ec-93d9-d5937a483dcb",,,"04_06_1166"
,,,,,,,,,,"uuid:b7474e69-f488-44f1-83da-80ec5ab4013d",,,"04_08_1162"
,,,,,,,,,,"uuid:797f2d8b-0892-4216-bb8c-083d7c4ded90",,,"04_10_1164"
,0,,,,,,,,,"uuid:a6c178e3-970c-4e39-af55-0b78a909990a",,,"04_02_1165"
,,,,,,,,,,"uuid:ab7934c3-0a71-4aa1-9943-4de9a12e3e42",,,"04_01_1158"
2,,,,,,,,,,"uuid:90085148-1e88-489b-92ed-9c9ad0e64dbd",,,"04_06_1161"
,0,,,,,,,,,"uuid:d23de739-a254-4860-9253-ae8dc161a23e",,,"04_02_1160"
,,2,0,,0,,,,,"uuid:77443a0a-aafe-4928-ad11-f008d326f690",,,"04_33_1119"
,,,,,,,,,,"uuid:3b86041f-06a7-4332-90b6-666abb9c0bff",,,"04_10_1159"
,,,,,,,,,,"uuid:db04eaab-289c-4535-84c2-a390df803974",,,"04_08_1157"
2,,,,,,,,,,"uuid:09c16fa0-e68b-4219-b01d-7b2e1b5cad80",,,"04_06_1171"
,,,,,,,,,,"uuid:42847237-df4f-4592-9d48-97737376fa11",,,"04_10_1169"
,,,,,,,,,,"uuid:087767a2-4751-43f7-bfb5-1342e40e4686",,,"04_01_1168"
,0,,,,,,,,,"uuid:deb2acb0-5d4b-41fb-aa96-2227ea5e7dc2",,,"04_02_1170"
,,,,,,,,,,"uuid:55a0d95b-24b1-412b-a562-1e888e5d0a4c",,,"04_08_1167"
,0,,,,,,,,,"uuid:cbaa3000-11e4-4b91-a0e3-70b658d3745d",,,"04_02_1175"
,,,,,,,,2,3,"uuid:dda630e2-9a64-43bc-af8e-c8ce1932827f",,,"04_07_1177"
,,,,,,,,1,,"uuid:d993c94c-7f90-478c-ad00-0b10c99115a0",,,"04_07_1178"
1,,,,,,,,,,"uuid:2923045f-142d-40ca-8daf-af45b9c7d12f",,,"04_06_1182"
,,,,,,,,,,"uuid:52c64968-59cc-4d18-83d4-a3288f84f9a6",,,"04_01_1180"
,,,,,,,,2,6,"uuid:81267195-c763-4590-8c38-d071ef34fcbd",,,"04_07_1183"
,0,,,,,,,,,"uuid:e277bc64-61e3-43c9-871f-5d889f61603f",,,"04_02_1181"
,,,,,,,,,,"uuid:1711d597-6c60-4a3d-b754-4736c6b0c7ff",,,"04_08_1179"
,,,,,,,,1,,"uuid:7daa5427-2e18-4a2d-b32c-c4bdfbd7d56f",,,"04_07_1184"
,,,,,,,,,,"uuid:871948ab-1a5f-4499-b3bb-e517b307c436",,,"04_01_1173"
2,,,,,,,,,,"uuid:ccad8262-b1a4-4f09-9dc8-deb904774a39",,,"04_06_1176"
,,,,,,,,,,"uuid:7b9668e2-1c63-430d-a44e-bc81519cd4c0",,,"04_10_1174"
,,,,,,,,,,"uuid:f2d2d2ff-edd4-4737-89bb-d601f0e54462",,,"04_08_1172"
