"number","formid","form.drain_replicate","form.ec_sd","form.ec_st","form.ec_isd","form.ec_ist","form.ec_ied","form.ec_iet","form.dilution_error_1","form.dilution_error_2","form.ec_blank","username","received_on","caseid","case_name","lab_UID"
38,"bf7bd691-e2c5-4b84-a54e-cdec95a9cb6e",,"2016-05-04","13:00:00.000Z","2016-05-04","15:00:00.000Z","2016-05-05","15:00:00.000Z",,,0,"ayeboah","2016-05-05 15:30:13",,,"03_03_0122"
39,"bfd6ef21-77d7-4387-80ce-e39605da4e3e","A","2016-06-15","13:00:00.000Z","2016-06-15","14:00:00.000Z","2016-06-16","14:00:00.000Z",,,0,"laadomako","2016-06-16 15:58:35",,,"03_01_0329"
40,"c0ca5ddc-7d42-4b4a-9335-7ef6c48a299b","N","2016-06-14","13:00:00.000Z","2016-06-14","14:30:00.000Z","2016-06-15","15:00:00.000Z",,,0,"ayeboah","2016-06-15 18:03:39",,,"03_01_0300"
41,"c30c0934-653a-4105-8efc-fb71ab8653cd",,"2016-03-29","12:30:00.000Z","2016-03-29","15:00:00.000Z","2016-03-30","14:00:00.000Z",,,0,"sborbor","2016-05-16 14:59:51",,,"03_08_0855"
42,"c366f136-6252-4f7a-958f-7997506a7408",,"2016-03-29","12:30:00.000Z","2016-03-29","15:00:00.000Z","2016-03-30","14:30:00.000Z",,,0,"test","2016-04-01 10:25:03",,,"03_08_0844"
43,"ba812e37-b8c0-4cde-8d8f-cb39a3ec207c","N","2016-06-13","14:30:00.000Z","2016-06-13","17:30:00.000Z","2016-06-14","15:00:00.000Z",,,0,"laadomako","2016-06-15 15:02:47",,,"03_01_0347"
44,"74f7dd1c-7168-4fce-b88d-4d69ed5c576c",,"2016-04-28","12:00:00.000Z","2016-04-28","14:00:00.000Z","2016-04-29","13:00:00.000Z",,,0,"sborbor","2016-05-03 14:13:53",,,"03_07_0776"
45,"76b6bf9d-d00c-4c49-b77e-e3d19d2b17c0",,"2016-06-10","13:00:00.000Z","2016-06-10","14:30:00.000Z","2016-06-11","14:00:00.000Z",,,0,"ayeboah","2016-06-14 08:05:30",,,"03_08_0312"
46,"79a2a1a7-a70f-4924-90c7-6c4b8429c31c",,"2016-04-27","14:00:00.000Z","2016-04-27","16:00:00.000Z","2016-04-28","16:00:00.000Z",,,0,"sborbor","2016-05-03 12:45:04",,,"03_07_0738"
47,"7a6165a1-f789-4ba9-b72d-49ea037f1da9",,"2016-04-21","13:00:00.000Z","2016-04-21","15:00:00.000Z","2016-04-22","15:00:00.000Z",,,0,"sborbor","2016-05-03 12:41:56",,,"03_02_0688"
