"h_bw_source","h_bw_source_other","h_bw_source_na","meta.instanceID","X_tags","X_notes","h_UID"
2,,,"uuid:a4869d40-5535-4fd8-854e-1055c5d91e5c",,,"13_1119"
2,,,"uuid:1a097dd2-2e8f-4ac3-947a-b87f8e49a6fc",,,"13_1120"
2,,,"uuid:f6deb34d-f918-44e3-b310-5bf190a7174d",,,"13_1121"
2,,,"uuid:8e4e0fc2-d06a-4c23-8484-52fa853101f7",,,"13_1122"
1,,,"uuid:2c179147-b1dd-4e5c-b997-9a85f0f2e3e6",,,"13_1123"
2,,,"uuid:ea109261-b3f8-4a77-b392-cf80d5df1866",,,"13_1124"
2,,,"uuid:4c8c2707-5db9-4985-bea7-feb94898b14b",,,"13_1125"
2,,,"uuid:519fba81-3709-4c82-bffb-e86de4d81fb8",,,"13_1126"
2,,,"uuid:94ef359f-be68-413f-9013-24da22fd0109",,,"13_1127"
2,,,"uuid:e3f13a6c-779b-4b2f-ac0c-5a43bf16dff7",,,"13_1128"
2,,,"uuid:4839411b-64ff-4a99-b251-c97fdee69100",,,"13_1129"
2,,,"uuid:bf39bbd8-3c6d-43ab-9c18-7d71254a54fd",,,"13_1130"
2,,,"uuid:44dc7c3a-a2d2-4b4e-9311-83242c1e7e73",,,"13_1131"
2,,,"uuid:07545880-156f-4d82-9e85-3f59facd4d68",,,"13_1132"
2,,,"uuid:d7172490-793d-49d0-8db8-7711a8266de4",,,"13_1133"
2,,,"uuid:974db923-1a9b-4f81-bf6d-e5d1c9f14baa",,,"13_1134"
2,,,"uuid:2b447cb8-96a9-411e-8446-217943b1235a",,,"13_1135"
2,,,"uuid:5a9e0f9a-e053-44c9-852c-773f577c14e8",,,"13_1136"
2,,,"uuid:a2716eec-59f6-47b9-b0d8-634064dd71d8",,,"13_1137"
2,,,"uuid:df113808-c9a3-4b38-bb89-4e8de7eef92e",,,"13_1138"
1,,,"uuid:bc5a582f-8e8d-4a2d-ad8d-664d4744a929",,,"13_1139"
2,,,"uuid:ebcff2cd-7366-4499-8fe2-d905fd3117d5",,,"13_1140"
2,,,"uuid:c3f587f9-2422-47cd-a346-e9905311ccac",,,"13_1141"
2,,,"uuid:26604cc6-ffdb-414e-9694-1e142e8a537b",,,"13_1142"
2,,,"uuid:e420a947-84b2-4ae7-a6f9-11ff8c052ee9",,,"13_1143"
1,,,"uuid:e5b0a1f3-ff4b-417e-b7e9-a835980effbb",,,"13_1144"
2,,,"uuid:e2225952-0632-499c-8964-a87af4f71783",,,"13_1145"
2,,,"uuid:3d1a6883-082b-4f49-9c80-39df265b2f9f",,,"13_1146"
2,,,"uuid:d22f91b2-f39c-41bb-91a5-d9bf7a2111cc",,,"13_1147"
2,,,"uuid:2a045b18-60f9-40b1-803a-e4cf6f04e120",,,"13_1148"
2,,,"uuid:17b86cc8-5a10-4f12-ab3e-07dd2a21b5e8",,,"13_1149"
2,,,"uuid:c78bed9a-d0d2-40c7-a2e2-7b4c9f591001",,,"13_1150"
1,,,"uuid:0c8240bf-50d0-4e7f-b7f1-8b61aaabb6fa",,,"13_1151"
2,,,"uuid:14e1fa95-3f04-4e3b-9214-b549c1d62665",,,"13_1152"
2,,,"uuid:2341cc5a-7df3-40a5-ab7c-031ee897c44c",,,"13_1153"
2,,,"uuid:4b89370f-3c28-4d56-8ba5-2ed2727f105a",,,"13_1154"
2,,,"uuid:f4be32c7-8c8d-4a5c-85d3-96fa11326850",,,"13_1155"
2,,,"uuid:7602a9b8-816a-4e63-bfd8-522add5098da",,,"13_1156"
2,,,"uuid:428266f4-ea4d-415c-abf7-5be052093684",,,"13_1157"
2,,,"uuid:953b5cb8-2f2c-4981-a20d-5a3135b2cb8c",,,"13_1158"
2,,,"uuid:cd1f2b5d-b1c8-4464-9843-e242812037fc",,,"13_1159"
1,,,"uuid:c17173e0-2ae4-4051-83dd-852b1f603e35",,,"13_1160"
2,,,"uuid:e3356ad6-d052-420b-9943-9b92bc96949d",,,"13_1161"
2,,,"uuid:d55fd100-a40a-4082-b68d-aaf96158e676",,,"13_1162"
2,,,"uuid:f1efdb3a-e590-49d3-98b6-7f9a7b49bb4e",,,"13_1163"
1,,,"uuid:3d1a9c46-e1c8-4caf-b9ba-36f26f9cc706",,,"13_1164"
2,,,"uuid:c87cc846-31f3-4974-a2da-1b325ba3a3fd",,,"13_1165"
2,,,"uuid:d3cb811e-1a98-453d-892e-abe2332b9c2c",,,"13_1166"
2,,,"uuid:687a0b6a-b4e5-4334-9e55-9f7fccdb298c",,,"13_1167"
2,,,"uuid:485ebfbf-4741-4ff0-8e61-c48fa94280cb",,,"13_1168"
2,,,"uuid:695eeb4f-4f71-4558-a5f7-fe9865c19ea6",,,"13_1169"
2,,,"uuid:f828d311-5210-47cc-bc36-c543b55c7a2c",,,"13_1170"
2,,,"uuid:8d5dd4db-3f7b-4938-b2d2-56d8cb0811a2",,,"13_1171"
2,,,"uuid:10ca7e38-c601-431d-a5e1-eaed0409fb2f",,,"13_1172"
2,,,"uuid:db600f17-9629-42bc-9903-7dfd29153900",,,"13_1173"
2,,,"uuid:1b69bb6a-dcf1-4413-9e9b-2a5c028f356d",,,"13_1174"
2,,,"uuid:53fe4a71-ac2d-4cbf-aeff-e3a8db24feab",,,"13_1175"
2,,,"uuid:7c399710-c741-4abc-a351-f2dac15863b7",,,"13_1176"
2,,,"uuid:6a606af9-9a2e-4660-91a6-d585f809b700",,,"13_1177"
2,,,"uuid:585e1d7d-4369-48f1-8ba7-91fac9801e49",,,"13_1178"
1,,,"uuid:7ec63e36-555e-42e2-a503-397499898eec",,,"13_1179"
2,,,"uuid:ac696e46-07e2-4b28-856d-085c1e3e9bcb",,,"13_1180"
2,,,"uuid:15bf3f0a-ab2e-4ba9-ae37-b5d493553617",,,"13_1181"
2,,,"uuid:257f8ff3-ae02-4440-a915-74c0e919b816",,,"13_1182"
1,,,"uuid:f4b15a12-cad0-4776-9d5e-8b483934de5a",,,"13_1183"
1,,,"uuid:82363066-bdf1-434b-9ba6-a4a681688420",,,"13_1184"
1,,,"uuid:5b3734ce-de96-4f90-ac2f-79cf5f438681",,,"13_1185"
1,,,"uuid:0de0da1b-58f9-472a-b97e-5b2d064ea6ff",,,"13_1186"
2,,,"uuid:962ff257-358c-487a-bf94-47f26c81cb32",,,"13_1187"
1,,,"uuid:263ce94d-4f86-4b32-8dc6-c8ff2af9cdb8",,,"13_1188"
2,,,"uuid:9da1fedb-2bcb-4c0f-bb6d-09d7fbbe2705",,,"13_1189"
2,,,"uuid:48dceddb-4009-4e2e-b01a-f3b7e7fa960c",,,"13_1190"
2,,,"uuid:a74b5a35-6c30-489a-9dbe-d97f041ac77c",,,"13_1191"
2,,,"uuid:5b1d96d3-51d1-4b4b-ba92-d5c9846fc1fa",,,"13_1192"
2,,,"uuid:fc8b5998-dbc4-4f48-998c-0e75e0e69ce1",,,"13_1193"
2,,,"uuid:2ca5d366-f6eb-4c0c-92da-206d1147b5bd",,,"13_1194"
2,,,"uuid:238a7fff-1802-43e0-80da-a3b144739d2f",,,"13_1195"
2,,,"uuid:0287aa01-3512-44cd-9f9c-1998a0279072",,,"13_1196"
1,,,"uuid:1da3e66f-4e26-4071-b251-dfbbffe42dc1",,,"13_1197"
1,,,"uuid:db38f7ae-d553-4d6f-bc58-a0bfda1d54b1",,,"13_1198"
2,,,"uuid:3620efb4-5cc9-4d88-8684-e2d3d65fcf57",,,"13_1199"
1,,,"uuid:bf87e188-9339-4f75-940e-6663c2d12c58",,,"13_1200"
1,,,"uuid:2bb6824f-4354-479f-9a76-5e5ebe21d3ec",,,"13_1201"
1,,,"uuid:59c3a0a0-6732-48d7-aed8-0efc119e947a",,,"13_1202"
3,,,"uuid:82dcc44f-19d7-4fae-afc7-5920b4723614",,,"13_1203"
3,,,"uuid:79f3eedc-cbe7-46aa-805c-9cc6aeb6f5e3",,,"13_1204"
1,,,"uuid:c1394e2a-b957-4df3-b667-930695b7cf04",,,"13_1205"
1,,,"uuid:fc0f9f1c-44cd-4a9b-91c5-0c3258e1390c",,,"13_1206"
1,,,"uuid:8c448ff5-ddfc-461a-812b-dc921d850988",,,"13_1207"
1,,,"uuid:d4f1c9f7-62a7-4066-924f-e40dd6ff2212",,,"13_1208"
1,,,"uuid:48d74f98-3a8d-4225-8852-4193db4e39e0",,,"13_1209"
1,,,"uuid:b2b0d798-690e-4aaf-a107-a03ebc2b0a97",,,"13_1210"
1,,,"uuid:1248f4c4-3667-4e21-9c86-aa5230dc7f34",,,"13_1211"
1,,,"uuid:3e4da478-3175-46cf-86ca-4c8a8e453ceb",,,"13_1212"
3,,,"uuid:1ecec02e-86c0-40d7-830f-774882c4b067",,,"13_1213"
1,,,"uuid:39c58bd5-81b9-4c89-90ca-3b70603ff2a0",,,"13_1214"
1,,,"uuid:942fd16a-b0bf-4b8c-9d2b-9511cdbe1807",,,"13_1215"
1,,,"uuid:ae005bb5-ee95-4ff1-98a6-f9543174de4b",,,"13_1216"
3,,,"uuid:b148ee3b-76d0-487a-99f4-5a2b0cb7b98f",,,"13_1217"
1,,,"uuid:7f984498-dd79-4d88-8312-e02ae5a4cf38",,,"13_1218"
1,,,"uuid:9aca841d-f93c-4c6d-944f-a27d3b3e77a7",,,"13_1219"
1,,,"uuid:072afea8-4d96-4b74-97e8-a89fe7f58282",,,"13_1220"
1,,,"uuid:9648b843-ed62-4714-bd8a-4fbf95971b07",,,"13_1221"
1,,,"uuid:6fbc91a3-a431-4f25-ad22-102622e0315d",,,"13_1222"
1,,,"uuid:d52b7baa-cd74-4aac-91e5-2540acc747aa",,,"13_1223"
1,,,"uuid:788e5828-7dd7-4cb0-889d-106429916369",,,"13_1224"
2,,,"uuid:00ac3dcc-5a2f-4b5e-99a0-649ec59147cc",,,"13_1225"
1,,,"uuid:61aec076-4942-484a-972d-da5982e416f0",,,"13_1226"
2,,,"uuid:9c5a1f40-62a3-464f-a3fd-a5e3f1747be4",,,"13_1227"
3,,,"uuid:66d3afb0-dc4f-486a-8870-7f783fc83f12",,,"13_1228"
1,,,"uuid:8689b215-6e44-4e2a-9158-db4688d4cf7d",,,"13_1229"
1,,,"uuid:12a6239d-e728-4bec-af5d-743ed0c5be07",,,"13_1230"
1,,,"uuid:b096695c-ad5b-4839-8ff0-1be1fbff825f",,,"13_1231"
3,,,"uuid:b02b4088-712e-427e-b084-aca3a6555a66",,,"13_1232"
1,,,"uuid:7e2e2071-7b99-4e94-b665-0ed7d4fc592e",,,"13_1233"
1,,,"uuid:3bc04b8d-0545-484f-b952-6a1ab49fb177",,,"13_1234"
2,,,"uuid:67156763-ba9c-4570-ba26-e5896ce2d525",,,"13_1235"
1,,,"uuid:b0e8bf1f-fd20-492f-bbe0-a9ef996aad89",,,"13_1236"
1,,,"uuid:9f865753-ba72-4704-a343-285989e6b9b5",,,"13_1237"
1,,,"uuid:a394a385-523c-4f6e-b953-37965975528c",,,"13_1238"
1,,,"uuid:a16fbbf5-64e9-4a0b-ab13-d480505af315",,,"13_1239"
1,,,"uuid:b2e9c838-4a76-4f99-b446-81fd346b1be0",,,"13_1240"
2,,,"uuid:35de958f-102f-4f56-8a94-93639f891249",,,"13_1241"
1,,,"uuid:9b5441d0-5cfb-4b03-a1a3-29ff766fe57e",,,"13_1242"
1,,,"uuid:e5930a2c-189c-4072-b4d4-1f4e1d748856",,,"13_1243"
1,,,"uuid:5eb72d73-b43e-492e-8844-21cfe1128204",,,"13_1244"
3,,,"uuid:10a4ecfe-bf0a-4394-bcfd-ba8433c8c365",,,"13_1245"
1,,,"uuid:32fa8b65-6c86-4dad-9788-f8cbcba66641",,,"13_1246"
1,,,"uuid:5112e188-b5de-4516-9162-3b56cb45d4b6",,,"13_1247"
2,,,"uuid:d9b2a7ec-8a41-4075-aca6-6f462f6bbc5d",,,"13_1248"
2,,,"uuid:fd61344c-0a8b-46ae-a248-3c13a8c3838c",,,"13_1249"
2,,,"uuid:9000d98c-e388-4f10-b56e-b9d61dd34495",,,"13_1250"
2,,,"uuid:3927ed23-310c-46c8-9b82-c1510c5ecfcd",,,"13_1251"
