"lab_start_dt","lab_sample_type","lab_id","lab_id_val","lab_processing","lab_incubator_placed","lab_incubator_removed","lab_p_weight","lab_sf_weight","lab_pa_weight","lab_1_dil_tested","lab_1_volume","lab_1_ecoli_reading_membrane","lab_1_ecoli_membrane","lab_2_dil_tested","lab_2_volume","lab_2_ecoli_reading_membrane","lab_2_ecoli_membrane","lab_3_dilution_performed","lab_3_dil_tested","lab_3_volume","lab_3_ecoli_reading_membrane","lab_3_ecoli_membrane","lab_notes","lab_enum","lab_photo","lab_end_dt","meta.instanceID","X_uuid","X_submission_time","X_tags","X_notes","lab_analysis","dply_num","lab_UID","lab_date"
"2020-01-04T08:31:18.000-00:00",99,6014,6014,"2019-11-27T08:55:00.000-00:00","2019-11-27T09:00:00.000-00:00","2019-11-28T08:30:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"AMS",0,"2020-01-04T08:34:05.000-00:00","uuid:595270c3-55b9-4cd8-8814-e30eb1a79e5d","595270c3-55b9-4cd8-8814-e30eb1a79e5d","2020-01-06T10:40:45",,,2,12,"12_99_6014",2019-11-27
"2020-01-04T08:34:05.000-00:00",99,6016,6016,"2019-11-27T17:20:00.000-00:00","2019-11-27T17:30:00.000-00:00","2019-11-28T13:10:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"AMS",0,"2020-01-04T08:37:21.000-00:00","uuid:2a8e1cc5-1b7d-412c-ba06-a3e7f1ecccf1","2a8e1cc5-1b7d-412c-ba06-a3e7f1ecccf1","2020-01-06T10:40:45",,,2,12,"12_99_6016",2019-11-27
"2020-01-04T08:37:21.000-00:00",99,6018,6018,"2019-11-27T17:26:00.000-00:00","2019-11-27T17:30:00.000-00:00","2019-11-28T13:10:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"AMS",0,"2020-01-04T08:40:20.000-00:00","uuid:7fb8ce32-7b70-4a4c-8d76-ccb2b8fb5a5c","7fb8ce32-7b70-4a4c-8d76-ccb2b8fb5a5c","2020-01-06T10:40:46",,,2,12,"12_99_6018",2019-11-27
"2020-01-07T11:07:34.000-00:00",99,6021,6021,"2019-12-04T09:20:00.000-00:00","2019-12-04T09:30:00.000-00:00","2019-12-05T07:45:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"KB",0,"2020-01-07T14:44:53.000-00:00","uuid:d9d51fd3-6b79-4bac-93b3-52cfe294f80a","d9d51fd3-6b79-4bac-93b3-52cfe294f80a","2020-01-07T14:45:00",,,2,12,"12_99_6021",2019-12-04
"2020-01-07T14:44:53.000-00:00",99,6022,6022,"2019-12-04T09:22:00.000-00:00","2019-12-04T09:30:00.000-00:00","2019-12-05T07:45:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"KB",0,"2020-01-07T14:47:20.000-00:00","uuid:d283364a-a6d5-490a-b2cd-9ee501456eda","d283364a-a6d5-490a-b2cd-9ee501456eda","2020-01-07T14:47:27",,,2,12,"12_99_6022",2019-12-04
"2020-01-07T14:47:21.000-00:00",99,6023,6023,"2019-12-04T09:24:00.000-00:00","2019-12-04T09:30:00.000-00:00","2019-12-05T07:45:00.000-00:00",,,,7,1,3,25,6,1,3,6,0,,,,,,"KB",1,"2020-01-07T14:50:10.000-00:00","uuid:57f28d1c-827e-41ed-b516-e6a6bc8e0a55","57f28d1c-827e-41ed-b516-e6a6bc8e0a55","2020-01-07T14:50:17",,,2,12,"12_99_6023",2019-12-04
"2020-01-07T14:50:10.000-00:00",99,6024,6024,"2019-12-04T09:26:00.000-00:00","2019-12-04T09:30:00.000-00:00","2019-12-05T07:45:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"KB",0,"2020-01-07T14:57:08.000-00:00","uuid:8150f6fc-499a-4b0a-aead-7bc361cd872d","8150f6fc-499a-4b0a-aead-7bc361cd872d","2020-01-07T14:57:16",,,2,12,"12_99_6024",2019-12-04
"2020-01-07T14:57:09.000-00:00",99,6025,6025,"2019-12-04T09:28:00.000-00:00","2019-12-04T09:30:00.000-00:00","2019-12-05T07:45:00.000-00:00",,,,7,1,3,8,6,100,3,0,0,,,,,,"KB",1,"2020-01-07T15:03:25.000-00:00","uuid:264ee065-3f62-409e-96d6-6b87401109ff","264ee065-3f62-409e-96d6-6b87401109ff","2020-01-07T15:03:31",,,2,12,"12_99_6025",2019-12-04
"2020-01-07T15:03:25.000-00:00",99,6026,6026,"2019-12-04T16:18:00.000-00:00","2019-12-04T16:30:00.000-00:00","2019-12-05T13:00:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"KB",0,"2020-01-07T15:10:24.000-00:00","uuid:469b4aa0-2c9d-48ad-b6ff-8dc6d656bb8f","469b4aa0-2c9d-48ad-b6ff-8dc6d656bb8f","2020-01-07T15:10:29",,,2,12,"12_99_6026",2019-12-04
"2020-01-07T15:10:25.000-00:00",99,6027,6027,"2019-12-04T16:20:00.000-00:00","2019-12-04T16:30:00.000-00:00","2019-12-05T13:00:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"KB",0,"2020-01-07T15:12:34.000-00:00","uuid:339b0270-10cd-4314-a3b2-cfab94983964","339b0270-10cd-4314-a3b2-cfab94983964","2020-01-07T15:12:41",,,2,12,"12_99_6027",2019-12-04
"2020-01-07T15:12:34.000-00:00",99,6028,6028,"2019-12-04T16:23:00.000-00:00","2019-12-04T16:30:00.000-00:00","2019-12-05T16:30:00.000-00:00",,,,7,1,3,11,6,1,3,0,0,,,,,,"KB",1,"2020-01-07T15:14:18.000-00:00","uuid:b9e88eea-4ad1-4d79-b103-80ea64857ff2","b9e88eea-4ad1-4d79-b103-80ea64857ff2","2020-01-07T15:14:24",,,2,12,"12_99_6028",2019-12-04
"2020-01-07T15:14:18.000-00:00",99,6029,6029,"2019-12-04T16:25:00.000-00:00","2019-12-04T16:30:00.000-00:00","2019-12-05T13:00:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"KB",0,"2020-01-07T15:16:19.000-00:00","uuid:d9b39089-687d-491d-a2ab-62c866503779","d9b39089-687d-491d-a2ab-62c866503779","2020-01-07T15:16:26",,,2,12,"12_99_6029",2019-12-04
"2020-01-07T15:16:19.000-00:00",99,6030,6030,"2019-12-04T16:27:00.000-00:00","2019-12-04T16:27:00.000-00:00","2019-12-05T16:30:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"KB",0,"2020-01-07T15:18:50.000-00:00","uuid:d4f14692-44b6-4f88-a405-c783918ab86b","d4f14692-44b6-4f88-a405-c783918ab86b","2020-01-07T15:18:56",,,2,12,"12_99_6030",2019-12-04
"2020-01-13T08:12:00.000-00:00",99,6031,6031,"2019-12-11T09:52:00.000-00:00","2019-12-11T10:05:00.000-00:00","2019-12-12T08:30:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"KB",0,"2020-01-13T08:14:01.000-00:00","uuid:3c9083cb-04a1-4ee5-b7d3-ac4836ee1c7a","3c9083cb-04a1-4ee5-b7d3-ac4836ee1c7a","2020-01-13T08:14:08",,,2,12,"12_99_6031",2019-12-11
"2020-01-13T08:14:02.000-00:00",99,6032,6032,"2019-12-11T09:53:00.000-00:00","2019-12-11T10:05:00.000-00:00","2019-12-12T08:30:00.000-00:00",,,,7,1,3,9,6,1,3,1,0,,,,,,"KB",1,"2020-01-13T08:15:52.000-00:00","uuid:99c3e5f6-69e5-4751-b398-8d478b104f0b","99c3e5f6-69e5-4751-b398-8d478b104f0b","2020-01-13T08:16:00",,,2,12,"12_99_6032",2019-12-11
"2020-01-13T08:15:53.000-00:00",99,6033,6033,"2019-12-11T09:56:00.000-00:00","2019-12-11T10:05:00.000-00:00","2019-12-12T08:30:00.000-00:00",,,,7,1,3,2,6,1,3,0,0,,,,,,"KB",1,"2020-01-13T08:20:51.000-00:00","uuid:2018b16b-83a7-404b-a0d4-aeea499bf610","2018b16b-83a7-404b-a0d4-aeea499bf610","2020-01-13T08:20:58",,,2,12,"12_99_6033",2019-12-11
