Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18
NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,34,8,25,17,22,2,28,12,23,NA,10,15,22,12,8,NA,13,NA,5,NA,53,NA,1,NA,NA,NA,NA,NA,NA,32,2,6,2,2,NA,3,NA,3,NA,NA,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,0,0,0,3,8,0,0,0,0,2,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,15,3,2,3,9,11,7,11,9,14,8,5,7,9,15,6,13,5,8,9,17,36,31,35,36,27,29,34,19,18,26,26,32,42,30,44,41,25,36,32,22,23,31,12,30,28,38,53,3,21,43,34,11,18,8,12,17,13,10,16,18,10,11,28,8,0,0,0,0,0,0,0,2,21,32,3,7,0,5,1,1,19,5,7,4,1,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,8,16,11,4,NA,13,12,23,9,18,14,17,10,10,4,4,4,NA,16,2,7,12,11,3,6,6,11,5,10,NA,NA,NA,NA,NA,8,1,1,NA,2,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,1,2,2,NA,1,2,0,0,0,0,0,0,0,0,0,0,NA,1,3,0,NA,2,0,NA,0,6,1,0,4,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,8,16,38,NA,25,NA,5,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,NA,0,0,0,0,0,0,0,NA,NA,NA,0,2,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,9,16,9,17,11,19,16,2,28,15,24,13,16,23,28,14,7,21,4,9,14,15,15,13,15,16,13,16,15,12,24,14,12,13,10,9,10,32,24,23,36,14,7,10,4,16,19,8,3,8,3,2,10,1,3,16,6,17,7,15,7,7,5,2,2,4,5,8,1,5,2,0,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,1,47,17,10,13,9,11,5,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12,11,10,NA,19,25,5,13,14,13,20,8,10,NA,7,NA,NA,27,17,15,15,8,NA,NA,15,5,5,7,NA,NA,6,NA,3,NA,NA,1,2,5,2,NA,1,NA,NA,1,2,2,1,1,NA,NA,1,4,3,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,3,NA,0,0,6,1,3,2,0,0,0,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,3,12,4,7,29,NA,NA,NA,28,9,18,18,NA,13,19,16,3,5,4,9,5,4,6,NA,1,NA,NA,7,NA,7,NA,NA,1,NA,NA,1,1,NA,1,NA,1,1,0,0,2,0,0,0,0,0,0,0,NA,NA,2,NA,0,1,NA,0,0,0,1,0,0,0,0,0,0,0,NA,0,2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,0,0,0,NA,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,8,7,4,6,4,1,2,4,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,11,46,12,51,87,80,23,19,25,6,NA,40,3,32,8,25,9,NA,21,16,40,7,16,14,NA,10,3,4,8,22,26,3,4,77,54,61,59,13,24,68,55,72,71,76,112,89,73,124,86,50,2,1,3,NA,6,7,3,3,5,1,3,4,6,5,20,14,9,9,0,1,5,5,0,0,2,1,1,0,0,NA,NA,NA,5,9,4,6,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,55,66,37,1,88,NA,34,5,14,15,8,17,21,21,23,13,4,8,47,22,5,35,9,19,15,NA,11,10,16,22,6,2,3,31,24,24,51,13,17,40,36,27,44,30,50,69,59,45,39,62,2,1,1,1,2,2,3,7,4,3,7,1,2,4,4,1,0,1,0,1,0,0,9,0,1,0,0,49,32,16,18,0,7,7,0,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,46,66,80,15,27,36,7,6,4,36,12,15,8,6,5,6,9,NA,NA,NA,NA,15,7,NA,1,NA,4,5,5,21,9,7,17,26,28,8,34,35,30,42,42,52,4,3,2,22,12,10,16,2,13,4,1,85,58,30,26,52,38,23,38,3,9,10,10,5,0,32,25,25,1,7,0,21,20,0,21,31,16,28,53,63,65,74,52,51,38,31,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,3,12,4,7,29,NA,NA,NA,28,9,18,18,NA,13,19,16,3,5,4,9,5,4,6,NA,1,NA,NA,7,NA,7,NA,NA,1,NA,NA,1,1,NA,1,NA,1,1,0,0,2,0,0,0,0,0,0,0,NA,NA,2,NA,0,1,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,34,8,25,17,22,2,28,12,23,NA,10,15,22,12,8,NA,13,NA,5,NA,53,NA,1,NA,NA,NA,NA,NA,NA,32,2,6,2,2,NA,3,NA,3,NA,NA,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,0,0,0,3,8,0,0,0,0,2,0,0,0,0,0,0,0,NA,0,0,0,0,0,13,16,8,15,11,41,91,92,116,41,91,95,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,155,168,167,177,165,53,64,23,14,7,26,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,9,28,22,14,NA,32,37,28,22,32,27,37,18,20,4,11,4,NA,43,19,22,27,19,3,6,21,16,10,17,NA,NA,6,NA,3,8,1,2,2,7,2,NA,2,2,NA,1,4,2,1,1,NA,NA,3,4,4,4,2,1,3,3,0,0,0,0,0,0,0,0,0,0,NA,1,3,0,NA,2,3,NA,3,10,8,1,9,2,3,0,1,4,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,8,23,16,14,24,20,14,30,9,15,21,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
