SampleID,CompoundID,ec_dd,ec_th,ev_lat,ev_long,ev_way,neighbor,dis_lat,ev_notes,source_bw,source_other,stored,covered,ec_sd,ec_st,ec_isd,ec_ist,ec_ied,ec_iet,ec_dil1,ec_dil2,ec_dil3,ec_ecnt1,ec_ecnt2,ec_ecnt3,tc_ecnt1,tc_ecnt2,tc_ecnt3,ec_blank,tc_blank,collectr,sp_type,sp_area,dis_com,weight,feces_3m,lat_type,lat_other,n_stall,Vis_fec,HW_stat,ev_way,operator
CPO2032,2032,3/3/2015,10:00:00 AM,25.94355,32.5577,001/29,1,,Standing water coming from the laundry washing.,,,,,3/3/2015,3:05:00 PM,3/3/2015,4:30:00 PM,3/4/2015,4:42:00 PM,2,3,4,998,998,998,998,998,998,0,0,ANABELA/BACELAR,3,1,1.7,,,,,,,,001.29,MARIO AMOS
CPO2040,2040,3/10/2015,9:30:00 AM,25.94873,32.55939,006-29,1,,The water collected is from pipe break,,,,,3/10/2015,2:00:00 PM,3/10/2015,4:20:00 PM,3/11/2015,4:20:00 PM,2,3,4,0,0,0,999,999,999,0,0,ANABELA/BACELAR,3,1,1.3,,,,,,,,006.29,MARIA ISABEL
CPO3001,3001,3/11/2015,10:16:00 AM,25.94454,32.57946,009-29,2,,Standing water coming from pipe break,,,,,3/11/2015,1:30:00 PM,3/11/2015,4:00:00 PM,3/12/2015,4:00:00 PM,3,4,2,0,0,0,0,0,0,0,0,ANABELA/AMADEU,3,1,4.7,,,,,,,,009.29,LAURINDA MACUCULE
CPO3031,3031,3/11/2015,10:30:00 AM,25.94339,32.57967,009-30,2,,,,,,,3/11/2015,1:30:00 PM,3/11/2015,4:00:00 PM,3/12/2015,4:00:00 PM,3,4,2,0,0,0,998,0,0,0,0,ELOISA -GISELA,3,1,1.65,,,,,,,,009.30,LAURINDA MACUCULE
CPO3034,3034,3/13/2015,9:35:00 AM,25.94316,32.58111,013-30,2,,This stagnant water is mixed with the water that comes from the bath that oozes out of the compound.,,,,,3/13/2015,1:20:00 PM,3/13/2015,3:40:00 PM,3/14/2015,3:40:00 PM,2,3,4,0,0,0,999,999,73,0,0,ELOISA/GIZELA,3,1,2.8,,,,,,,,013.30,SALMA XAVIER
DCO2029,2029,5/12/2015,10:20:00 AM,25.94407,32.56058,026-29,1,1,The drain is within the bathroom and beside the latrine,,,,,5/12/2015,12:10:00 PM,5/12/2015,3:40:00 PM,5/13/2015,3:40:00 PM,2,3,4,0,0,0,999,999,999,0,0,Amadeu/Gizela,2,0,,,,,,,,,026-29,Marcio Amos
DCO2030,2030,3/26/2015,9:13:00 AM,25.94715,32.55198,014-32,1,0.5,,,,,,3/26/2015,12:15:00 PM,3/26/2015,5:00:00 PM,3/27/2015,5:00:00 PM,2,3,4,0,0,0,998,999,999,0,0,ELOISA-GISELA,2,0,,,,,,,,,014.32,MARIA
DCO2031,2031,3/3/2015,10:09:00 AM,25.94365,32.55762,002-32,1,1,,,,,,3/3/2015,2:23:00 PM,3/3/2015,3:20:00 PM,3/4/2015,5:08:00 PM,4,5,6,0,0,2,999,999,59,0,0,ANABELA/BACELAR,2,0,,,,,,,,,002.32,MARIO AMOS
DCO2032,2032,3/3/2015,10:05:00 AM,25.94365,32.55764,001-32,1,1.9,"Sample collected from bathroom, the drain was covered",,,,,3/3/2015,3:05:00 PM,3/3/2015,4:30:00 PM,3/4/2015,4:42:00 PM,4,5,6,0,0,0,75,31,48,0,0,BACELAR/ANABELA,2,0,,,,,,,,,001.32,MARIO AMOS
DCO2035,2035,3/5/2015,9:28:00 AM,25.94497,32.55382,004-32,1,4,,,,,,3/5/2015,11:45:00 AM,3/5/2015,4:20:00 PM,3/6/2015,4:20:00 PM,4,5,6,0,0,0,0,0,0,0,0,GISELA/ELOISA/AMADEU,2,0,,,,,,,,,004.32,LAURINDA MACUCULE
DCO2036,2036,3/6/2015,9:52:00 AM,25.96199,32.58968,001-30,1,3.5,,,,,,3/6/2015,12:15:00 PM,3/6/2015,4:50:00 PM,3/7/2015,5:00:00 PM,4,5,6,0,0,0,999,999,75,0,0,ELOISA-GISELA-AMADEU,2,0,,,,,,,,,001.30,MARIO AMOS
DCO2041,2041,3/10/2015,9:07:00 AM,25.95265,32.5597,005-30,1,2.94,29.37 m is the distance from the drain to the latrine in use and 2.94 m is in relation to the old latrine,,,,,3/10/2015,2:00:00 PM,3/10/2015,4:20:00 PM,3/11/2015,4:20:00 PM,4,5,6,0,0,0,999,999,999,0,0,AMADEU/ELOISA,2,0,,,,,,,,,005.30,MARIA ISABEL
DCO2042,2042,3/25/2015,9:55:00 AM,25.94633,32.55552,022-29,1,6.2,,,,,,3/25/2015,12:10:00 PM,3/25/2015,4:20:00 PM,3/26/2015,4:20:00 PM,2,3,4,0,0,0,999,999,0,0,0,AMADEU/ANABELA,2,0,,,,,,,,,022.29,SALMA XAVIER
DCO2044,2044,5/12/2015,9:50:00 AM,25.94189,32.55694,001-01,1,18.2,The latrine is in the yard outside the compound but the bathroom is inside the compound.,,,,,5/12/2015,12:10:00 PM,5/12/2015,3:40:00 PM,5/13/2015,3:40:00 PM,2,3,4,999,999,999,999,999,999,0,0,Eloisa/Bacelar,2,0,,,,,,,,,001-01,Marcio Amos
DCO3001,3001,3/11/2015,10:32:00 AM,25.94446,32.57943,008-29,2,13.5,,,,,,3/11/2015,1:30:00 PM,3/11/2015,4:00:00 PM,3/12/2015,4:00:00 PM,4,5,6,0,0,0,0,0,0,0,0,ANABELA/AMADEU,2,0,,,,,,,,,008.29,LAURINDA MACUCULE
