HouseholdID,CompoundID,MapSanHHID,dd,th,neighbor,lat,long,hh_q1,A_od,C_od,A_cf_rs,C_cf_rs,has_l,A_use_l,C_use_l,hh_q9,no_la_a,no_la_b,no_la_c,no_la_d,no_la_e,collectr,group
65,3032,9,3/21/2015,11:47:00 AM,2,25.9448,32.58339,1,1,1,2,2,1,2,2,4,0,0,1,0,0,Gizela Brito,0
66,3037,9,3/21/2015,9:10:00 AM,2,25.94513,32.57913,0,1,,1,,1,1,,8,0,0,1,0,0,Anabela,0
67,2030,2,3/26/2015,9:47:00 AM,1,25.94715,32.55198,1,4,4,3,3,,2,2,1,1,0,0,0,0,Gizela Brito,0
68,2030,4,3/26/2015,9:36:00 AM,1,25.94715,32.55198,1,4,4,3,3,,3,2,0,0,1,0,0,0,Gizela Brito,0
69,2030,3,3/26/2015,9:55:00 AM,1,25.94715,32.55198,1,4,4,3,1,,3,1,0,0,1,1,0,0,Eloisa Mula,0
70,2032,7,3/21/2015,11:03:00 AM,1,25.94355,32.5577,0,2,,2,,,2,,9,0,1,1,0,0,Bacelar,0
71,2032,2,3/21/2015,11:03:00 AM,1,25.94355,32.5577,0,4,,1,,,3,,9,0,1,0,0,0,Amadeu,0
72,2038,6,3/21/2015,11:00:00 AM,1,25.93534,32.56261,1,4,4,3,3,,2,2,6,0,0,1,0,0,Bacelar,0
73,2038,4,3/21/2015,11:16:00 AM,1,25.93534,32.56261,0,4,,3,,,3,,6,0,1,1,0,0,Bacelar,0
74,2043,4,3/25/2015,9:34:00 AM,1,25.94526,32.55675,1,2,4,3,3,,3,5,4,0,0,1,0,0,Gizela Brito,0
75,2029,2,5/12/2015,10:32:00 AM,1,25.94407,32.56058,1,3,4,1,4,,3,3,4,0,0,1,0,0,Gizela Brito,0
76,2029,4,5/12/2015,10:22:00 AM,1,25.94407,32.56058,0,4,,3,,,2,4,4,1,0,0,0,0,Gizela Brito,0
77,2029,3,5/12/2015,10:26:00 AM,1,25.94407,32.56058,1,4,4,2,2,,3,2,4,1,0,0,0,0,Gizela Brito,0
78,2029,1,5/12/2015,10:17:00 AM,1,25.94407,32.56058,1,3,4,1,3,,2,2,4,0,1,0,0,0,Gizela Brito,0
79,2044,2,5/12/2015,11:27:00 AM,1,25.94189,32.55694,1,4,4,2,1,,4,5,4,0,0,1,0,0,Eloisa Mula,0
80,2044,3,5/12/2015,10:00:00 AM,1,25.94189,32.55694,1,3,4,2,3,,4,5,4,0,0,1,0,0,Eloisa Mula,0
101,2031,6,3/3/2015,10:31:00 AM,1,25.94365,32.55762,,3,3,2,3,,5,3,,0,0,1,0,0,Gizela Brito,1
102,2036,1,3/6/2015,9:24:00 AM,1,25.96199,32.58968,,5,1,5,1,,5,3,,0,0,1,0,1,Eloisa Mula,1
103,2036,1,3/6/2015,9:28:00 AM,1,25.96199,32.58968,,3,4,5,4,,5,3,,0,1,1,0,0,Eloisa Mula,1
104,2030,2,3/4/2015,9:35:00 AM,1,25.94717,32.55197,,4,4,2,2,,5,3,,0,1,0,0,0,Gizela Brito,1
105,2030,2,3/4/2015,9:40:00 AM,1,25.94717,32.55197,,4,4,3,4,,5,3,,0,0,1,0,0,Gizela Brito,1
106,3001,2,3/11/2015,11:17:00 AM,2,25.94457,32.57943,,1,1,5,1,1,5,1,,0,1,1,0,0,Anabela,1
107,3006,3,3/12/2015,9:45:00 AM,2,25.9439,32.58358,,5,4,3,3,1,5,2,,0,0,1,0,0,Eloisa Mula,1
