"sample_type_name","sample_id","neighb_id","neighborhood","age","pop","p","r","n.response","mu","sigma","n.sample","exposure","dose","popDose","deployment_id","country","city","citylabel","date","pathway","neighb_pop","neighb_pop_label","perDose"
"Raw Produce",2,205,"Gulshan","Adults","a",0.455276799594991,5.34282032334737,81,3.23110271674148,1.73447782748009,10,0.987,38355689.2926073,38355689.2926073,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Raw Produce","Dhaka 205 Adults","Dhaka 205",7.52342791859987
"Raw Produce",2,205,"Gulshan","Children","c",0.345133454742333,3.14617184250832,77,3.23110271674148,1.73447782748009,10,0.961,7147468.48426196,7147468.48426196,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Raw Produce","Dhaka 205 Children","Dhaka 205",6.36146425342315
"Surface Water",5,205,"Gulshan","Adults","a",0.0260349980161807,0.0165887252043385,81,5.06459335462299,0.749298188635686,10,0.059,15199.7510763897,15199.7510763897,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Surface Water","Dhaka 205 Adults","Dhaka 205",0.00298141510980275
"Surface Water",5,205,"Gulshan","Children","c",0.114530498909241,0.0658220593457772,77,5.06459335462299,0.749298188635686,10,0.132,46790.1690991129,46790.1690991129,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Surface Water","Dhaka 205 Children","Dhaka 205",0.0416446730462732
"Street Food",10,205,"Gulshan","Adults","a",0.45889315744046,0.863351073759721,81,3.09438125545244,1.32513815040345,9,0.5,307126.933270201,307126.933270201,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Street Food","Dhaka 205 Adults","Dhaka 205",0.0602426233743723
"Street Food",10,205,"Gulshan","Children","c",0.445141774581152,1.57038727459928,77,3.09438125545244,1.32513815040345,9,0.718,473707.929836219,473707.929836219,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Street Food","Dhaka 205 Children","Dhaka 205",0.421614459560273
"Bathing Water",9,206,"Kamalapur","Adults","a",0.821840201765605,56.2924135308818,256,1.62600502806575,1.47154119067554,10,1,18997.3739168711,18997.3739168711,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Bathing Water","Dhaka 206 Adults","Dhaka 206",0.000122837487979792
"Bathing Water",9,206,"Kamalapur","Children","c",0.899127393108276,156.727950581093,231,1.62600502806575,1.47154119067554,10,1,192496.982645615,192496.982645615,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Bathing Water","Dhaka 206 Children","Dhaka 206",0.00377277424373061
"Open Drain Water",1,206,"Kamalapur","Adults","a",0.00301047987815096,0.202303445139155,154,6.24708075332426,1.46647170056278,10,0.671,3173572.85366637,3173572.85366637,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Open Drain Water","Dhaka 206 Adults","Dhaka 206",0.0205204002916969
"Open Drain Water",1,206,"Kamalapur","Children","c",0.00732813125544118,0.247309405635683,152,6.24708075332426,1.46647170056278,10,0.685,19657124.390553,19657124.390553,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Open Drain Water","Dhaka 206 Children","Dhaka 206",0.38526262379405
