col_neighborhood,col_sample_type,col_id,col_id_val,col_start,col_location,_col_location_latitude,_col_location_longitude,_col_location_altitude,_col_location_precision,col_weather,col_rainyest,col_rainweek,col_rainmon,col_pa_prox,col_pa_type,col_pa_type_other,col_pa_latrine_distance,col_bw_type,col_bw_type_other,col_bw_container,col_bw_container_lid,col_bw_cl_id,col_bw_cl_free,col_bw_cl_total,col_f_latrine_distance,col_p_type,col_p_type_other,col_p_num,col_dw_type,col_dw_type_other,col_dw_container,col_dw_container_lid,col_dw_id,col_dw_cl_free,col_dw_cl_total,col_odw_type,col_odw_container,col_odw_container_lid,col_odw_id,col_odw_cl_free,col_odw_cl_total,col_l_toilet_type,col_l_toilet_type_other,col_l_toilet_stalls,col_l_toilet_feces,col_l_toilet_users,col_l_toilet_hw,col_s_type,col_s_type_other,col_d_water_level,col_d_water_flow,col_d_size,col_d_lining,col_d_lining_oth,col_d_feces,col_d_animals,col_d_schools,col_d_urban_ag,col_d_public_latrines,col_d_hh_latrines,col_d_shops,col_d_hh,col_d_hh_num,col_sf_type,col_sf_type_other,col_notes,col_enum,col_photo,meta/instanceID,_uuid,_submission_time,_tags,_notes
382,10,2806,2806,2019-10-17T11:02:00.000+02:00,-15.34694325 28.27882752 1235.0 4.5509996,-15.34694325,28.27882752,1235,4.5509996,1,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,Fritters,n/a,Chilufya,0,uuid:5e0c92ea-a4e9-468a-8c32-3d64eba4f0c7,5e0c92ea-a4e9-468a-8c32-3d64eba4f0c7,2019-10-17T15:08:48,,
380,10,3800,3800,2019-10-21T07:55:00.000+02:00,-15.374600000000003 28.242695000000005 1260.3 4.2,-15.3746,28.242695,1260.3,4.2,1,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,Fritters,n/a,Nchimunya,0,uuid:bbcf670c-06f6-4c32-80e9-378e940fd29c,bbcf670c-06f6-4c32-80e9-378e940fd29c,2019-10-21T07:59:53,,
380,10,3806,3806,2019-10-28T07:29:00.000+02:00,-15.383215 28.247181666666666 1251.5 1.7,-15.383215,28.24718167,1251.5,1.7,1,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,Fritters,n/a,Chilufya,0,uuid:8714ba86-0348-443d-acab-0cd7921b4f1d,8714ba86-0348-443d-acab-0cd7921b4f1d,2019-10-30T07:41:21,,
380,10,3802,3802,2019-10-22T08:44:00.000+02:00,-15.379855000000001 28.239028333333334 1257.4 2.1,-15.379855,28.23902833,1257.4,2.1,1,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,Japati,n/a,Chilufya,0,uuid:088de042-a4e2-4417-958c-0da27eddee3a,088de042-a4e2-4417-958c-0da27eddee3a,2019-10-23T13:21:31,,
380,10,3801,3801,2019-10-21T08:40:00.000+02:00,-15.375759999999998 28.23913333333333 1235.7 4.7,-15.37576,28.23913333,1235.7,4.7,1,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,Fritters,n/a,Chilufya,0,uuid:5a807b9b-9979-47d9-a833-0810c7d68fb2,5a807b9b-9979-47d9-a833-0810c7d68fb2,2019-10-21T07:59:58,,
382,10,2805,2805,2019-10-16T07:38:00.000+02:00,-15.33686355 28.31772678 1236.0 4.5509996,-15.33686355,28.31772678,1236,4.5509996,1,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,Pie,n/a,Nchimunya,1,uuid:a4966c36-2f97-4a27-9251-63baae1707a0,a4966c36-2f97-4a27-9251-63baae1707a0,2019-10-16T13:44:13,,
381,10,1808,1808,2019-10-11T08:21:00.000+02:00,-15.46141591 28.28371246 1285.0 4.5509996,-15.46141591,28.28371246,1285,4.5509996,1,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,Roasted Cassava,n/a,Nchimunya,1,uuid:65d56862-ac9c-424b-a45d-e576be8a3187,65d56862-ac9c-424b-a45d-e576be8a3187,2019-10-11T07:52:45,,
382,10,2808,2808,2019-10-17T07:26:00.000+02:00,-15.34360956 28.2951924 1231.0 4.5509996,-15.34360956,28.2951924,1231,4.5509996,1,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,Samoosa,n/a,Nchimunya,0,uuid:eb60abdc-4559-4dc4-bae2-ceb137547fe7,eb60abdc-4559-4dc4-bae2-ceb137547fe7,2019-10-17T15:08:32,,
380,10,3809,3809,2019-10-28T09:01:00.000+02:00,-15.388778333333335 28.24521333333333 1255.1 0.9,-15.38877833,28.24521333,1255.1,0.9,1,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,Samoosa,n/a,Chilufya,1,uuid:04198ea9-edd8-4328-9e0f-b418f158fe9c,04198ea9-edd8-4328-9e0f-b418f158fe9c,2019-10-30T07:41:28,,
382,10,2801,2801,2019-10-14T07:39:00.000+02:00,-15.32349033 28.30263737 1224.0 4.5509996,-15.32349033,28.30263737,1224,4.5509996,1,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,Scones,n/a,Chilufya,0,uuid:ef9552e1-028f-4851-8c6f-173a422e261a,ef9552e1-028f-4851-8c6f-173a422e261a,2019-10-14T15:14:33,,
