h_id,h_start,h_coordinates,_h_coordinates_latitude,_h_coordinates_longitude,_h_coordinates_altitude,_h_coordinates_precision,h_neighborhood,h_home_type,h_rainweek,h_population,h_c,h_s_a,h_s_a_other,h_s_c,h_s_c_other,h_d_a,h_d_a_other,h_d_c,h_d_c_other,h_f_a,h_f_a_other,h_f_c,h_f_c_other,h_dw_a,h_dw_a_other,h_dw_c,h_dw_c_other,h_dwbore_a,h_dwbore_a_other,h_dwbore_c,h_dwbore_c_other,h_dwwell_a,h_dwwell_a_other,h_dwwell_c,h_dwwell_c_other,h_dw_e_wt,h_dw_e_wt_other,h_bw_a,h_bw_a_other,h_bw_c,h_bw_c_other,h_bw_source,h_bw_source_other,h_bw_source_na,h_p_a,h_p_a_other,h_p_c,h_p_c_other,h_p_e,h_p_e_other,h_sf_a,h_sf_a_other,h_sf_c,h_sf_c_other,h_l_a,h_l_a_other,h_l_c,h_l_c_other,h_pl_a_th,h_pl_a_th_other,h_pl_a_tu,h_pl_a_tu_other,h_pl_a_tw,h_pl_a_tw_other,h_pl_a_tf,h_pl_a_tf_other,h_pl_a_ts,h_pl_a_ts_other,h_pl_a_od/1,h_pl_a_od/2,h_pl_a_od/3,h_pl_a_od/4,h_pl_a_od/5,h_pl_a_od/6,h_pl_a_od/7,h_pl_a_od_other,h_notes,h_enum,meta/instanceID,_uuid,_submission_time,_tags,_notes
2088,2019-10-16T10:13:00.000+02:00,-15.34166666 28.30429768 1232.0 4.5509996,-15.34166666,28.30429768,1232.0,4.5509996,382,2,0,4,1,4,n/a,4,n/a,4,n/a,5,n/a,1,n/a,2,n/a,4,n/a,4,n/a,1,n/a,1,n/a,4,n/a,4,n/a,2,n/a,2,n/a,3,n/a,2,n/a,n/a,2,n/a,2,n/a,1,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,n/a,n/a,Champo,uuid:0287aa01-3512-44cd-9f9c-1998a0279072,0287aa01-3512-44cd-9f9c-1998a0279072,2019-10-16T09:29:50,,
2090,2019-10-16T08:35:00.000+02:00,-15.35223567 28.27920588 1233.0 4.5509996,-15.35223567,28.27920588,1233.0,4.5509996,382,2,0,6,1,4,n/a,4,n/a,3,n/a,5,n/a,2,n/a,2,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,2,n/a,1,n/a,2,n/a,1,n/a,n/a,4,n/a,5,n/a,1,n/a,3,n/a,5,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,n/a,n/a,Zacharia,uuid:1da3e66f-4e26-4071-b251-dfbbffe42dc1,1da3e66f-4e26-4071-b251-dfbbffe42dc1,2019-10-16T11:23:48,,
2093,2019-10-16T08:50:00.000+02:00,-15.35285367 28.27876516 1241.0 4.5509996,-15.35285367,28.27876516,1241.0,4.5509996,382,2,0,3,1,4,n/a,4,n/a,4,n/a,4,n/a,2,n/a,5,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,2,n/a,1,n/a,2,n/a,1,n/a,n/a,4,n/a,5,n/a,1,n/a,4,n/a,5,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,n/a,n/a,Zacharia,uuid:db38f7ae-d553-4d6f-bc58-a0bfda1d54b1,db38f7ae-d553-4d6f-bc58-a0bfda1d54b1,2019-10-16T11:24:09,,
2094,2019-10-16T10:26:00.000+02:00,-15.34421946 28.30466498 1207.0 24.272,-15.34421946,28.30466498,1207.0,24.272,382,1,0,6,1,4,n/a,4,n/a,1,n/a,1,n/a,1,n/a,1,n/a,4,n/a,4,n/a,1,n/a,1,n/a,4,n/a,4,n/a,1,n/a,1,n/a,2,n/a,2,n/a,n/a,2,n/a,2,n/a,1,n/a,3,n/a,3,n/a,4,n/a,5,n/a,1,n/a,1,n/a,1,n/a,2,n/a,3,n/a,False,True,False,False,False,False,False,n/a,n/a,Zacharia,uuid:3620efb4-5cc9-4d88-8684-e2d3d65fcf57,3620efb4-5cc9-4d88-8684-e2d3d65fcf57,2019-10-16T11:24:25,,
3001,2019-10-21T08:09:00.000+02:00,-15.373983333333335 28.240941666666664 1235.7 4.8,-15.373983333333335,28.240941666666664,1235.7,4.8,380,2,0,6,1,4,n/a,4,n/a,4,n/a,1,n/a,1,n/a,1,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,1,n/a,1,n/a,1,n/a,n/a,3,n/a,3,n/a,1,n/a,3,n/a,3,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,False,False,False,True,False,False,n/a,n/a,Muleya,uuid:bf87e188-9339-4f75-940e-6663c2d12c58,bf87e188-9339-4f75-940e-6663c2d12c58,2019-10-21T07:38:50,,
3002,2019-10-21T08:34:00.000+02:00,-15.375298333333335 28.243260000000003 1222.1 5.0,-15.375298333333335,28.243260000000003,1222.1,5.0,380,2,0,4,1,4,n/a,4,n/a,4,n/a,4,n/a,2,n/a,3,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,2,n/a,1,n/a,2,n/a,1,n/a,n/a,3,n/a,4,n/a,1,n/a,3,n/a,3,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,n/a,n/a,Muleya,uuid:2bb6824f-4354-479f-9a76-5e5ebe21d3ec,2bb6824f-4354-479f-9a76-5e5ebe21d3ec,2019-10-21T07:38:51,,
3003,2019-10-21T09:05:00.000+02:00,-15.375750000000002 28.24199 1239.5 4.7,-15.375750000000002,28.24199,1239.5,4.7,380,2,0,4,1,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,1,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,2,n/a,2,n/a,2,n/a,1,n/a,n/a,4,n/a,3,n/a,1,n/a,3,n/a,3,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,n/a,n/a,Muleya,uuid:59c3a0a0-6732-48d7-aed8-0efc119e947a,59c3a0a0-6732-48d7-aed8-0efc119e947a,2019-10-21T07:38:52,,
3009,2019-10-21T08:12:00.000+02:00,-15.374451666666667 28.239576666666668 1242.8 4.4,-15.374451666666667,28.239576666666668,1242.8,4.4,380,1,0,8,1,4,n/a,4,n/a,4,n/a,2,n/a,1,n/a,1,n/a,1,n/a,1,n/a,4,n/a,4,n/a,2,n/a,2,n/a,1,n/a,1,n/a,1,n/a,3,n/a,n/a,3,n/a,3,n/a,1,n/a,1,n/a,1,n/a,1,n/a,1,n/a,1,n/a,1,n/a,2,n/a,2,n/a,3,n/a,True,True,False,False,False,False,False,n/a,n/a,Mwewa kasonde,uuid:82dcc44f-19d7-4fae-afc7-5920b4723614,82dcc44f-19d7-4fae-afc7-5920b4723614,2019-10-21T07:40:57,,
3010,2019-10-21T08:26:00.000+02:00,-15.373955 28.238571666666665 1240.5 4.0,-15.373955,28.238571666666665,1240.5,4.0,380,2,0,3,1,4,n/a,4,n/a,4,n/a,1,n/a,2,n/a,1,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,1,n/a,2,n/a,3,n/a,n/a,3,n/a,3,n/a,1,n/a,4,n/a,1,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,False,False,False,False,False,False,n/a,n/a,Mwewa kasonde,uuid:79f3eedc-cbe7-46aa-805c-9cc6aeb6f5e3,79f3eedc-cbe7-46aa-805c-9cc6aeb6f5e3,2019-10-21T07:40:58,,
3012,2019-10-21T09:18:00.000+02:00,-15.377248333333334 28.240004999999996 1247.1 4.7,-15.377248333333334,28.240004999999996,1247.1,4.7,380,2,0,5,1,4,n/a,4,n/a,1,n/a,1,n/a,2,n/a,2,n/a,1,n/a,1,n/a,3,n/a,3,n/a,4,n/a,4,n/a,2,n/a,1,n/a,2,n/a,1,n/a,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,False,False,False,False,False,False,n/a,n/a,Mwewa kasonde,uuid:c1394e2a-b957-4df3-b667-930695b7cf04,c1394e2a-b957-4df3-b667-930695b7cf04,2019-10-21T07:40:59,,
