lab_start_dt,lab_sample_type,lab_id,lab_id_val,lab_processing,lab_incubator_placed,lab_incubator_removed,lab_p_weight,lab_sf_weight,lab_pa_weight,lab_1_group/lab_1_dil_tested,lab_1_group/lab_1_volume,lab_1_ecoli_reading_idexx,lab_1_ecoli_big_idexx,lab_1_ecoli_small_idexx,lab_2_group/lab_2_dil_tested,lab_2_group/lab_2_volume,lab_2_ecoli_reading_idexx,lab_2_ecoli_big_idexx,lab_2_ecoli_small_idexx,lab_3_dilution_performed,lab_3_group/lab_3_dil_tested,lab_3_group/lab_3_volume,lab_3_ecoli_reading_idexx,lab_3_ecoli_big_idexx,lab_3_ecoli_small_idexx,lab_notes,lab_enum,lab_photo,lab_end_dt,col_start_dt,col_end_dt,meta/instanceID,_uuid,_submission_time,_tags,_notes
2019-10-10T15:23:49.000+02:00,1,1404,1404,2019-10-09T11:22:00.000+02:00,2019-10-09T12:49:00.000+02:00,2019-10-10T13:00:00.000+02:00,n/a,n/a,n/a,4,1,2,0,0,3,1,2,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,dorcas,0,2019-10-10T15:32:15.000+02:00,2019-10-10T15:23:49.000+02:00,2019-10-10T15:32:15.000+02:00,uuid:60968108-bbb2-45a7-a0c2-7d1a50e456b0,60968108-bbb2-45a7-a0c2-7d1a50e456b0,2019-10-10T13:30:53,,
2019-10-10T15:32:15.000+02:00,1,1405,1405,2019-10-09T11:22:00.000+02:00,2019-10-09T12:49:00.000+02:00,2019-10-10T13:00:00.000+02:00,n/a,n/a,n/a,4,1,2,0,0,3,1,2,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,dorcas,0,2019-10-10T15:34:05.000+02:00,2019-10-10T15:32:15.000+02:00,2019-10-10T15:34:05.000+02:00,uuid:c6af8e48-7d3f-4daf-8697-31e16a4c8dbb,c6af8e48-7d3f-4daf-8697-31e16a4c8dbb,2019-10-10T13:32:42,,
2019-10-10T15:34:05.000+02:00,2,1704,1704,2019-10-09T11:22:00.000+02:00,2019-10-09T12:49:00.000+02:00,2019-10-10T13:00:00.000+02:00,155,n/a,n/a,7,10,2,0,0,7,1,2,0,0,1,6,1,2,0,0,n/a,wilson,0,2019-10-10T16:01:36.000+02:00,2019-10-10T15:34:05.000+02:00,2019-10-10T16:01:36.000+02:00,uuid:8f02addd-0f7e-433a-8702-487f0b6e09e9,8f02addd-0f7e-433a-8702-487f0b6e09e9,2019-10-10T14:00:11,,
2019-10-10T16:01:36.000+02:00,2,1705,1705,2019-10-09T11:22:00.000+02:00,2019-10-09T12:49:00.000+02:00,2019-10-10T13:00:00.000+02:00,161,n/a,n/a,7,10,2,0,0,7,1,2,0,0,1,6,1,2,0,0,n/a,wilson,0,2019-10-10T16:05:29.000+02:00,2019-10-10T16:01:36.000+02:00,2019-10-10T16:05:29.000+02:00,uuid:6bfbe71b-4c83-4511-90b9-2f2ef8550cff,6bfbe71b-4c83-4511-90b9-2f2ef8550cff,2019-10-10T14:04:07,,
2019-10-10T16:05:29.000+02:00,3,1104,1104,2019-10-09T11:22:00.000+02:00,2019-10-09T12:49:00.000+02:00,2019-10-10T13:00:00.000+02:00,n/a,n/a,n/a,7,100,2,0,0,7,10,2,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,annet,0,2019-10-10T16:06:58.000+02:00,2019-10-10T16:05:29.000+02:00,2019-10-10T16:06:58.000+02:00,uuid:a51dc31f-7eb9-46d6-aa71-7063b2c43bee,a51dc31f-7eb9-46d6-aa71-7063b2c43bee,2019-10-10T14:05:35,,
2019-10-10T16:06:58.000+02:00,3,1105,1105,2019-10-09T11:22:00.000+02:00,2019-10-09T12:49:00.000+02:00,2019-10-10T13:00:00.000+02:00,n/a,n/a,n/a,7,100,2,0,0,7,10,2,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,annet,0,2019-10-10T16:08:20.000+02:00,2019-10-10T16:06:58.000+02:00,2019-10-10T16:08:20.000+02:00,uuid:3d98e25d-cba5-4160-88dd-0ce684611e5c,3d98e25d-cba5-4160-88dd-0ce684611e5c,2019-10-10T14:06:59,,
2019-10-10T16:08:20.000+02:00,5,1905,1905,2019-10-09T11:22:00.000+02:00,2019-10-09T12:49:00.000+02:00,2019-10-10T13:00:00.000+02:00,n/a,n/a,n/a,7,10,2,6,0,7,1,2,1,0,0,n/a,n/a,n/a,n/a,n/a,n/a,dorcas,0,2019-10-10T16:10:08.000+02:00,2019-10-10T16:08:20.000+02:00,2019-10-10T16:10:08.000+02:00,uuid:674cbb8f-ee84-4bae-9456-260f61b0b7c4,674cbb8f-ee84-4bae-9456-260f61b0b7c4,2019-10-10T14:08:46,,
2019-10-10T16:10:09.000+02:00,5,1904,1904,2019-10-09T11:22:00.000+02:00,2019-10-09T12:49:00.000+02:00,2019-10-10T13:00:00.000+02:00,n/a,n/a,n/a,7,10,2,4,0,7,1,2,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,dorcas,0,2019-10-10T16:11:50.000+02:00,2019-10-10T16:10:09.000+02:00,2019-10-10T16:11:50.000+02:00,uuid:0237d17b-32dd-4216-92ae-cbd00bda7004,0237d17b-32dd-4216-92ae-cbd00bda7004,2019-10-10T14:10:28,,
2019-10-10T16:11:50.000+02:00,7,1504,1504,2019-10-09T11:22:00.000+02:00,2019-10-09T12:49:00.000+02:00,2019-10-10T13:00:00.000+02:00,n/a,n/a,n/a,7,10,2,1,0,6,1,2,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,wilson,0,2019-10-10T16:13:24.000+02:00,2019-10-10T16:11:50.000+02:00,2019-10-10T16:13:24.000+02:00,uuid:6e2d5863-4131-4350-a9a6-ca74ef5f1db5,6e2d5863-4131-4350-a9a6-ca74ef5f1db5,2019-10-10T14:12:02,,
2019-10-10T16:13:24.000+02:00,7,1505,1505,2019-10-09T11:22:00.000+02:00,2019-10-09T12:49:00.000+02:00,2019-10-10T13:00:00.000+02:00,n/a,n/a,n/a,7,10,2,0,0,7,1,2,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,wilson,0,2019-11-01T08:14:47.000-04:00,2019-10-10T16:13:24.000+02:00,2019-11-01T08:14:47.000-04:00,uuid:7c46c26b-ba55-4e33-9ee6-d10fe96ea5cb,7c46c26b-ba55-4e33-9ee6-d10fe96ea5cb,2019-10-10T14:14:00,,
2019-10-10T16:15:23.000+02:00,8,1604,1604,2019-10-09T11:22:00.000+02:00,2019-10-09T12:49:00.000+02:00,2019-10-10T13:00:00.000+02:00,n/a,n/a,390,7,1,2,0,0,6,1,2,0,0,1,5,1,2,0,0,n/a,dorcas,0,2019-10-10T16:21:09.000+02:00,2019-10-10T16:15:23.000+02:00,2019-10-10T16:21:09.000+02:00,uuid:cd64ea83-765f-44f1-80f5-ea252f9e8230,cd64ea83-765f-44f1-80f5-ea252f9e8230,2019-10-10T14:19:47,,
2019-10-10T16:21:09.000+02:00,8,1605,1605,2019-10-09T11:22:00.000+02:00,2019-10-09T12:49:00.000+02:00,2019-10-10T13:00:00.000+02:00,n/a,n/a,340,7,1,2,0,0,6,1,2,0,0,1,5,1,2,0,0,n/a,dorcas,0,2019-10-10T16:22:51.000+02:00,2019-10-10T16:21:09.000+02:00,2019-10-10T16:22:51.000+02:00,uuid:cf5534c8-eda3-4ccb-bd07-c68a44d365bc,cf5534c8-eda3-4ccb-bd07-c68a44d365bc,2019-10-10T14:21:29,,
2019-10-10T16:22:51.000+02:00,10,1805,1805,2019-10-09T11:22:00.000+02:00,2019-10-09T12:49:00.000+02:00,2019-10-10T13:00:00.000+02:00,n/a,124,n/a,7,10,2,0,0,7,1,2,0,0,1,6,1,2,0,0,n/a,wilson,0,2019-10-10T16:25:57.000+02:00,2019-10-10T16:22:51.000+02:00,2019-10-10T16:25:57.000+02:00,uuid:09a0b874-e9ef-4d2a-aad7-5e3127cba038,09a0b874-e9ef-4d2a-aad7-5e3127cba038,2019-10-10T14:24:37,,
2019-10-10T16:25:57.000+02:00,10,1804,1804,2019-10-09T11:22:00.000+02:00,2019-10-09T12:49:00.000+02:00,2019-10-10T13:00:00.000+02:00,n/a,68.08,n/a,7,10,2,0,0,7,1,2,0,0,1,6,1,2,0,0,n/a,wilson,0,2019-10-10T16:28:44.000+02:00,2019-10-10T16:25:57.000+02:00,2019-10-10T16:28:44.000+02:00,uuid:bff9823c-cf90-4683-ad17-d615c1a12a83,bff9823c-cf90-4683-ad17-d615c1a12a83,2019-10-10T14:27:22,,
2019-10-10T16:28:44.000+02:00,11,1305,1305,2019-10-09T11:22:00.000+02:00,2019-10-09T12:49:00.000+02:00,2019-10-10T13:00:00.000+02:00,n/a,n/a,n/a,7,100,2,0,0,7,10,2,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,annet,0,2019-10-10T16:30:34.000+02:00,2019-10-10T16:28:44.000+02:00,2019-10-10T16:30:34.000+02:00,uuid:e89314eb-8560-4edf-afa6-dbdd0ca17a8a,e89314eb-8560-4edf-afa6-dbdd0ca17a8a,2019-10-10T14:29:13,,
