col_neighborhood,col_sample_type,col_id,col_id_val,col_start,col_location,_col_location_latitude,_col_location_longitude,_col_location_altitude,_col_location_precision,col_weather,col_rainyest,col_rainweek,col_rainmon,col_pa_prox,col_pa_type,col_pa_type_other,col_pa_latrine_distance,col_bw_type,col_bw_type_other,col_bw_container,col_bw_container_lid,col_bw_cl_id,col_bw_cl_free,col_bw_cl_total,col_f_latrine_distance,col_p_type,col_p_type_other,col_p_num,col_dw_type,col_dw_type_other,col_dw_container,col_dw_container_lid,col_dw_id,col_dw_cl_free,col_dw_cl_total,col_l_toilet_type,col_l_toilet_type_other,col_l_toilet_stalls,col_l_toilet_feces,col_l_toilet_users,col_l_toilet_hw,col_s_type,col_s_type_other,col_d_water_level,col_d_water_flow,col_d_size,col_d_lining,col_d_lining_oth,col_d_feces,col_d_animals,col_d_schools,col_d_urban_ag,col_d_public_latrines,col_d_hh_latrines,col_d_shops,col_d_hh,col_d_hh_num,col_sf_type,col_sf_type_other,col_o_type,col_o_type_other,col_notes,col_enum,col_photo,meta/instanceID,_uuid,_submission_time,_tags,_notes
269,10,5002,5002,2018-10-10T08:51:00.000Z,5.553662923366159 -0.18071554388500327 36.405591490104065 4.0,5.553662923366159,-0.18071554388500327,36.405591490104065,4.0,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,Opp VRA hospital and pharmacy osu,Francis ,1,uuid:cd0d1807-e948-4f9f-ae98-d0148cc29267,cd0d1807-e948-4f9f-ae98-d0148cc29267,2018-10-11T13:47:15,,
269,10,5003,5003,2018-10-10T08:54:00.000Z,5.552835941386117 -0.18270493617383288 35.34945577393694 4.0,5.552835941386117,-0.18270493617383288,35.34945577393694,4.0,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a,n/a,n/a,Within 50m of Christian council osu,Emma ,1,uuid:7b481584-2ff6-4e21-8060-a29ae12994e0,7b481584-2ff6-4e21-8060-a29ae12994e0,2018-10-11T13:47:15,,
269,9,8002,8002,2018-10-10T09:06:00.000Z,5.551689918847444 -0.1828987771227526 36.900607039317784 4.0,5.551689918847444,-0.1828987771227526,36.900607039317784,4.0,1,0,1,n/a,n/a,n/a,n/a,n/a,3,n/a,0,n/a,1200,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Free CL 0. 64
Total CL 0.70
Within 1m of public latrine and communal container dumping site",Francis ,1,uuid:5293f7d4-1198-4702-b6dc-acf0860a1dde,5293f7d4-1198-4702-b6dc-acf0860a1dde,2018-10-11T13:47:16,,
269,8,6004,6004,2018-10-10T09:15:00.000Z,5.551622347500054 -0.18310257192116597 18.939467473822916 4.0,5.551622347500054,-0.18310257192116597,18.939467473822916,4.0,1,0,1,n/a,3,3,n/a,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Communal container site ,Vitus,1,uuid:398bbcfb-9066-40d4-ab16-e7138844a419,398bbcfb-9066-40d4-ab16-e7138844a419,2018-10-11T13:47:16,,
269,10,5004,5004,2018-10-10T09:26:00.000Z,5.55205393689176 -0.1833717130779395 33.91616227598042 4.0,5.55205393689176,-0.1833717130779395,33.91616227598042,4.0,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,Within 20m of public latrine and 1m of osu alata market ,Vitus,1,uuid:e49ad4d4-13bf-4bdb-a216-121b1f02b69a,e49ad4d4-13bf-4bdb-a216-121b1f02b69a,2018-10-11T13:47:17,,
269,10,5005,5005,2018-10-10T09:51:00.000Z,5.553145253486329 -0.1846725127982931 42.16601483849109 4.0,5.553145253486329,-0.1846725127982931,42.16601483849109,4.0,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,Within 1m of open drain ,Emmanuel ,1,uuid:6810128b-7712-431d-afc8-4a04342a052a,6810128b-7712-431d-afc8-4a04342a052a,2018-10-11T13:47:18,,
269,8,6005,6005,2018-10-10T09:53:00.000Z,5.553044657801335 -0.18489728206188444 42.44562725692199 4.0,5.553044657801335,-0.18489728206188444,42.44562725692199,4.0,1,0,1,n/a,4,3,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Within 50m of Presbyterian church opp,Francis ,1,uuid:e3974844-e8eb-470c-96a0-2c76f0d8dc48,e3974844-e8eb-470c-96a0-2c76f0d8dc48,2018-10-11T13:47:18,,
269,9,8003,8003,2018-10-10T10:16:00.000Z,5.5502599795818774 -0.18413219066100261 38.00112815465814 4.0,5.5502599795818774,-0.18413219066100261,38.00112815465814,4.0,1,0,1,n/a,n/a,n/a,n/a,n/a,3,n/a,0,n/a,1200,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Free CL 0.62
Total CL 0.67
Within 1m of open drain ",Vitus,1,uuid:8f8deab0-e4a6-4675-97ed-d1378cb1591a,8f8deab0-e4a6-4675-97ed-d1378cb1591a,2018-10-11T13:47:19,,
269,9,8004,8004,2018-10-10T10:38:00.000Z,5.5493315167816695 -0.18606017425092763 22.51043139977422 4.0,5.5493315167816695,-0.18606017425092763,22.51043139977422,4.0,1,0,1,n/a,n/a,n/a,n/a,n/a,1,n/a,0,n/a,1200,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Free CL 0.68
Total CL 0.73
Within 3m Tunmai street ",Vitus,1,uuid:1ad5530c-11a7-43c2-9652-dd0233335a20,1ad5530c-11a7-43c2-9652-dd0233335a20,2018-10-11T13:47:19,,
269,9,8005,8005,2018-10-10T10:59:00.000Z,5.549636867147563 -0.1838388779282271 30.908539387582014 4.0,5.549636867147563,-0.1838388779282271,30.908539387582014,4.0,1,0,1,n/a,n/a,n/a,n/a,n/a,3,n/a,0,n/a,1200,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Free CL 0.62
Total CL 0.70
According to attendants the water sometimes  smell especially when stored. ",Vitus,1,uuid:e91ba826-539e-443c-a9ee-18e1aaa94e03,e91ba826-539e-443c-a9ee-18e1aaa94e03,2018-10-11T13:50:44,,
