sampleid,sample_type,col_start_dt,lab_sf_weight,ec_denom,count1,count2,dil1,dil2,count3,dil3,ec_conc,renuka_ec,log_ec,log_renuka_ec
SF1010,10,2019/07/24 10:32:00,200,1800,998,998,10,1,2,0.1,36000,36000,4.556302500767287,4.556302500767287
SF1011,10,2019/08/29 07:25:57,148,1332,999,3,10,1,0,0.1,3996,NA,3.601625479553945,NA
SF1012,10,2019/08/29 07:55:28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SF1013,10,2019/09/04 07:30:50,221.8,1996.2,998,1,1,0.1,0,0.01,19962,NA,4.300204051252466,NA
SF1014,10,2019/09/04 10:26:24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SF2001,10,2020/01/22 06:59:18,105,945,0,0,1,0.1,0,0.01,472.5,0,2.674401812845282,NA
SF2001OLD,10,2019/05/07 08:26:26,120,1080,0,0,1,0.1,0,0.01,540,NA,2.7323937598229686,NA
SF2002,10,2020/02/11 05:46:22,25,225,0,0,0.1,0.01,0,0.001,1125,NA,3.0511525224473814,NA
SF2003,10,2020/02/25 08:31:31,109,981,0,0,0.1,0.01,0,0.001,4905,0,3.6906390117159673,NA
SF2004,10,2020/03/16 04:17:03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL1001,8,2019/05/27 04:15:30,NA,2,998,998,1,0.1,101,0.01,20200,200,4.3053513694466234,2.3010299956639813
SL1002,8,2019/05/27 04:24:56,NA,2,49,0,1,0.1,0,0.01,98,98,1.9912260756924949,1.9912260756924949
SL1003,8,2019/06/03 06:10:31,NA,2,27,7,1,0.1,4,0.01,54,800,1.7323937598229686,2.9030899869919438
SL1004,8,2019/06/03 06:44:43,NA,2,998,999,1,0.1,180,0.01,36000,36000,4.556302500767287,4.556302500767287
SL1005,8,2019/07/23 06:48:32,NA,2,999,72,1,0.1,0,0.01,1440,1440,3.1583624920952498,3.1583624920952498
SL1006,8,2019/07/23 07:07:57,NA,2,0,0,1,0.1,0,0.01,1,0,0,NA
SL1007,8,2019/07/31 08:17:10,NA,2,998,26,1,0.1,3,0.01,520,560,2.716003343634799,2.7481880270062002
SL1008,8,2019/07/31 08:25:06,NA,2,0,0,1,0.1,0,0.01,1,0,0,NA
SL1009,8,2019/08/05 04:57:27,NA,2,998,998,1,0.1,998,0.01,40000,NA,4.6020599913279625,NA
SL1010,8,2019/08/20 07:35:24,NA,2,998,998,1,0.1,999,0.01,40000,NA,4.6020599913279625,NA
SL1011,8,2019/08/29 06:41:38,NA,2,0,0,0.01,0.001,NA,NA,100,NA,2,NA
