"","id","ward","neighborhood"
"1","PL1023",58,NA
"2","PL1023",58,NA
"3","PL1023",58,NA
"4","PL1034",58,NA
"5","PL1035",58,NA
"6","PLC1096",59,NA
"7","PLC1096",59,NA
"8","PLC1204",59,NA
"9","PLC1204",59,NA
"10","PLC1222",59,NA
"11","PLC1223",59,NA
"12","PLC1224",59,NA
"13","PLC1225",59,NA
"14","MO1052",57,NA
"15","MO1052",57,NA
"16","MO1098",66,NA
"17","MO1098",66,NA
"18","MO1098",66,NA
"19","MO1098",66,NA
"20","MO1222",57,NA
"21","MO1223",57,NA
"22","MO1224",55,NA
"23","MO1225",57,NA
"24","MO1226",6,NA
"25","MO1227",3,NA
"26","MO1228",29,NA
"27","MO1229",11,NA
"28","MO1230",10,NA
"29","MO1231",66,NA
"30","MO1232",59,NA
"31","MO1233",65,NA
"32","UF1003",65,NA
"33","UF1004",59,NA
"34","UF1030",57,NA
"35","UF1031",65,NA
"36","RP2002",58,2
"37","RP2002",58,2
"38","RP2005",58,2
"39","RP2006",58,2
"40","DW2002",58,2
"41","DWB2001",58,2
"42","SW1004",58,1
"43","SW1004",58,1
"44","SW1004",58,1
"45","SW1004",58,1
"46","SW2004",58,2
"47","LS1010",58,1
"48","LS1010",58,1
"49","LS1011",58,1
"50","LS1011",58,1
"51","LS1012",58,1
"52","LS1012",58,1
"53","LS1012",58,1
"54","LS2002",58,2
"55","LS2003",58,2
"56","SL1007",58,1
"57","SL1008",58,1
"58","SL2005",58,2
"59","BW2004",58,2
"60","SF1008",58,1
"61","SF1008",58,1
"62","SF1008",58,1
"63","SF1012",58,1
"64","SF1012",58,1
"65","SF1012",58,1
"66","SF1012",58,1
"67","SF1012",58,1
"68","SF1012",58,1
"69","SF1013",58,1
"70","SF1013",58,1
"71","SF1013",58,1
"72","SF1014",58,1
"73","SF1014",58,1
"74","SF1014",58,1
"75","SF1014",58,1
"76","SF2004",58,2
"77","FPD1004",58,1
"78","FPD1004",58,1
"79","FPB1004",58,1
"80","COB2007",58,2
"81","COB2007",58,2
"82","COB2008",58,2
"83","COB2008",58,2
"84","COB2009",58,2
"85","COB2009",58,2
"86","COA2003",58,2
"87","COA2003",58,2
"88","COB2010",58,2
"89","COB2010",58,2
"90","COB2011",58,2
"91","COB2011",58,2
"92","COB2012",58,2
"93","COB2012",58,2
"94","COA2004",58,2
"95","COA2004",58,2
"96","FPD2003",58,2
"97","FB1006",59,NA
"98","FB1006",59,NA
"99","FB1007",59,NA
"100","FB1007",59,NA
"101","FB1008",57,NA
"102","FB1009",59,NA
"103","FB1009",59,NA
"104","FB1010",66,NA
"105","FB1010",66,NA
"106","FB1011",59,NA
"107","FB1011",59,NA
"108","FB1017",58,NA
"109","FB1017",58,NA
"110","FB1019",66,NA
"111","FB1019",66,NA
"112","FB1019",66,NA
"113","FB1019",66,NA
"114","FB1019",66,NA
"115","FB1019",66,NA
"116","FB1020",58,NA
"117","FB1020",58,NA
"118","FB1020",58,NA
"119","FB1020",58,NA
"120","FB1020",58,NA
"121","FB1020",58,NA
"122","FB1020",58,NA
"123","FB1021",59,NA
"124","FB1021",59,NA
"125","FB1021",59,NA
"126","FB1021",59,NA
"127","FB1021",59,NA
"128","FB1023",57,NA
"129","FB1023",57,NA
"130","FB1023",57,NA
"131","FB1023",57,NA
"132","FB1023",57,NA
"133","FB1023",57,NA
