id,question,response,answer_text,count_yes,count_missing
627,90,109,None,1,0
628,93,109,None,11,0
629,92,109,None,14,0
630,95,109,None,0,0
631,94,109,None,0,0
632,97,109,None,0,0
633,96,109,None,0,0
634,3,109,None,0,0
635,2,109,None,0,0
636,1,109,None,0,0
637,59,109,None,4,0
638,58,109,None,0,0
639,55,109,None,13,0
640,57,109,None,2,0
641,56,109,None,3,0
642,51,109,None,1,0
643,50,109,None,3,0
644,53,109,None,1,0
645,52,109,None,0,0
646,28,109,None,1,0
647,29,109,None,6,0
648,27,109,None,2,0
649,64,109,None,3,0
650,65,109,None,14,0
651,67,109,None,1,0
652,60,109,None,17,0
653,62,109,None,1,0
654,63,109,None,4,0
655,68,109,None,4,0
656,69,109,None,0,0
657,39,109,None,1,0
658,38,109,None,3,0
659,36,109,None,8,0
660,34,109,None,0,0
661,33,109,None,0,0
662,32,109,None,2,0
663,30,109,None,13,0
664,79,109,None,16,0
665,78,109,None,0,0
666,73,109,None,2,0
667,71,109,None,9,0
668,70,109,None,8,0
669,76,109,None,11,0
670,75,109,None,4,0
671,74,109,None,5,0
672,88,109,None,20,0
673,89,109,None,1,0
674,82,109,None,5,0
675,83,109,None,22,0
676,80,109,None,1,0
677,81,109,None,10,0
678,86,109,None,0,0
679,84,109,None,22,0
680,85,109,None,22,0
681,35,109,None,12,0
682,49,109,None,17,0
683,46,109,None,8,0
684,47,109,None,7,0
685,44,109,None,1,0
686,45,109,None,4,0
687,43,109,None,2,0
688,40,109,None,13,0
689,41,109,None,5,0
690,99,110,None,0,0
691,98,110,None,0,0
692,90,110,None,1,0
693,93,110,None,3,0
694,92,110,None,12,0
695,95,110,None,0,0
696,94,110,None,5,0
697,97,110,None,0,0
698,96,110,None,0,0
699,3,110,None,0,0
700,2,110,None,9,0
701,1,110,None,0,4
702,59,110,None,2,0
703,58,110,None,4,0
704,55,110,None,5,0
705,57,110,None,0,0
706,56,110,None,2,0
707,51,110,None,0,0
708,50,110,None,3,0
709,53,110,None,0,0
710,52,110,None,3,0
711,28,110,None,1,0
712,29,110,None,0,0
713,27,110,None,0,0
714,64,110,None,2,0
715,65,110,None,9,0
716,67,110,None,2,0
717,60,110,None,7,0
718,62,110,None,0,0
719,63,110,None,2,0
720,68,110,None,0,0
721,69,110,None,2,0
722,39,110,None,0,0
723,38,110,None,0,0
724,36,110,None,4,0
725,34,110,None,0,0
726,33,110,None,0,0
727,32,110,None,0,0
728,30,110,None,12,0
729,79,110,None,0,0
730,78,110,None,0,0
731,73,110,None,2,0
732,71,110,None,4,0
733,70,110,None,5,0
734,76,110,None,5,0
735,75,110,None,6,0
736,74,110,None,0,0
737,88,110,None,7,0
738,89,110,None,2,0
739,82,110,None,6,0
740,83,110,None,10,0
741,80,110,None,1,0
742,81,110,None,6,0
743,86,110,None,0,0
744,84,110,None,10,0
745,85,110,None,10,0
746,35,110,None,9,0
747,49,110,None,7,0
748,46,110,None,8,0
749,47,110,None,5,0
750,44,110,None,0,0
751,45,110,None,0,0
752,43,110,None,0,0
753,40,110,None,3,0
754,41,110,None,10,0
755,99,111,None,0,0
756,98,111,None,0,0
757,90,111,None,0,0
758,93,111,None,8,0
759,92,111,None,10,0
760,95,111,None,0,0
761,94,111,None,1,0
762,97,111,None,0,0
763,96,111,None,0,0
764,3,111,None,0,0
765,2,111,None,0,0
766,1,111,None,10,0
767,59,111,None,3,0
768,58,111,None,1,0
769,55,111,None,15,0
770,57,111,None,0,0
771,56,111,None,0,0
772,51,111,None,0,0
773,50,111,None,0,0
774,53,111,None,2,0
775,52,111,None,1,0
776,28,111,None,0,0
777,29,111,None,4,0
778,27,111,None,0,0
779,64,111,None,0,0
780,65,111,None,17,0
781,67,111,None,1,0
782,60,111,None,16,0
783,62,111,None,2,0
784,63,111,None,0,0
785,68,111,None,1,0
786,69,111,None,0,0
787,39,111,None,2,0
788,38,111,None,0,0
789,36,111,None,16,0
790,34,111,None,1,0
791,33,111,None,0,0
792,32,111,None,0,0
793,30,111,None,15,0
794,79,111,None,0,0
795,78,111,None,0,0
796,73,111,None,0,0
797,71,111,None,6,0
798,70,111,None,11,0
799,76,111,None,14,0
800,75,111,None,4,0
801,74,111,None,1,0
802,88,111,None,13,0
803,89,111,None,1,0
804,82,111,None,7,0
805,83,111,None,14,0
806,80,111,None,2,0
807,81,111,None,10,0
808,86,111,None,1,0
809,84,111,None,14,0
810,85,111,None,14,0
811,35,111,None,2,0
812,49,111,None,16,0
813,46,111,None,8,0
814,47,111,None,10,0
815,44,111,None,0,0
816,45,111,None,1,0
817,43,111,None,0,0
818,40,111,None,7,0
819,41,111,None,10,0
820,99,112,None,0,0
821,98,112,None,0,0
822,90,112,None,0,0
823,93,112,None,12,0
824,92,112,None,8,0
825,95,112,None,0,0
826,94,112,None,1,0
827,97,112,None,0,0
828,96,112,None,1,0
829,3,112,None,0,0
830,2,112,None,12,0
831,1,112,None,8,0
832,59,112,None,1,0
833,58,112,None,0,0
834,55,112,None,15,0
835,57,112,None,0,0
836,56,112,None,4,0
837,51,112,None,3,0
838,50,112,None,2,0
839,53,112,None,0,0
840,52,112,None,0,0
841,28,112,None,1,0
842,29,112,None,10,0
843,27,112,None,3,0
844,64,112,None,3,0
845,65,112,None,5,0
846,67,112,None,7,0
847,60,112,None,14,0
848,62,112,None,8,0
849,63,112,None,4,0
850,68,112,None,2,0
851,69,112,None,2,0
852,39,112,None,2,0
853,38,112,None,4,0
854,36,112,None,2,0
855,34,112,None,9,0
856,33,112,None,2,0
857,32,112,None,0,0
858,30,112,None,6,0
859,79,112,None,4,0
860,78,112,None,3,0
861,73,112,None,7,0
862,71,112,None,6,0
863,70,112,None,3,0
864,76,112,None,2,0
865,75,112,None,4,0
866,74,112,None,7,0
867,88,112,None,6,0
868,89,112,None,1,0
869,82,112,None,5,0
870,83,112,None,7,0
871,80,112,None,5,0
872,81,112,None,3,0
873,86,112,None,0,0
874,84,112,None,7,0
875,85,112,None,7,0
876,35,112,None,7,0
877,49,112,None,15,0
878,46,112,None,8,0
879,47,112,None,1,0
880,44,112,None,1,0
881,45,112,None,6,0
882,43,112,None,4,0
883,40,112,None,8,0
884,41,112,None,6,0
885,203,113,None,4,0
886,202,113,None,0,0
887,201,113,None,0,0
888,200,113,None,0,0
889,249,113,None,11,1
890,247,113,None,3,0
891,246,113,None,0,0
892,245,113,None,0,0
893,244,113,None,1,0
894,243,113,None,0,0
895,241,113,None,6,1
896,240,113,None,6,1
897,298,113,None,0,0
898,299,113,None,0,0
899,290,113,None,0,0
900,292,113,None,4,0
901,293,113,None,4,0
902,294,113,None,10,0
903,295,113,None,0,0
904,296,113,None,2,0
905,297,113,None,0,0
906,258,113,None,2,1
907,259,113,None,0,0
908,255,113,None,2,1
909,256,113,None,0,1
910,257,113,None,0,1
911,250,113,None,1,1
912,251,113,None,0,1
913,252,113,None,0,1
914,253,113,None,1,1
915,229,113,None,7,0
916,228,113,None,0,0
917,227,113,None,3,0
918,265,113,None,2,0
919,264,113,None,5,0
920,267,113,None,0,0
921,260,113,None,12,0
922,263,113,None,5,0
923,262,113,None,2,0
924,269,113,None,0,0
925,268,113,None,1,0
926,238,113,None,0,1
927,239,113,None,1,1
928,236,113,None,3,0
929,234,113,None,1,0
930,235,113,None,0,0
931,232,113,None,0,0
932,233,113,None,0,0
933,230,113,None,4,0
934,278,113,None,0,0
935,279,113,None,1,0
936,273,113,None,9,0
937,270,113,None,1,0
938,271,113,None,2,0
939,276,113,None,6,0
940,274,113,None,0,0
941,275,113,None,0,0
942,289,113,None,2,0
943,288,113,None,6,0
944,283,113,None,8,0
945,282,113,None,1,0
946,281,113,None,0,0
947,280,113,None,2,0
948,286,113,None,2,0
949,285,113,None,8,0
950,284,113,None,7,0
951,203,114,None,3,0
952,202,114,None,0,0
953,201,114,None,0,0
954,200,114,None,0,0
955,249,114,None,7,0
956,247,114,None,0,0
957,246,114,None,0,0
958,245,114,None,2,0
959,244,114,None,1,0
960,243,114,None,0,0
961,241,114,None,6,0
962,240,114,None,3,0
963,298,114,None,0,0
964,299,114,None,0,0
965,290,114,None,3,0
966,292,114,None,11,0
967,293,114,None,4,0
968,294,114,None,7,0
969,295,114,None,0,0
970,296,114,None,2,0
971,297,114,None,0,0
972,258,114,None,0,0
973,259,114,None,0,0
974,255,114,None,3,0
975,256,114,None,0,0
976,257,114,None,0,0
977,250,114,None,0,0
978,251,114,None,1,0
979,252,114,None,0,0
980,253,114,None,4,0
981,229,114,None,0,0
982,228,114,None,0,0
983,227,114,None,2,0
984,265,114,None,10,0
985,264,114,None,1,0
986,267,114,None,0,0
987,260,114,None,2,0
988,263,114,None,0,0
989,262,114,None,1,0
990,269,114,None,0,0
991,268,114,None,1,0
992,238,114,None,3,0
993,239,114,None,0,0
994,236,114,None,0,0
995,234,114,None,1,0
996,235,114,None,0,0
997,232,114,None,2,0
998,233,114,None,0,0
999,230,114,None,10,0
1000,278,114,None,1,0
1001,279,114,None,0,0
1002,273,114,None,3,0
1003,270,114,None,1,0
1004,271,114,None,1,0
1005,276,114,None,8,0
1006,274,114,None,0,0
1007,275,114,None,1,0
1008,289,114,None,4,0
1009,288,114,None,5,0
1010,283,114,None,10,0
1011,282,114,None,0,0
1012,281,114,None,2,0
1013,280,114,None,0,0
1014,286,114,None,2,0
1015,285,114,None,10,0
1016,284,114,None,10,0
1017,203,115,None,6,0
1018,202,115,None,0,0
1019,201,115,None,0,0
1020,200,115,None,0,0
1021,249,115,None,7,0
1022,247,115,None,1,0
1023,246,115,None,2,0
1024,245,115,None,1,0
1025,244,115,None,0,0
1026,243,115,None,2,0
1027,241,115,None,2,0
1028,240,115,None,2,0
1029,298,115,None,0,0
1030,299,115,None,0,0
1031,290,115,None,3,0
1032,292,115,None,9,0
1033,293,115,None,5,0
1034,294,115,None,10,0
