id,transect_walk,key_point_type,location_name,street_name,GPS_latitude,GPS_longitude,closest_landmark,photo_taken
50,3,BATHING WATER,CPW006,KADARPET 2nd STREET,12.89868,79.12599,TO FARITHAS HOUSE,True
51,3,CHILDREN'S PLAY SOIL,CPSL006,KADARPET 2nd STREET OPEN PLACE,12.8989,79.12577,TO FARITHA'S HOUSE,True
52,3,BATHING WATER ,CPW007,PANATHOPPU 2nd STREET,12.89928,79.12572,OM SAKTHI TEMPLE,True
53,3,BATHING WATER,CPW008,PANATHOPPU 2 nd STREET,12.90029,79.12592,NEAR MALLIGAI HOUSE,True
54,3,CHILDREN'S PALY SOIL,CPSL007,PANATHOPPU 2nd STREET,12.90043,79.12555,SCHOOL,True
55,3,SCHOOL TOILET,CPT003,PANATHOPPU 2nd STREET,12.90053,79.12561,SCHOOL,False
56,4,PUBLIC TOILET,CPT004,KUMASATHA ABDUL KADHAR STREET,12.90159,79.12766,MUSLIM MARIAL GROUND NEAR,False
57,4,CHILD PLAY AREA,CPSL008,KUMASATHA ABDUL KADHAR STREET,12.90198,79.12761,MUSTHAN BEEP STALL & TEA SHOP,False
58,4,BATHING WATER,CPW009,KUMASATHA ABDHUL KADHAR STREET,12.90201,79.12704,BLUE COLOUR TANK,False
59,4,CHILD PLAY AREA ,CPSL009,MARIYAMMAN STREET,12.90254,79.12704,PRAVEEN,False
60,4,BATHING WATER,CPW010,S.L.A.K STREET,12.90184,79.12568,N.S SECOND SERVICE OPPOSITE,False
61,4,CHILD PALY AREA,CPSL010,CAP CLINIC OPPOSITE,12.90123,79.1235,TEMPLE NEAR,False
62,4,VEGETABLE,CPVG004,S.S.K. STREET BAZAR STREET,12.90298,79.12327,OPPOSITE TO BIG LAB,False
63,4,PUBLIC AREA,CPSL011,PONNIAMMAN EXTENSION,12.90442,79.12019,BIG ORANGE COLOUR HOUSE,False
