sample_id,project,neighborhood,sample_type,sample_name,collection_datetime,way_point,GPS_latitude,GPS_longitude,notes,processing_datetime,incubation_start_datetime,incubation_end_datetime,dilution1,dilution2,count1,count2,plate1_tntc,plate2_tntc,produce_weight,blank_count,collector_name,lab_operator_name
30,1,1,3,PVG007,3/12/2014 8:43,PVG007,12.91289,79.1381,,3/12/2014 14:00,3/12/2014 16:00,3/13/2014 16:00,100,1000,None,35,TRUE,FALSE,25,0,A.GEETHA,DANIEL
31,1,1,1,PSL005,3/12/2014 8:51,PSL005,12.91249,79.13819,,3/12/2014 14:00,3/12/2014 16:00,3/13/2014 16:00,100,1000,2,0,FALSE,FALSE,None,0,A.GEETHA,DANIEL
32,1,1,3,PVG006,3/11/2014 9:25,PVG006,12.90015,79.12305,NEAR OPEN DRAINAGE,3/11/2014 14:00,3/11/2014 16:00,3/12/2014 16:00,100,1000,170,16,FALSE,FALSE,75,0,T.THENPANDIYAN,DANIEL
33,1,1,4,PPW003,3/11/2014 10:45,PUBA1,12.91255,79.13816,NEAR OPEN DRAINAGE & CHILD PLAYING AREA,3/11/2014 14:00,3/11/2014 16:00,3/12/2014 16:00,1,10,0,0,FALSE,FALSE,None,0,T.THENPANDIYAN,DANIEL
34,1,1,4,PPW004,3/19/2014 8:50,PPW004,12.91231,79.14339,OPEN DRAIN AND ANIMAL FECES VISIBLE PIGS PLAYING IN THE OPEN DRAIN.,3/19/2014 14:00,3/19/2014 16:00,3/20/2014 16:00,1,10,None,10,TRUE,FALSE,None,0,B.ANNAI,DANIEL
35,1,1,7,PBW007,3/19/2014 8:10,PBW007,12.91254,79.14198,"NEAR THE TANK,  TEMPLE IS THERE, AND ALSO OPEN DRAIN AVAILABLE, ANIMAL WASTAGES VISIBLE",3/19/2014 14:00,3/19/2014 16:00,3/20/2014 9:13,1,10,1,0,FALSE,FALSE,None,0,B.ANNAI,DANIEL
36,1,1,7,PBW008,3/19/2014 8:20,PBW008,12.9122,79.19384,"NEAR THE TANK CHILD PLAY AREA AVAILABLE OPEN DRAIN ALSO VISIBLE, ANIMAL FECES ALSO VISIBLE.",3/19/2014 14:00,3/19/2014 9:29,3/20/2014 16:00,1,10,0,0,FALSE,FALSE,None,0,B.ANNAI,DANIEL
37,1,1,7,PBW009,3/19/2014 8:35,PBW009,12.91139,79.14675,"NEAR THE TANK DRAIN AND CHILDREN PLAY AREA IS THERE, AND ANIMAL FECES ALSO VISIBLE.",3/19/2014 14:00,3/19/2014 16:00,3/20/2014 16:00,1,10,0,0,FALSE,FALSE,None,0,B.ANNAI,DANIEL
38,1,1,7,PBW010,3/19/2014 8:45,PBW010,12.91125,79.14806,NEAR THE TANK AGRICULTURE LAND IS THERE. TEMPLE ALSO THERE.,3/19/2014 14:00,3/19/2014 16:00,3/20/2014 16:00,1,10,0,0,FALSE,FALSE,None,0,B.ANNAI,DANIEL
39,1,1,1,PSL009,3/14/2014 9:50,PSL009,12.91452,79.14073,"NEAR TEMPLE, NEAR DAMAGE DRAINAGE AND ANIMAL PLACES MIXED IN THIS SOIL.",3/14/2014 14:00,3/14/2014 16:00,3/15/2014 12:00,100,1000,17,2,FALSE,FALSE,None,0,A.GEETHA,DANIEL
