lab_start_dt,subscriberid,simserial,deviceid,today,lab_end_dt,lab_ward,lab_neighborhood,lab_sample_type,lab_sample_type_fp,lab_sample_type_co,lab_id,lab_id_val,lab_dna_yn,lab_dna_date,lab_closing,lab_notes,lab_enum,__version__,_id,_uuid,_submission_time,_index
2019-11-21T11:04:18.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019/11/21 00:00:00,2019-11-21T11:04:44.000-07:00,58,1,14,145,NA,FPe1004,FPe1004,1,2019-11-07T15:00:00.000-07:00,NA,NA,5,vZuNQT2A5qaSmAjh3k5sZF,5362,33e36f50-e6cd-46a9-875a-eda46d664730,2019-11-21T05:32:02,575
2019-11-21T11:04:44.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019/11/21 00:00:00,2019-11-21T11:05:08.000-07:00,58,1,14,141,NA,FPa1004,FPa1004,1,2019-11-07T15:00:00.000-07:00,NA,NA,5,vZuNQT2A5qaSmAjh3k5sZF,5363,256c9057-4c38-4b41-af48-8faf0b3ea1db,2019-11-21T05:32:26,576
2019-11-21T11:05:08.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019/11/21 00:00:00,2019-11-21T11:05:32.000-07:00,58,1,14,143,NA,FPc1004,FPc1004,1,2019-11-07T15:00:00.000-07:00,NA,NA,5,vZuNQT2A5qaSmAjh3k5sZF,5364,41b81021-cf76-4bb0-8ea8-b4829303c6b2,2019-11-21T05:32:50,577
2019-11-21T11:05:32.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019/11/21 00:00:00,2019-11-21T11:06:46.000-07:00,58,1,99,NA,NA,FB1118UP,FB1118UP,1,2019-11-07T15:00:00.000-07:00,NA,"Associated Sample FPa1004. FPb1004, FPc1004, FPd1004, FPe1004",5,vZuNQT2A5qaSmAjh3k5sZF,5365,68969db5-6ee3-4b36-84d8-fdae1cfc909e,2019-11-21T05:34:06,578
2019-11-21T11:06:46.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019/11/21 00:00:00,2019-11-21T11:07:29.000-07:00,33,1,98,NA,NA,UPNC44,UPNC44,1,2019-11-07T15:00:00.000-07:00,NA,NA,5,vZuNQT2A5qaSmAjh3k5sZF,5366,7545cf68-0ffa-4829-80fe-1d2f836e2a2d,2019-11-21T05:34:47,579
2019-11-21T11:07:29.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019/11/21 00:00:00,2019-11-21T11:08:19.000-07:00,66,1,12,NA,NA,MO1114,MO1114,1,2019-11-08T15:00:00.000-07:00,NA,NA,5,vZuNQT2A5qaSmAjh3k5sZF,5367,777e1365-4020-47b2-bbcb-a06a3f0d11bd,2019-11-21T05:35:37,580
2019-11-21T11:08:20.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019/11/21 00:00:00,2019-11-21T11:08:58.000-07:00,66,1,99,NA,NA,FB1125UP,FB1125UP,1,2019-11-08T15:00:00.000-07:00,NA,Associated Sample MO1114,5,vZuNQT2A5qaSmAjh3k5sZF,5368,c05f3ded-da73-4d9e-81a0-a37fd0f74ad1,2019-11-21T05:36:17,581
2019-11-21T11:08:59.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019/11/21 00:00:00,2019-11-21T11:09:26.000-07:00,59,1,12,NA,NA,MO1115,MO1115,1,2019-11-08T15:00:00.000-07:00,NA,NA,5,vZuNQT2A5qaSmAjh3k5sZF,5369,5bff4220-e74d-4867-adb6-8e8bed196c87,2019-11-21T05:36:44,582
2019-11-21T11:09:26.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019/11/21 00:00:00,2019-11-21T11:10:10.000-07:00,59,1,99,NA,NA,FB1124UP,FB1124UP,1,2019-11-08T15:00:00.000-07:00,NA,Associated Sample MO1115,5,vZuNQT2A5qaSmAjh3k5sZF,5370,b52d60cb-efc3-4bab-aa0d-68ae8cb78128,2019-11-21T05:37:28,583
2019-11-21T11:10:10.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019/11/21 00:00:00,2019-11-21T11:10:42.000-07:00,59,1,11,NA,NA,PLc1068,PLc1068,1,2019-11-08T15:00:00.000-07:00,NA,NA,5,vZuNQT2A5qaSmAjh3k5sZF,5371,91b6fbfe-819d-4192-bc76-344db50314bb,2019-11-21T05:38:01,584
