"deviceid","h_id","h_start","h_coordinates","X_h_coordinates_latitude","X_h_coordinates_longitude","X_h_coordinates_altitude","X_h_coordinates_precision","h_neighborhood","h_home_type","h_rainweek","h_population","h_c","h_s","h_s_a","h_s_a_other","h_s_c","h_s_c_other","h_d","h_d_a","h_d_a_other","h_d_c","h_d_c_other","h_f","h_f_a","h_f_a_other","h_f_c","h_f_c_other","h_dw","h_dw_a_other","h_dw_c_other","h_dw_e_wt_note","h_dw_e_wt","h_dw_e_wt_other","h_o","h_o_a","h_o_a_other","h_o_c","h_o_c_other","h_bw","h_bw_a","h_bw_a_other","h_bw_c","h_bw_c_other","h_p","h_p_a","h_p_a_other","h_p_c","h_p_c_other","h_p_e","h_p_e_other","h_sf","h_sf_a","h_sf_a_other","h_sf_c","h_sf_c_other","h_l","h_l_a","h_l_a_other","h_l_c","h_l_c_other","h_pl","h_pl_a_th","h_pl_a_th_other","h_pl_a_tu","h_pl_a_tu_other","h_pl_a_tw","h_pl_a_tw_other","h_pl_a_tf","h_pl_a_tf_other","h_pl_a_ts","h_pl_a_ts_other","h_pl_a_od","h_pl_a_od.1","h_pl_a_od.2","h_pl_a_od.3","h_pl_a_od.4","h_pl_a_od.5","h_pl_a_od.6","h_pl_a_od.7","h_pl_a_od_other","h_end","h_notes","h_enum","X_id","X_uuid","X_submission_time","X_index","h_extra_data","dply_num","h_UID","h_date","neighb_num","h_sex","h_dw_a","h_odw_a_other","h_dw_c","h_odw_c_other","h_bw_source","h_bw_source_other","meta.instanceID","X_tags","X_notes"
,1081,"2018-11-15T11:02:00.000+03","0.3558816666666667 32.56176 1144.4 4.4",0.355881666666667,32.56176,1144.4,4.4,3,2,1,5,1,,4,"",4,"",,1,,2,,,3,,3,,,,,,1,,,,,,,,1,,2,,,2,"",2,"",1,"",,3,,3,,,1,"",2,"",,2,"",,,,"",,,,"",,0,1,0,0,0,0,0,,,"We lack national water, and also we only have one toilet in the entire compound of 10houses","Mugisha kwiringira",,"28f52c95-da7c-4600-afdb-2db43368c6ea","2018-11-16T08:00:40",,1,9,"09_1081","2018-11-15",903,1,1,,1,,2,,"uuid:28f52c95-da7c-4600-afdb-2db43368c6ea",,
,1082,"2018-11-15T11:35:00.000+03","0.3572783333333333 32.56125833333333 1161.6 5.0",0.357278333333333,32.5612583333333,1161.6,5,3,2,1,6,1,,4,"",4,"",,2,,5,,,2,,3,,,,,,2,,,,,,,,1,,2,,,4,"",4,"",3,"",,4,,5,,,4,"",4,"",,1,"",1,,2,"",2,,1,"",,1,0,0,0,0,0,0,,,"","Mugisha kwiringira",,"3d1663ca-874c-4886-8d4e-bb0d947fc615","2018-11-16T08:00:41",,1,9,"09_1082","2018-11-15",903,2,1,,1,,2,,"uuid:3d1663ca-874c-4886-8d4e-bb0d947fc615",,
,1083,"2018-11-15T11:50:00.000+03","0.3573866666666667 32.56117666666667 1188.4 4.7",0.357386666666667,32.5611766666667,1188.4,4.7,3,2,1,6,1,,2,"",5,"",,1,,2,,,3,,3,,,,,,2,,,,,,,,1,,2,,,2,"",2,"",1,"",,4,,5,,,4,"",4,"",,1,"",1,,2,"",2,,1,"",,1,0,0,0,0,0,0,,,"","Mugisha kwiringira",,"21cdb20a-f214-47d1-b202-167511b28293","2018-11-16T08:00:43",,1,9,"09_1083","2018-11-15",903,1,1,,1,,2,,"uuid:21cdb20a-f214-47d1-b202-167511b28293",,
,1084,"2018-11-15T12:06:00.000+03","0.3574616666666667 32.56107 1174.5 3.4",0.357461666666667,32.56107,1174.5,3.4,3,2,1,8,1,,4,"",4,"",,1,,1,,,2,,2,,,,,,1,,,,,,,,1,,2,,,4,"",3,"",2,"",,4,,4,,,4,"",4,"",,1,"",1,,2,"",2,,1,"",,1,0,0,0,0,0,0,,,"","Mugisha kwiringira",,"50f06d35-70f1-4fbd-9ffc-f32ad1f34d1e","2018-11-16T08:00:45",,1,9,"09_1084","2018-11-15",903,2,1,,1,,2,,"uuid:50f06d35-70f1-4fbd-9ffc-f32ad1f34d1e",,
,1085,"2018-11-15T12:18:00.000+03","0.35744333333333334 32.56129 1172.7 4.3",0.357443333333333,32.56129,1172.7,4.3,3,1,1,3,1,,4,"",4,"",,1,,1,,,4,,4,,,,,,1,,,,,,,,1,,2,,,2,"",2,"",1,"",,2,,2,,,4,"",4,"",,1,"",1,,2,"",2,,3,"",,1,1,0,0,0,0,0,,,"People living next to the flood drains would really need help, since water w ters their homes ","Mugisha kwiringira",,"02ab7f38-a177-4d08-9a9b-9bff9ea881aa","2018-11-16T08:00:46",,1,9,"09_1085","2018-11-15",903,1,1,,1,,2,,"uuid:02ab7f38-a177-4d08-9a9b-9bff9ea881aa",,
,1086,"2018-11-15T12:31:00.000+03","0.3575416666666667 32.561285 1172.7 4.7",0.357541666666667,32.561285,1172.7,4.7,3,2,1,5,1,,4,"",4,"",,1,,2,,,3,,3,,,,,,1,,,,,,,,1,,1,,,1,"",1,"",1,"",,1,,1,,,4,"",4,"",,1,"",1,,2,"",2,,1,"",,1,0,0,0,0,0,0,,,"","Mugisha kwiringira",,"1a6f1bd3-18f7-4cd4-938f-391d59d473c6","2018-11-16T08:00:48",,1,9,"09_1086","2018-11-15",903,1,1,,1,,2,,"uuid:1a6f1bd3-18f7-4cd4-938f-391d59d473c6",,
,1087,"2018-11-15T12:46:00.000+03","0.3573483333333333 32.561479999999996 1195.0 4.4",0.357348333333333,32.56148,1195,4.4,3,2,1,4,1,,4,"",4,"",,3,,3,,,2,,2,,,,,,1,,,,,,,,1,,1,,,2,"",2,"",1,"",,4,,4,,,4,"",4,"",,1,"",1,,2,"",2,,1,"",,1,0,0,0,0,0,0,,,"We need some houseful sprays, ","Mugisha kwiringira",,"b3ba4752-624f-444e-8702-3c08667ab57e","2018-11-16T08:00:50",,1,9,"09_1087","2018-11-15",903,1,1,,1,,2,,"uuid:b3ba4752-624f-444e-8702-3c08667ab57e",,
,1088,"2018-11-15T13:03:00.000+03","0.35732166666666665 32.56106166666667 1184.7 4.8",0.357321666666667,32.5610616666667,1184.7,4.8,3,2,1,3,1,,4,"",4,"",,2,,2,,,2,,2,,,,,,1,,,,,,,,1,,2,,,2,"",2,"",1,"",,2,,2,,,4,"",4,"",,1,"",1,,2,"",2,,1,"",,1,0,0,0,0,0,0,,,"","Mugisha kwiringira",,"e04d473f-1a5d-4069-926c-0f24a3a076ac","2018-11-16T08:00:52",,1,9,"09_1088","2018-11-15",903,1,1,,1,,2,,"uuid:e04d473f-1a5d-4069-926c-0f24a3a076ac",,
,1089,"2018-11-15T13:25:00.000+03","0.357085 32.56106833333333 1155.8 4.9",0.357085,32.5610683333333,1155.8,4.9,3,2,1,5,1,,4,"",4,"",,1,,1,,,2,,2,,,,,,2,,,,,,,,2,,2,,,2,"",2,"",1,"",,4,,3,,,4,"",4,"",,1,"",1,,2,"",1,,2,"",,1,0,0,0,0,0,0,,,"The open drains are a big problem.
Also we need national water as well ","Mugisha kwiringira",,"77024a4c-f26d-460b-86aa-1a1c9231d5cf","2018-11-16T08:00:55",,1,9,"09_1089","2018-11-15",903,1,1,,1,,2,,"uuid:77024a4c-f26d-460b-86aa-1a1c9231d5cf",,
,1090,"2018-11-15T13:35:00.000+03","0.35715166666666665 32.56126 1173.7 4.8",0.357151666666667,32.56126,1173.7,4.8,3,2,1,5,1,,1,"",2,"",,2,,2,,,2,,2,,,,,,3,,,,,,,,1,,2,,,1,"",1,"",1,"",,3,,2,,,4,"",4,"",,1,"",1,,2,"",2,,2,"",,1,1,0,0,0,0,0,,,"More public latrines in the area are really needed ","Mugisha kwiringira",,"c53a50ca-ac46-45f0-bfad-93798fd12680","2018-11-16T08:00:56",,1,9,"09_1090","2018-11-15",903,1,1,,1,,2,,"uuid:c53a50ca-ac46-45f0-bfad-93798fd12680",,
,1091,"2018-11-15T09:29:00.000+03","0.35635 32.56108666666667 1176.5 4.9",0.35635,32.5610866666667,1176.5,4.9,3,1,1,8,1,,2,"",2,"",,1,,1,,,1,,1,,,,,,2,,,,,,,,1,,2,,,4,"",3,"",1,"",,1,,2,,,4,"",4,"",,1,"",1,,2,"",2,,1,"",,1,1,0,0,0,0,0,,,"Need more toilet facilities","Mugisha kwiringira",,"8ea16f9c-8053-4f79-9f9c-b67feca6a9b6","2018-11-16T08:00:58",,1,9,"09_1091","2018-11-15",903,1,1,,1,,2,,"uuid:8ea16f9c-8053-4f79-9f9c-b67feca6a9b6",,
,1092,"2018-11-16T09:43:00.000+03","0.35631666666666667 32.56118 1176.4 5.0",0.356316666666667,32.56118,1176.4,5,3,1,1,3,1,,2,"",3,"",,1,,2,,,1,,1,,,,,,2,,,,,,,,1,,2,,,1,"",2,"",1,"",,1,,2,,,4,"",4,"",,1,"",1,,2,"",2,,1,"",,1,1,0,0,0,0,0,,,"","Mugisha kwiringira",,"760f1f0d-5995-4a04-9703-0942c4721cf9","2018-11-16T08:01:01",,1,9,"09_1092","2018-11-16",903,1,1,,1,,2,,"uuid:760f1f0d-5995-4a04-9703-0942c4721cf9",,
