"col_neighborhood","col_sample_type","col_id","col_id_val","col_start","col_location","X_col_location_latitude","X_col_location_longitude","X_col_location_altitude","X_col_location_precision","col_weather","col_rainyest","col_rainweek","col_rainmon","col_pa_prox","col_pa_type","col_pa_type_other","col_pa_latrine_distance","col_bw_type","col_bw_type_other","col_bw_container","col_bw_container_lid","col_bw_cl_id","col_bw_cl_free","col_bw_cl_total","col_f_latrine_distance","col_p_type","col_p_type_other","col_p_num","col_dw_type","col_dw_type_other","col_dw_container","col_dw_container_lid","col_dw_id","col_dw_cl_free","col_dw_cl_total","col_l_toilet_type","col_l_toilet_type_other","col_l_toilet_stalls","col_l_toilet_feces","col_l_toilet_users","col_l_toilet_gender","col_l_toilet_hw","col_s_type","col_s_type_other","col_d_water_level","col_d_water_flow","col_d_size","col_d_lining","col_d_lining_oth","col_d_feces","col_d_animals","col_d_schools","col_d_urban_ag","col_d_public_latrines","col_d_hh_latrines","col_d_shops","col_d_hh","col_d_hh_num","col_sf_type","col_sf_type_other","col_notes","col_enum","col_photo","meta.instanceID","X_uuid","X_submission_time","X_tags","X_notes"
5,3,1063,1063,"2018-11-23T13:29:00.000+03","0.3333566666666667 32.63563 1147.7 5.7",0.333356667,32.63563,1147.7,5.7,1,0,1,,,,,,5,,0,,,,,,,,,,,,,,,,,"",,,,1,,,,,,,,,,,,,,,,,,,"","","Constance",1,"uuid:4a8b6034-85b1-4572-9e30-2a7c5da56d50","4a8b6034-85b1-4572-9e30-2a7c5da56d50","2018-11-26T17:48:06",,
5,3,1064,1064,"2018-11-23T13:30:00.000+03","0.33386666666666664 32.63681166666667 1147.8 4.9",0.333866667,32.63681167,1147.8,4.9,1,0,1,,,,,,5,,0,,,,,,,,,,,,,,,,,"",,,,1,,,,,,,,,,,,,,,,,,,"","","Constance",1,"uuid:2377a95d-edd8-4d8f-b137-99210ee555c4","2377a95d-edd8-4d8f-b137-99210ee555c4","2018-11-26T17:48:08",,
5,3,1065,1065,"2018-11-23T13:36:00.000+03","0.33460833333333334 32.635905 1153.7 5.2",0.334608333,32.635905,1153.7,5.2,1,0,1,,,,,,5,,0,,,,,,,,,,,,,,,,,"",,,,2,,,,,,,,,,,,,,,,,,,"","","Constance",1,"uuid:1e074e98-d0ef-4680-87c1-adec3bae09d7","1e074e98-d0ef-4680-87c1-adec3bae09d7","2018-11-26T17:48:10",,
5,3,1066,1066,"2018-11-23T13:38:00.000+03","0.334725 32.63589 1153.7 13.0",0.334725,32.63589,1153.7,13,1,0,1,,,,,,5,,0,,,,,,,,,,,,,,,,,"",,,,1,,,,,,,,,,,,,,,,,,,"","","Constance",1,"uuid:7949d6fc-5402-4e35-86e0-34aeb78f4559","7949d6fc-5402-4e35-86e0-34aeb78f4559","2018-11-26T17:48:12",,
5,3,1067,1067,"2018-11-23T13:48:00.000+03","0.335395 32.634856666666664 1153.7 8.1",0.335395,32.63485667,1153.7,8.1,1,0,1,,,,,,1,,0,,,,,,,,,,,,,,,,,"",,,,1,,,,,,,,,,,,,,,,,,,"","","Constance",1,"uuid:d14f16dc-dc6e-4d82-ac00-676136571716","d14f16dc-dc6e-4d82-ac00-676136571716","2018-11-26T17:48:14",,
5,3,1068,1068,"2019-01-29T10:42:00.000+03","0.33514166666666667 32.635305 1167.1 4.7",0.335141667,32.635305,1167.1,4.7,1,1,,,,,,,5,,0,,,,,,,,,,,,,,,,,"",,,,3,,,,,,,,,,,,,,,,,,,"","","Masaba Chris",1,"uuid:c64f60d7-59cf-4415-8ef5-804423698bcb","c64f60d7-59cf-4415-8ef5-804423698bcb","2019-01-30T07:51:16",,
5,3,1069,1069,"2018-11-23T13:52:00.000+03","0.335315 32.63182166666666 1161.7 5.4",0.335315,32.63182167,1161.7,5.4,1,0,1,,,,,,1,,0,,,,,,,,,,,,,,,,,"",,,,1,,,,,,,,,,,,,,,,,,,"","","Constance",1,"uuid:ca74443b-8044-47d6-8d37-01b35b869055","ca74443b-8044-47d6-8d37-01b35b869055","2018-11-26T17:48:18",,
5,3,1070,1070,"2018-11-23T14:00:00.000+03","",,,,,1,0,1,,,,,,1,,0,,,,,,,,,,,,,,,,,"",,,,1,,,,,,,,,,,,,,,,,,,"","","Constance",1,"uuid:a97d8cd4-73f9-4682-9df3-ebdb76d99b36","a97d8cd4-73f9-4682-9df3-ebdb76d99b36","2018-11-26T17:48:20",,
2,3,1071,1071,"2019-01-09T11:31:00.000+03","0.34498500000000004 32.58727666666667 1162.5 4.9",0.344985,32.58727667,1162.5,4.9,2,0,1,,,,,,5,,0,,,,,,,,,,,,,,,,,"",,,,2,,,,,,,,,,,,,,,,,,,"","","Masaba Chris",1,"uuid:7885df6c-3e75-420e-9f3c-101b3615ec41","7885df6c-3e75-420e-9f3c-101b3615ec41","2019-01-17T13:39:29",,
2,3,1072,1072,"2019-01-09T11:46:00.000+03","0.34479 32.587125 1149.9 4.7",0.34479,32.587125,1149.9,4.7,2,0,1,,,,,,5,,0,,,,,,,,,,,,,,,,,"",,,,3,,,,,,,,,,,,,,,,,,,"","","Masaba Chris",1,"uuid:b81d300c-9185-433b-a921-55bab4490387","b81d300c-9185-433b-a921-55bab4490387","2019-01-17T13:39:42",,
2,3,1073,1073,"2019-01-09T11:58:00.000+03","0.3444816666666667 32.58710833333334 1164.5 5.0",0.344481667,32.58710833,1164.5,5,2,0,1,,,,,,5,,0,,,,,,,,,,,,,,,,,"",,,,1,,,,,,,,,,,,,,,,,,,"","","Masaba Chris",1,"uuid:3c394a39-ba43-4658-975f-ca4cb6405da1","3c394a39-ba43-4658-975f-ca4cb6405da1","2019-01-17T13:39:47",,
2,3,1074,1074,"2019-01-09T12:04:00.000+03","0.3444733333333333 32.586998333333334 1185.3 4.9",0.344473333,32.58699833,1185.3,4.9,2,0,1,,,,,,5,,0,,,,,,,,,,,,,,,,,"",,,,3,,,,,,,,,,,,,,,,,,,"","","Masaba Chris",1,"uuid:4199dbfb-2147-430c-bc92-26b88af94940","4199dbfb-2147-430c-bc92-26b88af94940","2019-01-17T13:39:51",,
