lab_start_dt,lab_sample_type,lab_id,lab_id_val,lab_processing,lab_incubator_placed,lab_incubator_removed,lab_p_weight,lab_sf_weight,lab_pa_weight,lab_1_group/lab_1_dil_tested,lab_1_group/lab_1_volume,lab_1_ecoli_reading_membrane,lab_1_ecoli_membrane,lab_2_group/lab_2_dil_tested,lab_2_group/lab_2_volume,lab_2_ecoli_reading_membrane,lab_2_ecoli_membrane,lab_3_dilution_performed,lab_3_group/lab_3_dil_tested,lab_3_group/lab_3_volume,lab_3_ecoli_reading_membrane,lab_3_ecoli_membrane,lab_notes,lab_enum,lab_photo,lab_end_dt,col_start_dt,col_end_dt,meta/instanceID,_uuid,_submission_time,_tags,_notes
2019-01-08T23:51:43.963+03,10,1206,1206,2018-11-30T15:55:00.000+03,2018-11-30T18:00:00.000+03,2018-12-01T18:01:00.000+03,n/a,189.0,n/a,7,10,3,0,7,1,3,0,0,n/a,n/a,n/a,n/a,n/a,Constance Kaddu and Winnie,1,2019-01-08T23:53:18.458+03,2019-01-08T23:51:43.963+03,2019-01-08T23:53:18.458+03,uuid:8ab8c954-6447-4035-a865-a09f14e66a8b,8ab8c954-6447-4035-a865-a09f14e66a8b,2019-01-15T21:18:11,,
2019-01-08T23:53:38.181+03,10,1207,1207,2018-11-30T15:55:00.000+03,2018-11-30T18:00:00.000+03,2018-12-01T18:01:00.000+03,n/a,242.0,n/a,7,10,3,0,7,1,3,0,1,6,1,3,0,n/a,Constance Winnie and Kaddu,1,2019-01-08T23:56:27.895+03,2019-01-08T23:53:38.181+03,2019-01-08T23:56:27.895+03,uuid:51350797-e320-48c4-be58-8005df1832c5,51350797-e320-48c4-be58-8005df1832c5,2019-01-15T21:18:13,,
2019-01-08T23:56:44.963+03,10,1208,1208,2018-11-30T15:57:00.000+03,2018-11-30T18:01:00.000+03,2018-12-01T18:00:00.000+03,n/a,235.0,n/a,7,1,3,0,7,10,3,0,1,6,1,3,0,n/a,Constance Kaddu and Winnie,1,2019-01-08T23:59:16.550+03,2019-01-08T23:56:44.963+03,2019-01-08T23:59:16.550+03,uuid:936acedf-abd5-4e46-8b3f-e4019909e8c7,936acedf-abd5-4e46-8b3f-e4019909e8c7,2019-01-15T21:18:15,,
2019-01-08T23:59:20.712+03,10,1209,1209,2018-11-30T15:57:00.000+03,2018-11-30T18:00:00.000+03,2018-12-01T18:01:00.000+03,n/a,158.0,n/a,7,1,3,0,7,10,3,0,1,6,1,3,0,n/a,Constance Winnie and Kaddu,1,2019-01-09T00:01:26.021+03,2019-01-08T23:59:20.713+03,2019-01-09T00:01:26.021+03,uuid:e5314d6d-f66b-4afa-97cc-fee9bdf657ac,e5314d6d-f66b-4afa-97cc-fee9bdf657ac,2019-01-15T21:18:17,,
2019-01-09T00:02:05.473+03,10,1210,1210,2018-11-30T15:57:00.000+03,2018-11-30T18:01:00.000+03,2018-12-01T18:01:00.000+03,n/a,143.0,n/a,7,1,3,0,7,10,3,0,1,6,1,3,0,n/a,Constance Kaddu and Winnie,1,2019-01-09T00:04:27.259+03,2019-01-09T00:02:05.473+03,2019-01-09T00:04:27.260+03,uuid:1c2f0b93-f586-4f81-ad3c-1680e5e83c1d,1c2f0b93-f586-4f81-ad3c-1680e5e83c1d,2019-01-15T21:18:19,,
2019-01-10T22:09:34.507+03,2,1151,1151,2018-11-30T13:00:00.000+03,2018-11-30T13:45:00.000+03,2018-12-01T13:45:00.000+03,256.0,n/a,n/a,7,1,3,0,7,10,3,0,1,6,1,3,0,n/a,Constance Winnie and Kaddu,1,2019-01-10T22:12:48.076+03,2019-01-10T22:09:34.507+03,2019-01-10T22:12:48.076+03,uuid:4e1a0855-fe2b-4a07-aa8b-e37acca8d4a2,4e1a0855-fe2b-4a07-aa8b-e37acca8d4a2,2019-01-15T21:18:22,,
2019-01-10T22:12:53.395+03,2,1152,1152,2018-11-30T13:00:00.000+03,2018-11-30T13:45:00.000+03,2018-12-01T13:45:00.000+03,230.0,n/a,n/a,7,1,3,0,7,10,2,n/a,1,6,1,3,0,n/a,Constance Kaddu and Winnie,0,2019-01-10T22:17:03.562+03,2019-01-10T22:12:53.395+03,2019-01-10T22:17:03.562+03,uuid:a06fad9d-eed6-4df0-a4c1-f96f6fd8d97f,a06fad9d-eed6-4df0-a4c1-f96f6fd8d97f,2019-01-15T21:18:24,,
2019-01-10T22:17:11.908+03,2,1153,1153,2018-11-30T13:00:00.000+03,2018-11-30T13:00:00.000+03,2018-12-01T13:45:00.000+03,257.0,n/a,n/a,7,10,3,53,7,1,3,0,1,6,1,3,0,n/a,Constance Winnie and Kaddu,0,2019-01-10T22:19:15.206+03,2019-01-10T22:17:11.908+03,2019-01-10T22:19:15.206+03,uuid:5d20ddfb-a7b7-4956-ae07-52b4219f9636,5d20ddfb-a7b7-4956-ae07-52b4219f9636,2019-01-15T21:18:26,,
2019-01-10T22:19:46.852+03,2,1154,1154,2018-11-30T13:00:00.000+03,2018-11-30T13:45:00.000+03,2018-12-01T13:45:00.000+03,174.0,n/a,n/a,7,1,3,0,6,1,3,0,0,n/a,n/a,n/a,n/a,n/a,Constance Kaddu and Winnie,0,2019-01-10T22:24:19.914+03,2019-01-10T22:19:46.852+03,2019-01-10T22:24:19.914+03,uuid:70e89744-2fe6-4517-92b2-f2a26b88d2fa,70e89744-2fe6-4517-92b2-f2a26b88d2fa,2019-01-15T21:18:28,,
2019-01-10T22:24:25.386+03,2,1155,1155,2018-11-30T13:00:00.000+03,2018-11-30T13:45:00.000+03,2018-12-01T13:45:00.000+03,452.0,n/a,n/a,7,1,3,0,7,10,3,0,1,6,1,3,0,n/a,Constance Winnie and Kaddu,0,2019-01-10T22:27:13.252+03,2019-01-10T22:24:25.386+03,2019-01-10T22:27:13.252+03,uuid:5c1b3afc-5770-4c9e-8ebb-ba8e05cb32f0,5c1b3afc-5770-4c9e-8ebb-ba8e05cb32f0,2019-01-15T21:18:31,,
2019-01-10T22:28:05.894+03,2,1156,1156,2018-11-30T13:00:00.000+03,2018-11-30T13:45:00.000+03,2018-12-01T13:45:00.000+03,226.0,n/a,n/a,7,1,3,0,7,10,3,0,1,6,1,3,0,n/a,Constance Kaddu and Winnie,0,2019-01-10T22:29:58.758+03,2019-01-10T22:28:05.894+03,2019-01-10T22:29:58.758+03,uuid:2ca97c3b-2959-4793-a3f6-ae34f9197970,2ca97c3b-2959-4793-a3f6-ae34f9197970,2019-01-15T21:18:33,,
2019-01-10T22:30:28.543+03,2,1157,1157,2018-11-30T13:00:00.000+03,2018-11-30T13:45:00.000+03,2018-12-01T13:45:00.000+03,206.0,n/a,n/a,7,1,3,0,7,10,3,0,1,6,1,3,0,n/a,Constance Winnie and Kaddu,0,2019-01-10T22:32:23.434+03,2019-01-10T22:30:28.543+03,2019-01-10T22:32:23.434+03,uuid:eedb31ac-8c55-4305-a3ce-a4087f46a021,eedb31ac-8c55-4305-a3ce-a4087f46a021,2019-01-15T21:18:35,,
2019-01-10T22:32:44.927+03,2,1158,1158,2018-11-30T13:00:00.000+03,2018-11-30T13:45:00.000+03,2018-12-01T13:45:00.000+03,330.0,n/a,n/a,7,1,3,0,7,10,3,0,1,6,1,3,0,n/a,Constance Kaddu and Winnie,0,2019-01-10T22:34:28.905+03,2019-01-10T22:32:44.927+03,2019-01-10T22:34:28.905+03,uuid:1a728b59-668b-4a2a-ab4f-3bcbfde8956f,1a728b59-668b-4a2a-ab4f-3bcbfde8956f,2019-01-15T21:18:37,,
2019-01-10T22:36:52.036+03,2,1159,1159,2018-11-30T13:00:00.000+03,2018-11-30T13:45:00.000+03,2018-12-01T13:45:00.000+03,180.0,n/a,n/a,7,1,3,0,6,1,3,10,0,n/a,n/a,n/a,n/a,n/a,Constance Kaddu and Winnie,0,2019-01-10T22:38:59.445+03,2019-01-10T22:36:52.036+03,2019-01-10T22:38:59.445+03,uuid:b3de7369-a8ea-4a87-8120-7bd2cc384bdd,b3de7369-a8ea-4a87-8120-7bd2cc384bdd,2019-01-15T21:18:40,,
2019-01-10T22:39:48.142+03,2,1160,1160,2018-11-30T13:00:00.000+03,2018-11-30T13:45:00.000+03,2018-12-01T13:45:00.000+03,272.0,n/a,n/a,7,1,3,6,6,1,3,0,0,n/a,n/a,n/a,n/a,n/a,Constance Kaddu and Winnie,0,2019-01-10T22:41:39.036+03,2019-01-10T22:39:48.142+03,2019-01-10T22:41:39.036+03,uuid:4a911804-627e-468c-b375-12757ef3185e,4a911804-627e-468c-b375-12757ef3185e,2019-01-15T21:18:42,,
2019-01-15T21:28:06.842+03,1,1361,1361,2018-12-10T14:00:00.000+03,2018-12-10T15:51:00.000+03,2018-12-11T16:33:00.000+03,n/a,n/a,n/a,4,1,2,n/a,3,1,3,12,0,n/a,n/a,n/a,n/a,n/a,Constance Winnie and Kaddu,1,2019-01-15T21:30:38.235+03,2019-01-15T21:28:06.842+03,2019-01-15T21:30:38.235+03,uuid:a33b0352-bc2b-49e3-93b2-79b283075550,a33b0352-bc2b-49e3-93b2-79b283075550,2019-01-15T21:18:44,,
2019-01-15T21:30:42.776+03,1,1362,1362,2018-12-10T14:00:00.000+03,2018-12-10T15:51:00.000+03,2018-12-11T16:33:00.000+03,n/a,n/a,n/a,4,1,3,8,3,1,3,0,0,n/a,n/a,n/a,n/a,n/a,Constance Winnie and Kaddu,1,2019-01-15T21:32:49.893+03,2019-01-15T21:30:42.776+03,2019-01-15T21:32:49.893+03,uuid:2c37174b-7cc6-44cc-8faf-5d37fb8ef77b,2c37174b-7cc6-44cc-8faf-5d37fb8ef77b,2019-01-15T21:18:46,,
2019-01-15T21:33:21.164+03,1,1363,1363,2018-12-10T14:00:00.000+03,2018-12-10T15:51:00.000+03,2018-12-11T16:33:00.000+03,n/a,n/a,n/a,4,1,3,14,3,1,3,3,0,n/a,n/a,n/a,n/a,n/a,Constance Winnie and Kaddu,0,2019-01-15T21:35:17.013+03,2019-01-15T21:33:21.165+03,2019-01-15T21:35:17.013+03,uuid:ac9d506d-9d38-4a49-8b27-e3375752bdb5,ac9d506d-9d38-4a49-8b27-e3375752bdb5,2019-01-15T21:18:49,,
2019-01-15T21:36:21.315+03,1,1364,1364,2018-12-10T14:00:00.000+03,2018-12-10T15:51:00.000+03,2018-12-11T16:33:00.000+03,n/a,n/a,n/a,4,1,3,1,3,1,3,0,0,n/a,n/a,n/a,n/a,n/a,Constance Kaddu and Winnie,1,2019-01-15T21:38:47.107+03,2019-01-15T21:36:21.315+03,2019-01-15T21:38:47.108+03,uuid:0550b49b-fd24-489d-97bf-5084f719bac4,0550b49b-fd24-489d-97bf-5084f719bac4,2019-01-15T21:18:51,,
2019-01-15T21:49:35.334+03,1,1365,1365,2018-12-10T14:00:00.000+03,2018-12-10T15:51:00.000+03,2018-12-11T16:33:00.000+03,n/a,n/a,n/a,4,1,3,1,3,1,3,0,0,n/a,n/a,n/a,n/a,n/a,Constance Kaddu and Winnie,0,2019-01-15T21:52:35.132+03,2019-01-15T21:49:35.334+03,2019-01-15T21:52:35.133+03,uuid:ab5572cb-511b-4541-96cc-5674a8874de1,ab5572cb-511b-4541-96cc-5674a8874de1,2019-01-15T21:18:53,,
2019-01-15T21:53:38.142+03,1,1366,1366,2018-12-14T14:45:00.000+03,2018-12-14T15:35:00.000+03,2018-12-15T13:00:00.000+03,n/a,n/a,n/a,6,1,3,7,5,1,3,2,1,4,1,3,0,n/a,Constance Kaddu and Winnie,1,2019-01-15T21:57:26.459+03,2019-01-15T21:53:38.142+03,2019-01-15T21:57:26.459+03,uuid:a936e559-9055-4c12-bb3b-7af338e6319f,a936e559-9055-4c12-bb3b-7af338e6319f,2019-01-15T21:18:56,,
2019-01-15T21:58:36.651+03,1,1367,1367,2018-12-14T14:45:00.000+03,2018-12-14T15:35:00.000+03,2018-12-15T13:00:00.000+03,n/a,n/a,n/a,6,1,1,n/a,5,1,3,108,1,4,1,3,3,n/a,Constance Kaddu and Winnie,1,2019-01-15T22:15:30.934+03,2019-01-15T21:58:36.652+03,2019-01-15T22:15:30.934+03,uuid:531d1e17-bc4d-49f1-9b09-ac42c02c175e,531d1e17-bc4d-49f1-9b09-ac42c02c175e,2019-01-15T21:18:58,,
2019-01-15T22:16:19.277+03,1,1368,1368,2018-12-14T14:45:00.000+03,2018-12-14T15:35:00.000+03,2018-12-15T13:00:00.000+03,n/a,n/a,n/a,5,1,1,n/a,4,1,3,128,1,3,1,3,0,n/a,Constance Kaddu and Winnie,1,2019-01-15T22:23:41.539+03,2019-01-15T22:16:19.278+03,2019-01-15T22:23:41.539+03,uuid:e0067296-bfba-43d0-98fd-c629f716c462,e0067296-bfba-43d0-98fd-c629f716c462,2019-01-15T21:19:00,,
2019-01-15T22:24:19.046+03,1,1369,1369,2018-12-14T14:45:00.000+03,2018-12-14T15:35:00.000+03,2018-12-15T13:00:00.000+03,n/a,n/a,n/a,5,1,1,n/a,4,1,3,197,1,3,1,3,4,n/a,Constance Kaddu and Winnie,1,2019-01-15T22:34:37.946+03,2019-01-15T22:24:19.046+03,2019-01-15T22:34:37.946+03,uuid:38aac2df-3f30-469e-a009-6d84ff32ebd7,38aac2df-3f30-469e-a009-6d84ff32ebd7,2019-01-15T21:19:03,,
2019-01-15T22:38:41.463+03,1,1370,1370,2018-12-14T14:45:00.000+03,2018-12-14T15:35:00.000+03,2018-12-15T13:00:00.000+03,n/a,n/a,n/a,6,1,3,191,5,1,3,82,1,4,1,3,2,n/a,Constance Kaddu and Winnie,1,2019-01-15T22:41:27.971+03,2019-01-15T22:38:41.463+03,2019-01-15T22:41:27.971+03,uuid:12d0eb70-c7e5-4fae-b5cb-b6680859f8f4,12d0eb70-c7e5-4fae-b5cb-b6680859f8f4,2019-01-15T21:19:05,,
