col_neighborhood,col_sample_type,col_id,col_id_val,col_start,action,col_location,_col_location_latitude,_col_location_longitude,_col_location_altitude,_col_location_precision,col_weather,col_rainyest,col_rainweek,col_rainmon,col_pa_prox,col_pa_type,col_pa_type_other,col_pa_latrine_distance,col_bw_type,col_bw_type_other,col_bw_container,col_bw_container_lid,col_bw_cl_id,col_bw_cl_free,col_bw_cl_total,col_f_latrine_distance,col_p_type,col_p_type_other,col_p_num,col_dw_type,col_dw_type_other,col_dw_container,col_dw_container_lid,col_dw_id,col_dw_cl_free,col_dw_cl_total,col_l_toilet_type,col_l_toilet_type_other,col_l_toilet_stalls,col_l_toilet_feces,col_l_toilet_users,col_l_toilet_gender,col_l_toilet_hw,col_s_type,col_s_type_other,col_d_water_level,col_d_water_flow,col_d_size,col_d_lining,col_d_lining_oth,col_d_feces,col_d_animals,col_d_schools,col_d_urban_ag,col_d_public_latrines,col_d_hh_latrines,col_d_shops,col_d_hh,col_d_hh_num,col_sf_type,col_sf_type_other,col_notes,col_enum,col_photo,meta/instanceID,_uuid,_submission_time,_tags,_notes
309,10,1232,1232,2019-01-08T11:38:00.000+03,,0.30058666666666667 32.622236666666666 1141.2 4.7,0.300586667,32.62223667,1141.2,4.7,2,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,Masaba Chris,1,uuid:7c17fe47-fc35-47de-9c8c-f092089b025d,7c17fe47-fc35-47de-9c8c-f092089b025d,2019-01-17T13:36:14,,
309,10,1233,1233,2019-01-08T11:42:00.000+03,,0.3005933333333333 32.622135 1139.6 3.9,0.300593333,32.622135,1139.6,3.9,2,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a,n/a,Masaba Chris,1,uuid:d282cc9c-c956-451b-8c36-538d099063e4,d282cc9c-c956-451b-8c36-538d099063e4,2019-01-17T13:36:23,,
309,10,1234,1234,2019-01-08T12:01:00.000+03,,0.3009116666666667 32.62176 1152.2 4.7,0.300911667,32.62176,1152.2,4.7,3,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,Masaba Chris,1,uuid:2c3d2385-3823-484a-bf62-3765bc8a01f9,2c3d2385-3823-484a-bf62-3765bc8a01f9,2019-01-17T13:36:43,,
309,10,1235,1235,2019-01-08T12:04:00.000+03,,0.300965 32.621764999999996 1152.3 4.5,0.300965,32.621765,1152.3,4.5,3,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a,n/a,Masaba Chris,1,uuid:9ba5325f-76a3-48fa-82fe-fee67c947e30,9ba5325f-76a3-48fa-82fe-fee67c947e30,2019-01-17T13:36:50,,
309,10,1236,1236,2019-01-08T12:25:00.000+03,,0.30155166666666666 32.621185 1126.2 4.3,0.301551667,32.621185,1126.2,4.3,2,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,Masaba Chris,1,uuid:cac35498-720a-4d6c-914b-461f76dc9815,cac35498-720a-4d6c-914b-461f76dc9815,2019-01-17T13:37:14,,
309,10,1237,1237,2019-01-08T12:28:00.000+03,,0.30146333333333336 32.621165 1126.4 4.9,0.301463333,32.621165,1126.4,4.9,3,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,Chapati with beans,n/a,Masaba Chris,1,uuid:d1f4b15f-c5d0-45d3-951f-f7b3c7e96972,d1f4b15f-c5d0-45d3-951f-f7b3c7e96972,2019-01-17T13:37:17,,
309,10,1238,1238,2019-01-08T12:36:00.000+03,,0.3021266666666667 32.620223333333335 1145.0 4.9,0.302126667,32.62022333,1145,4.9,3,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,Masaba Chris,1,uuid:4a1537f7-8449-4463-9925-45528dbde56b,4a1537f7-8449-4463-9925-45528dbde56b,2019-01-17T13:37:19,,
309,10,1239,1239,2019-01-08T12:40:00.000+03,,0.30210000000000004 32.620295000000006 1145.0 4.5,0.3021,32.620295,1145,4.5,3,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,Chapati with beans,n/a,Masaba Chris,1,uuid:8c6ec823-020f-4887-a51e-3be3244c682b,8c6ec823-020f-4887-a51e-3be3244c682b,2019-01-17T13:37:26,,
309,10,1240,1240,2019-01-08T12:45:00.000+03,,0.30224 32.62002333333333 1134.7 4.7,0.30224,32.62002333,1134.7,4.7,3,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a,n/a,Masaba Chris,1,uuid:f656781b-37cb-4141-a3dd-4fd2c4f5a5c3,f656781b-37cb-4141-a3dd-4fd2c4f5a5c3,2019-01-17T13:37:28,,
312,10,1241,1241,2019-01-11T11:42:00.000+03,,0.2849083333333333 32.550828333333335 1169.2 3.1,0.284908333,32.55082833,1169.2,3.1,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a,n/a,Masaba Chris,1,uuid:47857ca1-5099-4e3d-a7e4-3d7440d7ef69,47857ca1-5099-4e3d-a7e4-3d7440d7ef69,2019-01-14T14:26:42,,
