"lab_start_dt","subscriberid","simserial","deviceid","lab_end_dt","lab_sample_type","lab_id","lab_id_val","lab_processing","lab_incubator_placed","lab_incubator_removed","lab_analysis","lab_p_weight","lab_sf_weight","lab_pa_weight","lab_1_note","lab_1_dil_tested","lab_1_volume","lab_1_ecoli_reading_membrane","lab_1_ecoli_membrane","lab_1_ecoli_reading_idexx","lab_1_ecoli_big_idexx","lab_1_ecoli_small_idexx","lab_2_dil_tested","lab_2_volume","lab_2_ecoli_reading_membrane","lab_2_ecoli_membrane","lab_2_ecoli_reading_idexx","lab_2_ecoli_big_idexx","lab_2_ecoli_small_idexx","lab_3_dilution_performed","lab_3_dil_tested","lab_3_volume","lab_3_ecoli_reading_membrane","lab_3_ecoli_membrane","lab_3_ecoli_reading_idexx","lab_3_ecoli_big_idexx","lab_3_ecoli_small_idexx","lab_closing_group","lab_notes","lab_enum","lab_photo","X__version__","X_id","X_uuid","X_submission_time","X_index","lab_extra_data","dply_num","lab_UID","lab_date","citylabel"
"2020-01-12T22:07:17.000-00:00","","","","2020-01-12T22:10:33.000-00:00",2,1039,1039,"2019-12-10T15:50:00.000-00:00","2019-12-10T16:15:00.000-00:00","2019-12-11T15:00:00.000-00:00",2,94.3,,,,7,1,3,28,,,,6,1,3,2,,,,0,,,,,,,,,"","MD",1,,,"f0688fcc-77c6-4d80-a0bd-b50e9e72bc96","2020-01-12T22:10:43",,,12,"12_02_1039","2019-12-10","Dakar 19"
"2020-01-12T22:10:33.000-00:00","","","","2020-01-12T22:12:20.000-00:00",2,1040,1040,"2019-12-10T15:53:00.000-00:00","2019-12-10T16:15:00.000-00:00","2019-12-11T15:00:00.000-00:00",2,148.3,,,,7,1,3,0,,,,6,1,3,0,,,,0,,,,,,,,,"","MD",0,,,"e13f20f8-dacf-401d-852f-f2d230ba2f7c","2020-01-12T22:12:30",,,12,"12_02_1040","2019-12-10","Dakar 19"
"2020-01-12T22:12:20.000-00:00","","","","2020-01-12T22:17:01.000-00:00",10,2031,2031,"2019-12-06T12:03:00.000-00:00","2019-12-06T13:00:00.000-00:00","2019-12-07T11:30:00.000-00:00",2,,125.8,,,7,1,3,0,,,,6,1,3,0,,,,0,,,,,,,,,"","KB",0,,,"a3cf7472-b52a-4068-a282-32f929d604ff","2020-01-12T22:17:11",,,12,"12_10_2031","2019-12-06","Dakar 19"
"2020-01-12T22:18:55.000-00:00","","","","2020-01-12T22:24:13.000-00:00",10,2033,2033,"2019-12-06T12:08:00.000-00:00","2019-12-06T13:00:00.000-00:00","2019-12-07T11:30:00.000-00:00",2,,93.6,,,7,1,3,0,,,,6,1,3,0,,,,0,,,,,,,,,"","KB",0,,,"dce3fc30-c5df-4c4d-8495-66b43c36b0b4","2020-01-12T22:24:24",,,12,"12_10_2033","2019-12-06","Dakar 19"
"2020-01-12T22:24:13.000-00:00","","","","2020-01-12T22:25:58.000-00:00",10,2034,2034,"2019-12-06T12:11:00.000-00:00","2019-12-06T13:00:00.000-00:00","2019-12-07T11:30:00.000-00:00",2,,135.8,,,7,1,3,0,,,,6,1,3,0,,,,0,,,,,,,,,"","KB",0,,,"4639a815-3430-4d17-9ae6-a141a28e6f79","2020-01-12T22:26:08",,,12,"12_10_2034","2019-12-06","Dakar 19"
"2020-01-12T22:25:58.000-00:00","","","","2020-01-12T22:27:35.000-00:00",10,2035,2035,"2019-12-06T12:14:00.000-00:00","2019-12-06T13:00:00.000-00:00","2019-12-07T11:30:00.000-00:00",2,,98.1,,,7,1,3,1,,,,6,1,3,0,,,,0,,,,,,,,,"","KB",1,,,"16d0abcf-3284-4938-9f5e-164774bc152c","2020-01-12T22:27:46",,,12,"12_10_2035","2019-12-06","Dakar 19"
"2020-01-12T22:27:35.000-00:00","","","","2020-01-12T22:29:53.000-00:00",10,2036,2036,"2019-12-10T15:32:00.000-00:00","2019-12-10T15:50:00.000-00:00","2019-12-11T15:00:00.000-00:00",2,,98.1,,,7,1,3,0,,,,6,1,3,0,,,,0,,,,,,,,,"","MD",0,,,"70a66bff-1ef7-4dcd-8f7a-89de3c939f56","2020-01-12T22:30:04",,,12,"12_10_2036","2019-12-10","Dakar 19"
"2020-01-12T22:29:54.000-00:00","","","","2020-01-12T22:31:33.000-00:00",10,2037,2037,"2019-12-10T15:36:00.000-00:00","2019-12-10T15:50:00.000-00:00","2019-12-11T15:00:00.000-00:00",2,,125.8,,,7,1,3,0,,,,6,1,3,0,,,,0,,,,,,,,,"","M",0,,,"36ea3b7a-c047-46c8-b3f9-533a4c5e751c","2020-01-12T22:31:43",,,12,"12_10_2037","2019-12-10","Dakar 19"
"2020-01-12T22:31:33.000-00:00","","","","2020-01-12T22:33:02.000-00:00",10,2038,2038,"2019-12-10T15:39:00.000-00:00","2019-12-10T15:50:00.000-00:00","2019-12-11T15:00:00.000-00:00",2,,93.6,,,7,1,3,0,,,,6,1,3,0,,,,0,,,,,,,,,"","MD",0,,,"f27283c7-b227-414e-a1cf-34552ce1ebfc","2020-01-12T22:33:12",,,12,"12_10_2038","2019-12-10","Dakar 19"
"2020-01-12T22:33:02.000-00:00","","","","2020-01-12T22:34:47.000-00:00",10,2039,2039,"2019-12-10T15:41:00.000-00:00","2019-12-10T15:50:00.000-00:00","2019-12-11T15:00:00.000-00:00",2,,101.2,,,7,1,3,4,,,,6,1,3,0,,,,0,,,,,,,,,"","MD",0,,,"5353a12c-e845-4915-b241-7ea20f9a6b19","2020-01-12T22:34:58",,,12,"12_10_2039","2019-12-10","Dakar 19"
"2020-01-12T22:34:48.000-00:00","","","","2020-01-12T22:37:16.000-00:00",10,2040,2040,"2019-12-10T15:31:00.000-00:00","2019-12-10T15:50:00.000-00:00","2019-12-11T15:00:00.000-00:00",2,,135.8,,,7,1,3,0,,,,6,1,3,0,,,,0,,,,,,,,,"","MD",0,,,"5d60bf40-0246-49fc-ace7-bf8f983baf8a","2020-01-12T22:37:27",,,12,"12_10_2040","2019-12-10","Dakar 19"
