"UID","dply_num","lab_date","sample_type","col_sample_type_alt","sampleid","mf","neighborhood","neighb_UID","lab_1_ecoli","lab_2_ecoli","lab_3_ecoli","ec_dil1","ec_dil2","ec_dil3","ec_ecnt1","ec_ecnt2","ec_ecnt3","count1","count2","dil1","dil2","ec_conc","sample_type_name","sample_type_var","country","city","citylabel"
"12_01_4015",12,"2019-11-22",1,"",4015,TRUE,2,1202,999,999,,100,1,,999,999,,999,999,100,1,20000,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4016",12,"2019-11-26",1,"",4016,TRUE,2,1202,999,999,,100,1,,999,999,,999,999,100,1,20000,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4017",12,"2019-11-26",1,"",4017,TRUE,2,1202,999,999,,100,1,,999,999,,999,999,100,1,20000,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4018",12,"2019-11-26",1,"",4018,TRUE,2,1202,999,999,,100,0.1,,999,999,,999,999,100,0.1,2e+05,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4019",12,"2019-11-26",1,"",4019,TRUE,2,1202,999,999,,100,1,,999,999,,999,999,100,1,20000,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4020",12,"2019-11-26",1,"",4020,TRUE,2,1202,999,999,,100,1,,999,999,,999,999,100,1,20000,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4021",12,"2019-11-29",1,"",4021,TRUE,3,1203,999,999,,1,0.1,,999,999,,999,999,1,0.1,2e+05,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4022",12,"2019-11-29",1,"",4022,TRUE,3,1203,999,999,,1,0.1,,999,999,,999,999,1,0.1,2e+05,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4023",12,"2019-11-29",1,"",4023,TRUE,3,1203,999,58,,1,0.1,,999,58,,999,58,1,0.1,58000,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4024",12,"2019-11-29",1,"",4024,TRUE,3,1203,999,999,,1,0.1,,999,999,,999,999,1,0.1,2e+05,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4025",12,"2019-11-29",1,"",4025,TRUE,3,1203,999,999,,1,0.1,,999,999,,999,999,1,0.1,2e+05,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4026",12,"2019-12-03",1,"",4026,TRUE,3,1203,999,998,,1,0.1,,999,998,,999,998,1,0.1,2e+05,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4027",12,"2019-12-03",1,"",4027,TRUE,3,1203,999,0,,1,0.1,,999,0,,999,0,1,0.1,,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4028",12,"2019-11-26",1,"",4028,TRUE,3,1203,999,999,,100,1,,999,999,,999,999,100,1,20000,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4029",12,"2019-12-03",1,"",4029,TRUE,3,1203,999,999,,1,0.1,,999,999,,999,999,1,0.1,2e+05,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4030",12,"2019-12-03",1,"",4030,TRUE,3,1203,999,999,,1,0.1,,999,999,,999,999,1,0.1,2e+05,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4031",12,"2019-12-06",1,"",4031,TRUE,4,1204,999,0,,1,0.1,,999,0,,999,0,1,0.1,,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4032",12,"2019-12-06",1,"",4032,TRUE,4,1204,999,0,,1,0.1,,999,0,,999,0,1,0.1,,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4033",12,"2019-12-06",1,"",4033,TRUE,4,1204,0,0,,1,0.1,,0,0,,0,0,1,0.1,50,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4034",12,"2019-12-06",1,"",4034,TRUE,4,1204,999,0,,1,0.1,,999,0,,999,0,1,0.1,,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
