col_neighborhood,col_sample_type,col_id,col_id_val,col_start,col_location,_col_location_latitude,_col_location_longitude,_col_location_altitude,_col_location_precision,col_weather,col_rainyest,col_rainweek,col_rainmon,col_pa_prox,col_pa_type,col_pa_type_other,col_pa_latrine_distance,col_bw_type,col_bw_type_other,col_bw_container,col_bw_container_lid,col_bw_cl_id,col_bw_cl_free,col_bw_cl_total,col_f_type,col_f_latrine_distance,col_p_type,col_p_type_other,col_p_num,col_p_wash,col_dw_type,col_dw_type_other,col_dw_container,col_dw_container_lid,col_dw_id,col_dw_cl_free,col_dw_cl_total,col_odw_type,col_odw_container,col_odw_container_lid,col_odw_id,col_odw_cl_free,col_odw_cl_total,col_l_toilet_type,col_l_toilet_type_other,col_l_toilet_pubshare,col_l_toilet_stalls,col_l_toilet_feces,col_l_toilet_users,col_l_toilet_hhs,col_l_toilet_hw,col_d_water_level,col_d_water_flow,col_d_size,col_d_lining,col_d_lining_oth,col_d_feces,col_d_animals,col_d_schools,col_d_urban_ag,col_d_public_latrines,col_d_hh_latrines,col_d_shops,col_d_hh,col_d_hh_num,col_sf_type,col_sf_type_other,col_notes,col_enum,col_photo,meta/instanceID,_uuid,_submission_time,_tags,_notes
1,6,1074,1074,2018-03-23T08:08:00.000+02,-15.422740268069342 28.239974980030496 1279.6010674394308 4.0,-15.42274027,28.23997498,1279.601067,4,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Fermy n canaan,1,uuid:ca8802c6-cbb7-4e21-80bb-d99fb947c0a9,ca8802c6-cbb7-4e21-80bb-d99fb947c0a9,2018-03-23T18:11:01,,
1,6,1073,1073,2018-03-23T08:17:00.000+02,-15.42290696447632 28.240028846105176 1272.4754231684879 4.0,-15.42290696,28.24002885,1272.475423,4,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Fermy n Canaan,1,uuid:aecd3585-311a-4606-b03f-f7b6cbb367a7,aecd3585-311a-4606-b03f-f7b6cbb367a7,2018-03-23T18:11:04,,
1,1,1070,1070,2018-03-23T08:37:00.000+02,-15.422578985228435 28.236928233851252 1275.1763060321316 4.0,-15.42257899,28.23692823,1275.176306,4,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,2,2,2,n/a,0,0,0,0,0,1,0,1,3,n/a,n/a,n/a,Fermy n canaan,1,uuid:f0373069-63ad-4629-a764-0dc126a3ddf2,f0373069-63ad-4629-a764-0dc126a3ddf2,2018-03-23T18:11:06,,
1,10,1071,1071,2018-03-23T08:53:00.000+02,-15.421678532617458 28.237602959899384 1287.669705014422 4.0,-15.42167853,28.23760296,1287.669705,4,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a,n/a,Fermy n canaan,1,uuid:ec1e4237-791a-48c2-839d-9763594c14c9,ec1e4237-791a-48c2-839d-9763594c14c9,2018-03-23T18:11:06,,
1,8,1069,1069,2018-03-23T09:01:00.000+02,-15.422283943875055 28.238820913141165 1275.4027021464085 4.0,-15.42228394,28.23882091,1275.402702,4,1,0,1,n/a,2,3,n/a,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Fermy n canaan,1,uuid:b090d304-b80f-4b1c-bbf8-58fecfb09dfc,b090d304-b80f-4b1c-bbf8-58fecfb09dfc,2018-03-23T18:11:07,,
1,2,1072,1072,2018-03-23T09:23:00.000+02,-15.422743822892615 28.24146702891596 1285.8944302459704 4.0,-15.42274382,28.24146703,1285.89443,4,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Fermy n canaan,1,uuid:6dae4d26-7c7f-45d0-ac4c-f4a5db0e629c,6dae4d26-7c7f-45d0-ac4c-f4a5db0e629c,2018-03-23T18:11:08,,
1,6,1084,1084,2018-03-23T08:03:00.000+06,-15.42400677972772 28.235790456175007 1273.6899907380803 4.0,-15.42400678,28.23579046,1273.689991,4,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Nancy and Wendy,1,uuid:661254b5-d5fc-42d7-812a-8a49e7fe8fd1,661254b5-d5fc-42d7-812a-8a49e7fe8fd1,2018-03-23T18:16:17,,
1,6,1085,1085,2018-03-23T08:10:00.000+06,-15.424958372493805 28.23583318670207 1281.1779482924262 4.0,-15.42495837,28.23583319,1281.177948,4,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Floodwater near latrine,Nancy and Wendy,1,uuid:b3bdffaa-01bd-477e-a643-61be8fa2c2ce,b3bdffaa-01bd-477e-a643-61be8fa2c2ce,2018-03-23T18:16:24,,
1,3,1088,1088,2018-03-23T08:19:00.000+06,-15.426212015523081 28.23597726352932 1243.102355275835 4.0,-15.42621202,28.23597726,1243.102355,4,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a,1,1,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Colorimeter ID couldn't read,Nancy and Wendy,1,uuid:1cb230a5-ea26-48ee-a396-effccecaff83,1cb230a5-ea26-48ee-a396-effccecaff83,2018-03-23T18:16:25,,
1,8,1080,1080,2018-03-23T08:25:00.000+06,-15.426249397925147 28.23550690082314 1274.6361284686018 4.0,-15.4262494,28.2355069,1274.636128,4,1,0,1,n/a,4,3,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Soil,Nancy and Wendy,1,uuid:d3b0a114-de63-4e08-a9e1-f5fa2d61fc31,d3b0a114-de63-4e08-a9e1-f5fa2d61fc31,2018-03-23T18:16:27,,
