h_id,h_start,h_coordinates,_h_coordinates_latitude,_h_coordinates_longitude,_h_coordinates_altitude,_h_coordinates_precision,h_neighborhood,h_home_type,h_rainweek,h_population,h_c,h_d_a,h_d_a_other,h_d_c,h_d_c_other,h_f_a,h_f_a_other,h_f_c,h_f_c_other,h_dw_a,h_dw_a_other,h_dw_c,h_dw_c_other,h_dwbore_a,h_dwbore_a_other,h_dwbore_c,h_dwbore_c_other,h_dwwell_a,h_dwwell_a_other,h_dwwell_c,h_dwwell_c_other,h_dw_e_wt,h_dw_e_wt_other,h_bw_a,h_bw_a_other,h_bw_c,h_bw_c_other,h_bw_source,h_bw_source_other,h_bw_source_na,h_p_a,h_p_a_other,h_p_c,h_p_c_other,h_p_e,h_p_e_other,h_sf_a,h_sf_a_other,h_sf_c,h_sf_c_other,h_l_a,h_l_a_other,h_l_c,h_l_c_other,h_ls_a,h_ls_a_other,h_ls_c,h_ls_c_other,h_pl_a_th,h_pl_a_th_other,h_pl_a_tu,h_pl_a_tu_other,h_pl_a_tw,h_pl_a_tw_other,h_pl_a_tf,h_pl_a_tf_other,h_pl_a_ts,h_pl_a_ts_other,h_notes,h_enum,meta/instanceID,_uuid,_submission_time,_tags,_notes
2513,2018-03-26T10:14:00.000+02,-15.429284220267393 28.226283379587837 1272.2957168193514 4.0,-15.429284220267393,28.226283379587837,1272.2957168193514,4.0,1,1,1,6,1,3,n/a,2,n/a,1,n/a,1,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,n/a,1,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,2,n/a,4,n/a,4,n/a,1,n/a,1,n/a,1,n/a,2,n/a,3,n/a,n/a,Mpundu mwenya,uuid:396f5c34-bb32-4b0f-92a6-ae9e8c684381,396f5c34-bb32-4b0f-92a6-ae9e8c684381,2018-03-26T17:58:26,,
3513,2018-03-26T10:27:00.000+02,-15.429428312845856 28.22800177319219 1279.0648519000486 4.0,-15.429428312845856,28.22800177319219,1279.0648519000486,4.0,1,2,1,3,1,4,n/a,4,n/a,1,n/a,5,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,2,n/a,n/a,4,n/a,3,n/a,1,n/a,4,n/a,3,n/a,3,n/a,2,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Mpundu,uuid:fab0a3d0-c89c-4001-bdc0-e20bb59ea52c,fab0a3d0-c89c-4001-bdc0-e20bb59ea52c,2018-03-26T17:58:27,,
4S13,2018-03-26T10:01:00.000+02,-15.42938474 28.22583676 1288.0 5.0,-15.42938474,28.22583676,1288.0,5.0,1,2,1,10,1,4,n/a,4,n/a,1,n/a,1,n/a,1,n/a,1,n/a,1,n/a,1,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,n/a,4,n/a,4,n/a,1,n/a,4,n/a,4,n/a,4,n/a,3,n/a,1,n/a,3,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Kawide,uuid:4d378cd6-0adf-489c-8fb4-e51717febe92,4d378cd6-0adf-489c-8fb4-e51717febe92,2018-03-26T18:06:14,,
5S13,2018-03-26T10:17:00.000+02,-15.42957013 28.22712823 1285.0 5.0,-15.42957013,28.22712823,1285.0,5.0,1,2,1,4,1,4,n/a,4,n/a,1,n/a,2,n/a,4,n/a,4,n/a,1,n/a,1,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,2,n/a,n/a,4,n/a,4,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Kawide,uuid:24198b68-86b4-4f64-b323-85a14416602f,24198b68-86b4-4f64-b323-85a14416602f,2018-03-26T18:06:15,,
2S15,2018-03-26T10:27:00.000+02,-15.440544747825331 28.226311903546293 1291.03709150253 4.0,-15.440544747825331,28.226311903546293,1291.03709150253,4.0,1,1,1,7,1,3,n/a,1,n/a,3,n/a,1,n/a,4,n/a,4,n/a,1,n/a,1,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,2,n/a,n/a,3,n/a,4,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Fermy,uuid:afd3eedd-d27d-46a3-9fb3-9b227dcaadfc,afd3eedd-d27d-46a3-9fb3-9b227dcaadfc,2018-03-26T18:13:22,,
4S15,2018-03-26T10:52:00.000+02,-15.439528094887775 28.226009865614486 1285.3840661389388 6.0,-15.439528094887775,28.226009865614486,1285.3840661389388,6.0,1,1,1,5,1,1,n/a,2,n/a,1,n/a,2,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,n/a,4,n/a,3,n/a,1,n/a,4,n/a,4,n/a,3,n/a,2,n/a,4,n/a,4,n/a,1,n/a,1,n/a,2,n/a,2,n/a,3,n/a,n/a,Fermy,uuid:a82296ad-6d24-4ca8-8372-2f074e9189d4,a82296ad-6d24-4ca8-8372-2f074e9189d4,2018-03-26T18:13:22,,
1514,2018-03-26T10:11:00.000+02,-15.429080391677106 28.22688001822323 1278.005258634995 6.0,-15.429080391677106,28.22688001822323,1278.005258634995,6.0,1,2,0,4,1,4,n/a,4,n/a,1,n/a,4,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,n/a,4,n/a,4,n/a,1,n/a,3,n/a,3,n/a,4,n/a,4,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Wendy kafumukache,uuid:9b967d9b-6a31-4fbc-b5a3-5e73d1a14d5a,9b967d9b-6a31-4fbc-b5a3-5e73d1a14d5a,2018-03-27T04:53:50,,
3514,2018-03-26T10:25:00.000+02,-15.429090485423929 28.227970980059006 1276.208065587846 6.0,-15.429090485423929,28.227970980059006,1276.208065587846,6.0,1,2,0,5,1,4,n/a,5,n/a,1,n/a,1,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,2,n/a,1,n/a,2,n/a,n/a,4,n/a,4,n/a,1,n/a,4,n/a,4,n/a,4,n/a,2,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Wendy Kafumukache,uuid:b325b791-6e8d-4708-8af5-58c5d1e8ec4e,b325b791-6e8d-4708-8af5-58c5d1e8ec4e,2018-03-27T04:53:51,,
2514,2018-03-26T10:10:00.000+06,-15.428863440289524 28.226530728293124 1277.0968983258763 4.0,-15.428863440289524,28.226530728293124,1277.0968983258763,4.0,1,2,1,5,1,1,n/a,1,n/a,3,n/a,3,n/a,1,n/a,1,n/a,4,n/a,5,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,n/a,4,n/a,4,n/a,1,n/a,3,n/a,3,n/a,4,n/a,3,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Nancy,uuid:16855231-1acc-4855-a6e9-6257149861a8,16855231-1acc-4855-a6e9-6257149861a8,2018-03-27T04:57:35,,
4514,2018-03-26T10:26:00.000+06,-15.429064886241074 28.22781669275624 1270.6515391688554 4.0,-15.429064886241074,28.22781669275624,1270.6515391688554,4.0,1,1,1,4,1,2,n/a,2,n/a,1,n/a,1,n/a,4,n/a,4,n/a,1,n/a,1,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,2,n/a,n/a,3,n/a,5,n/a,1,n/a,3,n/a,3,n/a,4,n/a,3,n/a,1,n/a,2,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Nancy,uuid:6d9dc105-cceb-4d2c-924d-337d20320847,6d9dc105-cceb-4d2c-924d-337d20320847,2018-03-27T04:57:36,,
