"city","sample_type","pop","sum","a3","a2","a1","a0"
"Accra","Other Drinking Water","Adults",0,,,,
"Atlanta","Other Drinking Water","Adults",0,,,,
"Dakar","Other Drinking Water","Adults",0,,,,
"Dhaka","Other Drinking Water","Adults",1700,0.267647058823529,0.0935294117647059,0.111764705882353,0.527058823529412
"Kampala","Other Drinking Water","Adults",744,0.301075268817204,0.0336021505376344,0.0537634408602151,0.611559139784946
"Kumasi","Other Drinking Water","Adults",0,,,,
"Lusaka","Other Drinking Water","Adults",928,0.247844827586207,0.100215517241379,0.103448275862069,0.548491379310345
"Maputo","Other Drinking Water","Adults",0,,,,
"Siem Reap","Other Drinking Water","Adults",410,0.992682926829268,0,0.00731707317073171,0
"Vellore","Other Drinking Water","Adults",0,,,,
"Accra","Ocean","Adults",1230,0.11869918699187,0.0731707317073171,0.207317073170732,0.600813008130081
"Atlanta","Ocean","Adults",0,,,,
"Dakar","Ocean","Adults",0,,,,
"Dhaka","Ocean","Adults",0,,,,
"Kampala","Ocean","Adults",0,,,,
"Kumasi","Ocean","Adults",0,,,,
"Lusaka","Ocean","Adults",0,,,,
"Maputo","Ocean","Adults",0,,,,
"Siem Reap","Ocean","Adults",0,,,,
"Vellore","Ocean","Adults",0,,,,
"Accra","Surface Water","Adults",1315,0.0920152091254753,0.0509505703422053,0.109505703422053,0.747528517110266
"Atlanta","Surface Water","Adults",22,0,0.0454545454545455,0.227272727272727,0.727272727272727
"Dakar","Surface Water","Adults",0,,,,
"Dhaka","Surface Water","Adults",1643,0.258064516129032,0.103469263542301,0.159464394400487,0.47900182592818
"Kampala","Surface Water","Adults",756,0.0648148148148148,0.0357142857142857,0.0912698412698413,0.808201058201058
"Kumasi","Surface Water","Adults",727,0.154057771664374,0.0288858321870702,0.108665749656121,0.708390646492435
"Lusaka","Surface Water","Adults",717,0.0739191073919107,0.0418410041841004,0.0753138075313808,0.808926080892608
"Maputo","Surface Water","Adults",104,0.192307692307692,0.0769230769230769,0.153846153846154,0.576923076923077
"Siem Reap","Surface Water","Adults",392,0.0306122448979592,0.048469387755102,0.510204081632653,0.410714285714286
"Vellore","Surface Water","Adults",0,,,,
"Accra","Floodwater","Adults",1785,0.233053221288515,0.109243697478992,0.247058823529412,0.410644257703081
"Atlanta","Floodwater","Adults",23,0.0434782608695652,0.0869565217391304,0.565217391304348,0.304347826086957
"Dakar","Floodwater","Adults",934,0.346895074946467,0.110278372591006,0.246252676659529,0.296573875802998
"Dhaka","Floodwater","Adults",1616,0.5,0.143564356435644,0.211014851485149,0.145420792079208
