"sample_type_name","sample_id","neighb_id","neighborhood","age","pop","p","r","n.response","mu","sigma","n.sample","exposure","dose","popDose","deployment_id","country","city","citylabel","date","pathway","neighb_pop","neighb_pop_label","perDose"
"Raw Produce",2,201,"Kalshi","Adults","a",0.0979555888316291,1.05702648953141,255,2.48208588492619,1.53285140724823,9,0.917,3425812.39793862,3425812.39793862,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Raw Produce","Dhaka 201 Adults","Dhaka 201",0.166419037483089
"Raw Produce",2,201,"Kalshi","Children","c",0.129982241883009,1.36947298535822,237,2.48208588492619,1.53285140724823,9,0.939,1247119.21976165,1247119.21976165,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Raw Produce","Dhaka 201 Children","Dhaka 201",0.00745015045209372
"Surface Water",5,201,"Kalshi","Adults","a",0.0138492298169578,0.151591502844566,261,5.04975349707554,0.883410443905584,10,0.463,519882.966749908,519882.966749908,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Surface Water","Dhaka 201 Adults","Dhaka 201",0.0252548630457501
"Surface Water",5,201,"Kalshi","Children","c",0.0225224979121161,0.20258452780023,238,5.04975349707554,0.883410443905584,10,0.552,916159.269791264,916159.269791264,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Surface Water","Dhaka 201 Children","Dhaka 201",0.00547303280221255
"Street Food",10,201,"Kalshi","Adults","a",0.0770175132004107,0.540061665025182,255,3.15329205207075,2.26603675437253,8,0.743,163840464.910971,163840464.910971,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Street Food","Dhaka 201 Adults","Dhaka 201",7.95903841309939
"Street Food",10,201,"Kalshi","Children","c",0.140894529371686,1.58452501892354,238,3.15329205207075,2.26603675437253,8,0.954,1524185780.67895,1524185780.67895,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Street Food","Dhaka 201 Children","Dhaka 201",9.10531503569508
"Bathing Water",9,202,"Badda","Adults","a",0.965616848886696,419.010872174802,250,0.790075471163968,1.11975462123859,10,1,290.153465344684,290.153465344684,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Bathing Water","Dhaka 202 Adults","Dhaka 202",1.40745957052211e-05
"Bathing Water",9,202,"Badda","Children","c",0.672887899044976,23.4120912706817,213,0.790075471163968,1.11975462123859,10,1,993.377948573348,993.377948573348,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Bathing Water","Dhaka 202 Children","Dhaka 202",1.90502054734706e-05
"Open Drain Water",1,202,"Badda","Adults","a",0.00910395198795279,0.338427030760637,252,6.85293512784924,1.25446322159303,10,0.789,3148056.60402641,3148056.60402641,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Open Drain Water","Dhaka 202 Adults","Dhaka 202",0.152704100591005
"Open Drain Water",1,202,"Badda","Children","c",0.00502876509961811,0.303104835855645,214,6.85293512784924,1.25446322159303,10,0.8,171141122.569952,171141122.569952,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Open Drain Water","Dhaka 202 Children","Dhaka 202",3.28200717018158
"Municipal Drinking Water",3,202,"Badda","Adults","a",0.000737753439215326,0.261455530811116,250,0.144998107693524,0.907943709415489,10,0.841,2896.30170956685,2896.30170956685,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Municipal Drinking Water","Dhaka 202 Adults","Dhaka 202",0.000140492120451048
"Municipal Drinking Water",3,202,"Badda","Children","c",0.000449014907882846,0.225848583070845,214,0.144998107693524,0.907943709415489,10,0.842,914.443704983428,914.443704983428,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Municipal Drinking Water","Dhaka 202 Children","Dhaka 202",1.75364678659059e-05
"Floodwater",6,202,"Badda","Adults","a",0.0431076895267974,1.01163393050476,251,5.88497046826889,0.466560196759043,10,0.958,85840.3836016586,85840.3836016586,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Floodwater","Dhaka 202 Adults","Dhaka 202",0.00416389545077193
"Floodwater",6,202,"Badda","Children","c",0.0464871360471901,0.885209451495475,214,5.88497046826889,0.466560196759043,10,0.934,959622.926205721,959622.926205721,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Floodwater","Dhaka 202 Children","Dhaka 202",0.0184028787306247
"Public Latrine",7,202,"Badda","Adults","a",0.0150458759795776,0.529583397892561,249,0.263256916875707,0.762076041577732,10,0.885,38.8883493073156,38.8883493073156,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Public Latrine","Dhaka 202 Adults","Dhaka 202",1.88637345238556e-06
"Public Latrine",7,202,"Badda","Children","c",0.0186089092438962,0.530603762203774,214,0.263256916875707,0.762076041577732,10,0.872,38.2807456654322,38.2807456654322,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Public Latrine","Dhaka 202 Children","Dhaka 202",7.34117434005336e-07
"Raw Produce",2,202,"Badda","Adults","a",0.0651793258866682,0.736763009738991,249,3.4286498194675,1.76028470188996,8,0.875,61958116.3204739,61958116.3204739,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Raw Produce","Dhaka 202 Adults","Dhaka 202",3.00542830612694
"Raw Produce",2,202,"Badda","Children","c",0.117930482129246,1.07407249614874,214,3.4286498194675,1.76028470188996,8,0.892,189231233.467578,189231233.467578,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Raw Produce","Dhaka 202 Children","Dhaka 202",3.62892480624606
"Surface Water",5,202,"Badda","Adults","a",0.0138180374655072,0.268667770254639,253,5.53732186806682,1.05347305649559,10,0.679,6594745.43462354,6594745.43462354,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Surface Water","Dhaka 202 Adults","Dhaka 202",0.319894079710256
"Surface Water",5,202,"Badda","Children","c",0.00264329755505537,0.189814983234702,214,5.53732186806682,1.05347305649559,10,0.669,61085691.5130061,61085691.5130061,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Surface Water","Dhaka 202 Children","Dhaka 202",1.1714523928008
"Street Food",10,202,"Badda","Adults","a",0.0440744545537586,0.368182613070919,249,4.28167049456291,1.3862918762286,10,0.677,97865897.3623136,97865897.3623136,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Street Food","Dhaka 202 Adults","Dhaka 202",4.74722208492993
"Street Food",10,202,"Badda","Children","c",0.15670057180263,1.36753771280094,214,4.28167049456291,1.3862918762286,10,0.929,28869180.3482842,28869180.3482842,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Street Food","Dhaka 202 Children","Dhaka 202",0.553629983708951
"Bathing Water",9,203,"Gabtoli","Adults","a",0.903141211946899,138.326340611842,233,0.329410514278837,1.02720151396282,10,1,88.2860097985579,88.2860097985579,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Bathing Water","Dhaka 203 Adults","Dhaka 203",4.03669869579154e-07
"Bathing Water",9,203,"Gabtoli","Children","c",0.717642746323062,39.3287050377011,191,0.329410514278837,1.02720151396282,10,1,160.083250924831,160.083250924831,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Bathing Water","Dhaka 203 Children","Dhaka 203",4.15614238427128e-07
"Open Drain Water",1,203,"Gabtoli","Adults","a",0.012322903879743,0.422683196972656,234,6.76071183229949,1.22049702136508,10,0.837,2858158.89558279,2858158.89558279,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Open Drain Water","Dhaka 203 Adults","Dhaka 203",0.0130683517269488
"Open Drain Water",1,203,"Gabtoli","Children","c",0.0166201737055541,0.539478046435092,195,6.76071183229949,1.22049702136508,10,0.889,244913430.125663,244913430.125663,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Open Drain Water","Dhaka 203 Children","Dhaka 203",0.635853583396112
"Municipal Drinking Water",3,203,"Gabtoli","Adults","a",0.0090376080991114,0.0686755810630808,214,0.140529094893314,0.776726114635428,10,0.269,404.780803367655,404.780803367655,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Municipal Drinking Water","Dhaka 203 Adults","Dhaka 203",1.85077810715867e-06
"Municipal Drinking Water",3,203,"Gabtoli","Children","c",0.00866651508098421,0.0667029963434565,179,0.140529094893314,0.776726114635428,10,0.264,197.845065736867,197.845065736867,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Municipal Drinking Water","Dhaka 203 Children","Dhaka 203",5.13652901523119e-07
"Floodwater",6,203,"Gabtoli","Adults","a",0.0278864525127229,0.891368368312737,234,5.21270880932233,1.93767121084181,10,0.955,736772524.788607,736772524.788607,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Floodwater","Dhaka 203 Adults","Dhaka 203",3.36874290354188
"Floodwater",6,203,"Gabtoli","Children","c",0.0506891356577582,1.04123771362161,192,5.21270880932233,1.93767121084181,10,0.959,1162057265.97376,1162057265.97376,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Floodwater","Dhaka 203 Children","Dhaka 203",3.01697737156261
"Public Latrine",7,203,"Gabtoli","Adults","a",0.0690018890040434,1.45952782189356,232,0.0426031803499937,0.741246666399305,10,0.975,14.3901089461959,14.3901089461959,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Public Latrine","Dhaka 203 Adults","Dhaka 203",6.57958538934398e-08
"Public Latrine",7,203,"Gabtoli","Children","c",0.262895459283207,5.01364782787206,191,0.0426031803499937,0.741246666399305,10,0.999,10.6493337818586,10.6493337818586,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Public Latrine","Dhaka 203 Children","Dhaka 203",2.7648206317235e-08
"Raw Produce",2,203,"Gabtoli","Adults","a",0.0619597013895074,0.711667487727209,233,3.30778265135431,2.03165920772037,9,0.864,824163149.055209,824163149.055209,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Raw Produce","Dhaka 203 Adults","Dhaka 203",3.7683188044194
"Raw Produce",2,203,"Gabtoli","Children","c",0.12105309947264,1.46864003295484,191,3.30778265135431,2.03165920772037,9,0.948,157398160.930247,157398160.930247,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Raw Produce","Dhaka 203 Children","Dhaka 203",0.408643105427513
"Surface Water",5,203,"Gabtoli","Adults","a",0.00519073955811756,0.215368871108332,234,5.772669710104,1.55199392544826,10,0.667,68479112.6081766,68479112.6081766,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Surface Water","Dhaka 203 Adults","Dhaka 203",0.313106850321039
"Surface Water",5,203,"Gabtoli","Children","c",0.0112206909473165,0.25135218677583,194,5.772669710104,1.55199392544826,10,0.676,1376825116.01298,1376825116.01298,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Surface Water","Dhaka 203 Children","Dhaka 203",3.57456585078829
