"UID","dply_num","lab_date","sample_type","col_sample_type_alt","sampleid","mf","neighborhood","neighb_UID","lab_1_ecoli","lab_2_ecoli","lab_3_ecoli","ec_dil1","ec_dil2","ec_dil3","ec_ecnt1","ec_ecnt2","ec_ecnt3","count1","count2","dil1","dil2","ec_conc"
"05_08_1073",5,"2015-05-12",8,"","1073",TRUE,"1",501,0,0,,1,0.1,,0,0,,0,0,1,0.1,1
"05_08_1074",5,"2015-03-26",8,"","1074",TRUE,"1",501,999,999,999,10,1,0.1,999,999,999,999,999,10,1,4000
"05_08_1075",5,"2015-03-03",8,"","1075",TRUE,"1",501,0,0,,1,0.1,,0,0,,0,0,1,0.1,1
"05_08_1076",5,"2015-03-03",8,"","1076",TRUE,"1",501,998,998,,10,1,,998,998,,998,998,10,1,400
"05_08_1077",5,"2015-03-05",8,"","1077",TRUE,"1",501,0,0,,1,0.1,,0,0,,0,0,1,0.1,1
"05_08_1078",5,"2015-03-05",8,"","1078",TRUE,"1",501,0,0,,1,0.1,,0,0,,0,0,1,0.1,1
"05_08_1079",5,"2015-03-06",8,"","1079",TRUE,"1",501,0,0,,1,0.1,,0,0,,0,0,1,0.1,1
"05_08_1080",5,"2015-03-09",8,"","1080",TRUE,"1",501,999,2,,1,0.1,,999,2,,999,2,1,0.1,40
"05_08_1081",5,"2015-03-06",8,"","1081",TRUE,"1",501,0,0,,1,0.1,,0,0,,0,0,1,0.1,1
"05_08_1082",5,"2015-03-09",8,"","1082",TRUE,"1",501,1,0,,1,0.1,,1,0,,1,0,1,0.1,2
"05_08_1083",5,"2015-03-10",8,"","1083",TRUE,"1",501,0,0,999,1,0.1,0.01,0,0,999,0,0,1,0.1,
"05_08_1084",5,"2015-03-25",8,"","1084",TRUE,"1",501,0,0,,1,0.1,,0,0,,0,0,1,0.1,1
"05_08_1085",5,"2015-03-25",8,"","1085",TRUE,"1",501,0,0,,1,0.1,,0,0,,0,0,1,0.1,1
"05_08_1086",5,"2015-05-12",8,"","1086",TRUE,"1",501,7,1,,1,0.1,,7,1,,7,1,1,0.1,17
"05_08_1087",5,"2015-03-26",8,"","1087",TRUE,"1",501,999,999,999,10,1,0.1,999,999,999,999,999,10,1,4000
"05_08_1088",5,"2015-03-03",8,"","1088",TRUE,"1",501,0,0,,1,0.1,,0,0,,0,0,1,0.1,1
"05_08_1089",5,"2015-03-03",8,"","1089",TRUE,"1",501,998,998,,1,0.1,,998,998,,998,998,1,0.1,4000
"05_08_1090",5,"2015-03-05",8,"","1090",TRUE,"1",501,0,0,,1,0.1,,0,0,,0,0,1,0.1,1
"05_08_1091",5,"2015-03-06",8,"","1091",TRUE,"1",501,0,0,,1,0.1,,0,0,,0,0,1,0.1,1
"05_08_1092",5,"2015-03-09",8,"","1092",TRUE,"1",501,0,0,,1,0.1,,0,0,,0,0,1,0.1,1
"05_08_1093",5,"2015-03-06",8,"","1093",TRUE,"1",501,0,0,,1,0.1,,0,0,,0,0,1,0.1,1
"05_08_1094",5,"2015-03-09",8,"","1094",TRUE,"1",501,3,3,,1,0.1,,3,3,,3,3,1,0.1,33
"05_08_1095",5,"2015-03-10",8,"","1095",TRUE,"1",501,0,0,999,1,0.1,0.01,0,0,999,0,0,1,0.1,
"05_08_1096",5,"2015-03-10",8,"","1096",TRUE,"1",501,0,0,999,1,0.1,0.01,0,0,999,0,0,1,0.1,
"05_08_1097",5,"2015-03-25",8,"","1097",TRUE,"1",501,0,0,,1,0.1,,0,0,,0,0,1,0.1,1
"05_08_1098",5,"2015-03-25",8,"","1098",TRUE,"1",501,0,0,,1,0.1,,0,0,,0,0,1,0.1,1
"05_08_1099",5,"2015-05-12",8,"","1099",TRUE,"1",501,0,0,,1,0.1,,0,0,,0,0,1,0.1,1
"05_08_1100",5,"2015-03-11",8,"","1100",TRUE,"2",502,999,999,999,1,0.1,0.01,999,999,999,999,999,1,0.1,40000
"05_08_1101",5,"2015-03-12",8,"","1101",TRUE,"2",502,999,999,,10,1,,999,999,,999,999,10,1,400
"05_08_1102",5,"2015-03-13",8,"","1102",TRUE,"2",502,54,27,9,10,1,0.1,54,27,9,54,27,10,1,32.4
"05_08_1103",5,"2015-03-11",8,"","1103",TRUE,"2",502,999,999,999,1,0.1,0.01,999,999,999,999,999,1,0.1,40000
"05_08_1104",5,"2015-03-18",8,"","1104",TRUE,"2",502,0,0,0,10,1,0.1,0,0,0,0,0,10,1,0.1
"05_08_1105",5,"2015-03-24",8,"","1105",TRUE,"2",502,998,84,20,10,1,0.1,998,84,20,998,84,10,1,284
"05_08_1106",5,"2015-03-13",8,"","1106",TRUE,"2",502,998,998,156,10,1,0.1,998,998,156,998,998,10,1,3120
"05_08_1107",5,"2015-03-18",8,"","1107",TRUE,"2",502,0,0,10,10,1,0.1,0,0,10,0,0,10,1,
